"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","email","establishmentTypes/0","establishmentTypes/1","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","menuWebUrl","name","numberOfReviews","openNowText","ownersTopReasons","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Mombasa Road Vision Plaza, Ground Floor, Nairobi Kenya","Nairobi","Kenya",,,"Mombasa Road","Vision Plaza, Ground Floor",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Italian","Indian","Contemporary",,,,,,,,,,,,,,,,"lounge@imperialinvestment.co.ke","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8557182","https://media-cdn.tripadvisor.com/media/photo-o/08/bc/e6/d1/getlstd-property-photo.jpg","false","false","-1.32946",,"","Nairobi","36.87334",,,,,,,,"Imperial Lounge","2",,,"+254 770 496613","1","$","KES 29,647 - KES 148,236","832","795","#795 of 1,048 places to eat in Nairobi","2.5","1","0","0","1","0","2.832927942276001","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d8557182-Reviews-Imperial_Lounge-Nairobi.html",
"Namanga Road, Kitengela Kenya","Kitengela","Kenya",,,"Namanga Road",,,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19049362",,"false","false","-1.475289",,"","Kitengela, Rift Valley Province","36.96201",,,,,,,,"Lazeez","1",,,"+254 702 323594","0",,,"10","8","#8 of 13 places to eat in Kitengela","5","0","0","0","0","1","3.027514934539795",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d19049362-Reviews-Lazeez-Kitengela_Rift_Valley_Province.html","http://Www.fb.com/lazeezkenya"
"Airport North Road, Karen, Nairobi Kenya","Karen","Kenya",,,"Airport North Road",,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","restaurant","Diner",,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14095423",,"false","false","-1.33004",,"","Karen, Nairobi","36.92415",,,,,,,"https://www.javahouseafrica.com/our-menu/","Java House","1",,,"+254 796 841537","0","$","KES 22,235 - KES 222,354","22","19","#19 of 29 places to eat in Karen","5","0","0","0","0","1","3.02848744392395","Café","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g12559418-d14095423-Reviews-Java_House-Karen_Nairobi.html","http://www.javahouseafrica.com"
"Jomo Kenyatta International Airport, Nairobi Kenya","Nairobi","Kenya",,,"Jomo Kenyatta International Airport",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Cafe","European",,,,"Located at the Jomo Kenyatta International Airport Nairobi terminal 1A. Bean Plant coffee & more is a customer friendly coffee shop where the blend of our cultures and countries connects you to a diverse cuisine taste.","Breakfast","Brunch","Lunch","Dinner","Late Night","Drinks",,,,,,,"beanplantjkia@gmail.com","Restaurants",,"Seating","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Table Service",,,,,,,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","15319108","https://media-cdn.tripadvisor.com/media/photo-o/19/3a/8e/44/enjoy-our-tropical-carrot.jpg","false","false","-1.3327",,"","Nairobi","36.924313","Breakfast","Brunch","Lunch","Dinner","Late Night","Drinks","https://www.facebook.com/beanplantkenya/menu/","Bean Plant coffee and more","12","Open Now",,"+254 791 989342","45","$$ - $$$",,"832","627","#627 of 1,048 places to eat in Nairobi","3.5","1","2","4","3","2","3.0284626483917236",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d15319108-Reviews-Bean_Plant_coffee_and_more-Nairobi.html","http://www.facebook.com/beanplantkenya/"
"Mombasa Road Airport View Total Station, Nairobi 00505 Kenya","Nairobi","Kenya","00505",,"Mombasa Road","Airport View Total Station",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Mexican","African","Cafe","Diner","Healthy",,"Breakfast","Lunch","Dinner","Brunch",,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","390","1320","390","1320","390","1320","390","1320","390","1320","390","1320","390","14140515","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/99/85/32/photo0jpg.jpg","false","false","-1.33004",,"","Nairobi","36.92415","Breakfast","Lunch","Dinner","Brunch",,,"https://www.javahouseafrica.com/our-menu/","Java House Airport View","9","Closes in 25 min",,"+254 746 622266","1","$","KES 22,235 - KES 222,354","832","767","#767 of 1,048 places to eat in Nairobi","3","2","1","2","3","1","2.9779114723205566","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d14140515-Reviews-Java_House_Airport_View-Nairobi.html","https://www.javahouseafrica.com/our-locations/"
"Syokimau Katani Road Next To Syokimart, Syokimau 00100 Kenya","Syokimau","Kenya","00100",,"Syokimau Katani Road","Next To Syokimart",,"12245284","Syokimau","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","restaurant","American","African","Fast Food","Barbecue","Beer restaurants","One of Kenya's most beloved restaurants, Tamz Restaurant Launge & Bar has welcomed guests to enjoy its contemporary cuisines, warm hospitality, and unparalleled service in Nairobi Kenya for years. Our ever-evolving seasonal menu showcases the restaurant's relationships with local and international dishes. Tamz Restaurant Launge & Bar is marching towards being Nairobi's hub for signature dishes.","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,,,,,,"tamzkatani@gmail.com","Restaurants",,"Delivery","Takeout","Reservations","Outdoor Seating","Buffet","Private Dining","Seating","Parking Available","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Cash Only","Free Wifi","Accepts Credit Cards","Table Service","Live Music","Playgrounds",,"Africa/Nairobi","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","23092811","https://media-cdn.tripadvisor.com/media/photo-o/1c/8b/69/8c/talk-of-vip-lounge-experience.jpg","false","false","-1.371637",,"","Syokimau, Eastern Province","36.935894","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","https://www.flipsnack.com/6CFCDDDD75E/tamz-pizza-menu.html","Tamz Restaurant Launge & Bar","2","Open Now",,"+254 720 446120","41","$$ - $$$","KES 741 - KES 4,447","2","2","#2 of 3 places to eat in Syokimau","3","1","0","0","0","1","2.964430809020996","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g12245284-d23092811-Reviews-Tamz_Restaurant_Launge_Bar-Syokimau_Eastern_Province.html",
"Namanga Road, Nairobi Kenya","Nairobi","Kenya","",,"Namanga Road","",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant",,,,,,,"Breakfast","Lunch","Dinner",,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1440","360","1440","360","1440","360","1440","360","1440","360","1440","360","1440","360","1155827",,"false","false","-1.475602",,"","Nairobi","36.960594","Breakfast","Lunch","Dinner",,,,,"Pampa at Savanah","3","Open Now",,,"0",,,"832","639","#639 of 1,048 places to eat in Nairobi","4.5","0","0","0","1","2","3.0271220207214355",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d1155827-Reviews-Pampa_at_Savanah-Nairobi.html",
"Gateway Mall, Nairobi Kenya","Nairobi","Kenya",,,"Gateway Mall",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant",,,,,,,,,,,,,,,,,,,"info@secretingredientsltd.com","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20259702",,"false","false","-1.36421",,"","Nairobi","36.912148",,,,,,,,"Secret Ingredients","1",,,"+254 720 800844","0",,,"832","691","#691 of 1,048 places to eat in Nairobi","4","0","0","0","1","0","3.015636920928955",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d20259702-Reviews-Secret_Ingredients-Nairobi.html","https://secretingredientslimited.com/"
"Jomo Kenyatta International Airport, Nairobi Kenya","Nairobi","Kenya",,,"Jomo Kenyatta International Airport",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant",,,,,,,"Late Night","Drinks",,,,,,,,,,,,"Restaurants",,"Wheelchair Accessible","Seating","Serves Alcohol",,,,,,,,,,,,,,,,,"Africa/Nairobi","1440","300","1440","300","1440","300","1440","300","1440","300","1440","300","1440","300","10467675","https://media-cdn.tripadvisor.com/media/photo-o/0d/3e/88/7b/photo0jpg.jpg","false","false","-1.32271",,"","Nairobi","36.92607","Late Night","Drinks",,,,,,"Pride Lounge","47","Open Now",,"+254 741 777270","34","$$ - $$$",,"832","636","#636 of 1,048 places to eat in Nairobi","3","10","4","12","10","11","3.027290105819702",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d10467675-Reviews-Pride_Lounge-Nairobi.html","http://www.kenya-airways.com/prepare-for-travel/manage-booking/kq-lounges/en"
"Mankuli Road, Nairobi 00100 Kenya","Nairobi","Kenya","00100",,"Mankuli Road",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18157567",,"false","false","-1.33551",,"","Nairobi","36.91807",,,,,,,,"Sukim Restaurant","1",,,"+254 722 866689","0",,,"832","698","#698 of 1,048 places to eat in Nairobi","4","0","0","0","1","0","3.01450514793396",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d18157567-Reviews-Sukim_Restaurant-Nairobi.html",
