"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","email","establishmentTypes/0","establishmentTypes/1","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","menuWebUrl","name","numberOfReviews","openNowText","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Jacaranda road Road to the beach opposite police station, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Jacaranda road","Road to the beach opposite police station",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Pizza","Seafood","Mediterranean","European","Vegetarian Friendly","Gluten Free Options",,,,,,"Welcome to the new Mapango restaurant. Our tasteful menu includes daily caught fish basis dishes, local delicacies to make you dive into the Kenyan culture, vegetarian choices and meat basis dishes. Moreover, a new fire-wood pizza oven to meet all your needs. Last but not least, our wine list contains labels specially included for the food pairing of our dishes, with descriptions to assist you during your choice. Looking forward to welcome you in our restaurant with its suggestive atmosphere and breathtaking ocean view.","Lunch","Dinner","Drinks",,,,,,,,,,,,,"mapango@kalugroup.co.ke","Restaurants",,"Delivery","Reservations","Outdoor Seating","Seating","Street Parking","Serves Alcohol","Wine and Beer","Free Wifi","Accepts Credit Cards","Table Service","Waterfront","Beach","Dog Friendly",,,,,,,,,,"Africa/Nairobi","1260","720","1260","720","1260","720","1260","720","1260","720","1260","720","1260","720","4572589","https://media-cdn.tripadvisor.com/media/photo-o/1c/84/7b/83/50-shades-of-blue.jpg","false","false","-3.356332",,"","Watamu, Coast Province","40.017178","Lunch","Dinner","Drinks",,,,"http://bit.ly/menu-mapango","Mapango Restaurant","122","Closes in 17 min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 793 579633","88","$$ - $$$",,"51","22","#22 of 60 places to eat in Watamu","4","11","5","11","45","50","3.4240610599517822",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d4572589-Reviews-Mapango_Restaurant-Watamu_Coast_Province.html","http://www.lilypalmresort.com"
"Casuarina Rd Mnarani road, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Casuarina Rd","Mnarani road",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","Seafood","Mediterranean","European","Central European","Vegetarian Friendly","Vegan Options",,,,,,"Lunch","Dinner",,,,,,,,,,,,,,,"Restaurants",,"Reservations","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Outdoor Seating","Table Service",,,,,,,,,,,,,,,,"Africa/Nairobi","1380","780","1380","780","1380","780","1380","780","1380","780","1380","780","1380","780","4004865","https://media-cdn.tripadvisor.com/media/photo-o/08/0c/d5/a4/scorpio-villass.jpg","false","false","-3.22544",,"","Malindi, Coast Province","40.12709","Lunch","Dinner",,,,,,"Scorpio Villas","44","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 42 2120194","26","$$ - $$$",,"40","6","#6 of 59 places to eat in Malindi","4.5","0","2","1","17","24","3.386630058288574","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d4004865-Reviews-Scorpio_Villas-Malindi_Coast_Province.html","http://www.scorpio-malindi.com"
"Watamu Kenya","Watamu","Kenya",,,,,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","African","Vegetarian Friendly",,,,,,,,,,"Breakfast","Dinner",,,,,,,,,,,,,,,"Restaurants",,"Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8779125","https://media-cdn.tripadvisor.com/media/photo-o/0c/dd/07/54/il-ristorante-visto-da.jpg","false","false","-3.357221",,"","Watamu, Coast Province","40.012505","Breakfast","Dinner",,,,,,"Marina Restaurant","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 714 906424","21","$$ - $$$","KES 296 - KES 3,706","51","24","#24 of 60 places to eat in Watamu","4.5","1","0","2","5","22","3.3289008140563965","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d8779125-Reviews-Marina_Restaurant-Watamu_Coast_Province.html",
"Malindi Kenya","Malindi","Kenya",,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","European","Contemporary","Vegetarian Friendly",,,,,,,,,"Lunch","Dinner",,,,,,,,,,,,,,,"Restaurants",,"Reservations","Seating","Serves Alcohol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3753211","https://media-cdn.tripadvisor.com/media/photo-s/04/b8/79/77/artistic.jpg","false","false","-3.246967",,"","Malindi, Coast Province","40.12631","Lunch","Dinner",,,,,,"White Elephant","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25","$$ - $$$",,"40","8","#8 of 59 places to eat in Malindi","4","3","2","8","23","29","3.3012919425964355","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d3753211-Reviews-White_Elephant-Malindi_Coast_Province.html",
"Mida Creek Creek Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Mida Creek","Creek Road",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Seafood","Steakhouse","Vegetarian Friendly",,,,,,,,,"Mida Dhow, is a unique fine dining experience aboard a floating restaurant. Sundowners - includes delicious bitings and cocktails as the sun goes down. Lunch safaris - sail along the mangrove lined Mida Creek and moor up for a swim until lunch when a superb menu of local seafood, upcountry meats and fresh fruit and Kenyan coffee is served. Dinner cruise - enjoy the spectacular sunset on Mida creek sipping a sundowner, then sit down to a delicious dinner under the East African night sky.","Dinner","Lunch","Late Night",,,,,,,,,,,,,"dave@davedarnborough.com","Restaurants",,"Reservations","Outdoor Seating","Serves Alcohol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3795171","https://media-cdn.tripadvisor.com/media/photo-o/09/e8/12/41/the-beautiful-mida-dhow.jpg","false","false","-3.35",,"","Watamu, Coast Province","40.0167","Dinner","Lunch","Late Night",,,,,"Mida Dhow","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 713 662999","27","$$ - $$$","KES 5,188 - KES 6,671","51","20","#20 of 60 places to eat in Watamu","5","0","1","0","3","38","3.4537367820739746","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d3795171-Reviews-Mida_Dhow-Watamu_Coast_Province.html",
"Lamu Road, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Lamu Road",,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","Pizza","Seafood","Vegetarian Friendly",,,,,,,,,"Lunch","Dinner",,,,,,,,,,,,,,"ismael_pires76@hotmail.com","Restaurants",,"Reservations","Seating","Wheelchair Accessible","Outdoor Seating",,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","660",,,"1380","660","1380","660","1380","660","1380","660","1380","660","7381917","https://media-cdn.tripadvisor.com/media/photo-o/11/a8/2e/db/photo1jpg.jpg","false","false","-3.210203",,"","Malindi, Coast Province","40.11689","Lunch","Dinner",,,,,,"The House Restaurant- Cafeterian, Pizzeria","48","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 716 514960","34","$$ - $$$",,"40","5","#5 of 59 places to eat in Malindi","4.5","2","1","4","5","36","3.4033849239349365","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d7381917-Reviews-The_House_Restaurant_Cafeterian_Pizzeria-Malindi_Coast_Province.html",
"New Jacaranda Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"New Jacaranda Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","African","Seafood",,,,,,,,,"Marafiki Beach Bar and Restaurant is located on the beautiful secluded beach in Jacaranda, 10kms north of Watamu, Kenya. We are open from breakfast to dinner time. We serve delicious fresh seafood and also have good vegetarian or vegan options. Great place for sun downers or just chilling on the beach.","Lunch","Dinner","Drinks",,,,,,,,,,,,,"marafikiholiday@gmail.com","Restaurants",,"Seating","Reservations","Wine and Beer","Waterfront","Beach",,,,,,,,,,,,,,,,,,"Africa/Nairobi","1260","600","1260","600","1260","600","1260","600","1260","600","1260","600","1260","600","12841158","https://media-cdn.tripadvisor.com/media/photo-o/1d/2b/98/e8/delicious-dining-with.jpg","false","false","-3.315519",,"","Watamu, Coast Province","40.085064","Lunch","Dinner","Drinks",,,,"http://www.marafikibeachrestaurant.com/menu/index?utm_source=Tripadvisor&utm_medium=Link-Menu&utm_campaign=Social-Media","Marafiki Beach Bar & Restaurant","73","Closed Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 711 738524","135","$",,"51","19","#19 of 60 places to eat in Watamu","4","7","3","2","15","46","3.4557855129241943",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d12841158-Reviews-Marafiki_Beach_Bar_Restaurant-Watamu_Coast_Province.html","http://web.facebook.com/MarafikiHolidays"
"Marine Park Road Follow the road towards Temple Point until you find our large yellow signs, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Marine Park Road","Follow the road towards Temple Point until you find our large yellow signs",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African","Bar","Barbecue","Grill","Pub","Fusion",,,,,,"The bar where the sun drops.","Lunch","Dinner","Drinks",,,,"Salad",,,,,,,,,"lichthaus@templepointresort.com","Restaurants",,"Seating","Reservations","Outdoor Seating","Parking Available","Accepts Credit Cards",,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","720","1320","720","1320","720","1320","720","1320","720","1320","720","1320","720","19864167","https://media-cdn.tripadvisor.com/media/photo-o/2a/5b/46/8e/litcthaus-watamu-kenya.jpg","false","false","-3.38505",,"","Watamu, Coast Province","39.970642","Lunch","Dinner","Drinks",,,,,"Lichthaus by Temple Point","81","Closes in 21 min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 740 768412","104","$$ - $$$","KES 593 - KES 2,224","51","25","#25 of 60 places to eat in Watamu","3.5","13","3","13","20","32","3.3003575801849365","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d19864167-Reviews-Lichthaus_by_Temple_Point-Watamu_Coast_Province.html","http://www.instagram.com/lichthaus_watamu/"
"Silversand Road, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Silversand Road",,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","African","Pizza","Seafood","Grill","Vegetarian Friendly",,,,,,,"Brunch","Lunch","Dinner",,,,,,,,,,,,,"peppe.zito@hotmail.com","Restaurants",,"Takeout","Wheelchair Accessible","Serves Alcohol","Reservations","Seating","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8766340","https://media-cdn.tripadvisor.com/media/photo-o/0d/51/9c/ba/ta-img-20161016-144555.jpg","false","false","-3.216037",,"","Malindi, Coast Province","40.12189","Brunch","Lunch","Dinner",,,,,"My Way Restaurant","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 708 487927","13","$$ - $$$","KES 51,883 - KES 296,472","40","7","#7 of 59 places to eat in Malindi","4","0","2","7","17","13","3.3170723915100098","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d8766340-Reviews-My_Way_Restaurant-Malindi_Coast_Province.html","http://mywaymalindi.com"
"Jacaranda Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Jacaranda Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","African","Seafood",,,,,,,,,"We are in front beach with sun bed. We like to cook local food and what the chef as in her mind eheheh. We have a kite school. It's a nice place to relax bring kids or dogs. Dinner:booking is request","Lunch","Breakfast","Dinner","Brunch","Drinks",,,,,,,,,,,"topoteto19@gmail.com","Restaurants",,"Reservations","Outdoor Seating","Seating","Serves Alcohol","Table Service","Parking Available","Street Parking","Wheelchair Accessible","Wine and Beer","Digital Payments","Beach","Dog Friendly","Family style",,,,,,,,,,"Africa/Nairobi","1200","540","1200","540","1200","540","1200","540","1200","540","1200","540","1200","540","15679033","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/a5/5c/e8/questa-e-la-nostra-prima.jpg","false","false","-3.315389",,"","Watamu, Coast Province","40.08481","Lunch","Breakfast","Dinner","Brunch","Drinks",,,"Luwa Beach","39","Closed Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 705 716076","111","$$ - $$$","KES 445 - KES 5,929","51","17","#17 of 60 places to eat in Watamu","4.5","1","1","1","6","30","3.4660837650299072","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d15679033-Reviews-Luwa_Beach-Watamu_Coast_Province.html","http://www.facebook.com/tatibeach"
