"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","website","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","establishmentTypes/0","establishmentTypes/1","establishmentTypes/2","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22","subcategories/0","category","rankingDenominator","rankingPosition","name","priceRange","address","webUrl","latitude","longitude","neighborhoodLocations/0/id","neighborhoodLocations/0/name","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","phone","type","email","rating","menuWebUrl","localName","description","locationString","localAddress","rankingString","image","photoCount","openNowText","rawRanking","priceLevel","numberOfReviews","isClosed","isLongClosed","id"
"Contemporary",,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"http://www.thesocialhouse.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Nairobi","Kenya","00100",,"154 James Gichuru Road",,"Takeout","Outdoor Seating","Private Dining","Seating","Parking Available","Valet Parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Live Music","Family style","Non-smoking restaurants","Gift Cards Available",,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","34","The Other Room Restaurant","KES 140,824 - KES 667,062","154 James Gichuru Road, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d21236043-Reviews-The_Other_Room_Restaurant-Nairobi.html","-1.280639","36.768074",,,"0","0","1","2","43","+254 709 216000","RESTAURANT","talktous@thesocialhouse.ke","5","https://tsh.menu/location?id=the-other-room-social-house-nairobi","","Bold, Simple Farm-to-table Dining A pool & lawn-side restaurant bathed in sunlight Farm-to-table ingredients boldly, but simply prepared to let the natural flavors shine Scandinavian-styled interior Buffet and a-la-carte breakfasts and lunches Private dining and culinary events, late afternoons and evenings","Nairobi",,"#34 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/20/00/18/dd/the-oher-room-by-the.jpg","35","Open Now","4.084660053253174","$$ - $$$","46","false","false","21236043"
"Grill",,,,,,,,,,,,,,,,"Africa/Nairobi","1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"http://www.thesocialhouse.ke/restaurants.html",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya","00100",,"154 James Gichuru Road","Lavington, Nairobi","Gift Cards Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salmon",,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","29","Copper The Urban Grill","KES 296,472 - KES 741,180","154 James Gichuru Road Lavington, Nairobi, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d21138141-Reviews-Copper_The_Urban_Grill-Nairobi.html","-1.283578","36.764286",,,"0","1","1","7","57","+254 709 216000","RESTAURANT","talktous@thesocialhouse.ke","5","https://www.thesocialhouse.ke/assets/menus/copper.pdf","","Our Smouldering Urban Brasserie Open-fire grill Emphasis on meat, plus fish and vegetarian Ambiance: warm, relaxed, intimate Open for lunch and dinner. Tuesday to Sunday from 12 pm","Nairobi",,"#29 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/98/46/ed/interior.jpg","57","Open Now","4.360213279724121","$$$$","66","false","false","21138141"
"Japanese","Sushi","Asian","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,"Africa/Nairobi","900","720","1350","1080",,,,,,,,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,"http://horientertainment.wixsite.com/cheka-izakaya",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Drinks",,,,"Lunch","Dinner","Drinks",,,,"Nairobi","Kenya","52702",,"101 Manyani East Road",,"Delivery","Takeout","Reservations","Outdoor Seating","Buffet","Seating","Parking Available","Street Parking","Validated Parking","Free off-street parking","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Cash Only","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noodle","Tempura","Ramen","Okonomiyaki & Takoyaki (Flour Dish)","Salad","Pancakes","Salmon","Tuna","Prawns","Octopus","Fish Soup","Beef","Okonomiyaki","Sashimi","Fish","Pork",,,,,,,,"Sit down","restaurant","832","33","Cheka Japanese Izakaya","KES 1,482 - KES 4,447","101 Manyani East Road, Nairobi 52702 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d8123125-Reviews-Cheka_Japanese_Izakaya-Nairobi.html","-1.284619","36.77213",,,"7","6","18","69","181","+254 717 700666","RESTAURANT","horientertainment@gmail.com","4.5","https://horientertainment.wixsite.com/cheka-izakaya/menu","","Japanese style Restaurant&Bar ""IZAKAYA"" which operated by Japanese in Nairobi Kenya The restaurant name ""CHEKA"" means ""Laugh"" in Swahili language:))","Nairobi",,"#33 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0d/44/56/3f/cheka-dinner.jpg","292","Open Now","4.091238021850586","$$ - $$$","281","false","false","8123125"
"Contemporary","Fusion","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"Africa/Nairobi","1140","600",,,,,,,,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","600",,,,,"http://about-thyme.com/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Brunch","Drinks",,,"Lunch","Dinner","Brunch","Drinks",,,"Nairobi","Kenya","00800",,,"Corner of Peponi Road and Eldama Ravine Road","Delivery","Takeout","Outdoor Seating","Seating","Parking Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Validated Parking","Highchairs Available","Accepts Credit Cards","Table Service",,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Pasta","Burger","Ribs","Salad","Wings","Calamari","Key lime pie","Tortellini","Tortelloni","Tuna","Prawns","Duck","Pesto","Fish","Pork",,,,,,,,"Sit down","restaurant","833","37","About Thyme",,"Corner of Peponi Road and Eldama Ravine Road, Nairobi 00800 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d3809850-Reviews-About_Thyme-Nairobi.html","-1.253093","36.80312",,,"12","12","48","129","156","+254 721 850026","RESTAURANT","reservations@about-thyme.com","4","http://linktr.ee/about_thyme","","Intimate dining in a leafy, secluded area of Westlands (Nairobi, Kenya) where good food and drinks can be enjoyed in a tranquil setting. About Thyme offers an eclectic menu with imaginative, well-prepared and beautifully presented dishes from around the world. There is something to cater for all tastes with a wide range of vegetarian dishes. Our desserts are a special treat and have become famous over the years. We're perfect for business lunches and dinners, dates, girls' night out, Sunday brunch, family time - just about any reason to share fantastic food and ambiance with good people. See Less","Nairobi",,"#37 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/b6/df/68/duck-spring-rolls-with.jpg","178","Open Now","4.001581192016602","$$ - $$$","357","false","false","3809850"
"Indian","Asian","Vegetarian Friendly","Vegan Options","Halal","Gluten Free Options",,,,,,,,,,,"Africa/Nairobi","930","750","1350","1110",,,"930","750","1350","1110",,,"930","750","1350","1110",,,"930","750","1350","1110",,,"930","750","1350","1110",,,"930","750","1350","1110",,,"930","750","1350","1110",,,"http://haandi-kenya.com/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night",,,,"Lunch","Dinner","Late Night",,,,"Nairobi","Kenya","00800",,"The Mall Shopping Centre","Ring Rd Westlands, Westlands","Outdoor Seating","Private Dining","Takeout","Reservations","Seating","Parking Available","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Free Wifi","Accepts Credit Cards","Table Service",,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Chili","Curry","Prawns","Lamb","Fish",,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","35","Haandi Restaurant",,"The Mall Shopping Centre Ring Rd Westlands, Westlands, Nairobi 00800 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d802603-Reviews-Haandi_Restaurant-Nairobi.html","-1.264386","36.802425",,,"20","29","88","268","314","+254 733 648294","RESTAURANT","haandi@haandi-kenya.com","4",,"","Haandi specialises in North Indian Frontier cuisine and true to the spirit of the original concept, the masalas are freshly-prepared daily, all the dishes are cooked to order and absolutely everything you eat is created on the premises. Our trademark glass fronted kitchens add an element of drama to each restaurant, allowing you, the diner, to watch the chefs as they create their own brand of magic. We have always insisted on the freshest, finest ingredients available and this policy has rewarded us with a reputation where quality is paramount and the satisfaction of you, the customer, always comes first. and of course the service is exemplary.","Nairobi",,"#35 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/10/2c/7e/41/table-set-up.jpg","96","Open Now","4.040773391723633","$$ - $$$","719","false","false","802603"
"Indian","Asian","Vegetarian Friendly","Vegan Options","Halal","Gluten Free Options",,,,,,,,,,,"Africa/Nairobi","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"http://www.openhouserestaurant.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night",,,,"Lunch","Dinner","Late Night",,,,"Nairobi","Kenya","00800",,"Parc d'Elx, Platja de Ponent","Gallant Mall on Parklands road","Delivery","Takeout","Reservations","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Accepts Credit Cards","Table Service",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wings","Chili","Curry","Prawns","Lamb","Fish",,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","31","Open House Restaurant","KES 741 - KES 2,224","Parc d'Elx, Platja de Ponent Gallant Mall on Parklands road, Nairobi 00800 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1898496-Reviews-Open_House_Restaurant-Nairobi.html","-1.263731","36.80265",,,"7","10","45","243","340","+254 727 726345","RESTAURANT","openhouse.restaurant@gmail.com","4.5","http://www.openhouserestaurant.co.ke/menus.html","","At Open House Restaurants, we believe that Fine Indian Cuisine comes from a delicate balance of succulent food, authentic ambiance and personalised service. So when you walk into our doors, be ready to experience a connucopia of indian flavours, whilst being transported into our traditionally set surroundings. Feel free to enquire about your taste preference or take suggestion from our experienced staff. Enjoy!","Nairobi",,"#31 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-s/03/5e/06/78/mezzanine.jpg","70","Open Now","4.292655944824219","$$ - $$$","625","false","false","1898496"
"Peruvian","South American",,,,,,,,,,,,,,,"Africa/Nairobi","1410","780",,,,,"1410","780",,,,,"1410","780",,,,,"1410","780",,,,,"1410","780",,,,,"1410","780",,,,,"1410","780",,,,,"http://www.thesocialhouse.ke/restaurants.html",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Drinks",,,,"Lunch","Dinner","Drinks",,,,"Nairobi","Kenya","00100",,"154 James Gichuru Road","Lavington, Nairobi","Reservations","Delivery","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","25","Inca Restaurant","KES 177,883 - KES 741,180","154 James Gichuru Road Lavington, Nairobi, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d21138130-Reviews-Inca_Restaurant-Nairobi.html","-1.283556","36.76433",,,"3","2","0","11","95","+254 709 216000","RESTAURANT","talktous@thesocialhouse.ke","4.5","https://www.thesocialhouse.ke/assets/menus/inca-food.pdf","","Our Rooftop Peruvian Melting Pot A distillation of Peru's diverse culinary heritage Rooftop restaurant in colourful Peruvian tones Sharing cocktails and platters Live music, events, and private parties Open late afternoons and evening","Nairobi",,"#25 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/bc/16/dc/sushi-festival-ceviche.jpg","38","Open Now","4.422755718231201","$$ - $$$","111","false","false","21138130"
"African","Ethiopian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"Africa/Nairobi","1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"http://www.habesharestaurant.net",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Brunch","Late Night",,,"Lunch","Dinner","Brunch","Late Night",,,"Nairobi","Kenya","",,"Argwings Kodhek Road near Elgeyo Mrakwet junction","","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Validated Parking","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Accepts Credit Cards","Table Service",,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Pancakes","Curry","Beef","Fish",,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","32","Habesha",,"Argwings Kodhek Road near Elgeyo Mrakwet junction, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1082842-Reviews-Habesha-Nairobi.html","-1.292195","36.779972",,,"11","4","56","183","194","+254 20 3755418","RESTAURANT",,"4",,"",,"Nairobi",,"#32 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/67/98/d0/photo0jpg.jpg","169","Open Now","4.181788444519043","$$ - $$$","432","false","false","1082842"
"Asian","Chinese","Japanese","Thai",,,,,,,,,,,,,"Africa/Nairobi","1440","1020",,,,,"1560","1020",,,,,"1560","1020",,,,,"1560","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"https://www.theasiatic.com/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Dinner","Late Night","Drinks",,,,"Dinner","Late Night","Drinks",,,,"Nairobi","Kenya",,,"Karuna Road","Behind Sarit Centre","Television","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Accepts Credit Cards","Non-smoking restaurants",,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","833","27","Asiatic",,"Karuna Road Behind Sarit Centre, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d24091722-Reviews-Asiatic-Nairobi.html","-1.26116","36.80198",,,"0","0","1","6","55","+254 746 444444","RESTAURANT","reservations@theasiatic.com","5",,"","An exquisite Rooftop bar and Lounge located at the Best Western Plus Westlands Hotel Nairobi","Nairobi",,"#27 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/3d/4a/a4/asiatic.jpg","34","Open Now","4.387548446655273",,"62","false","false","24091722"
"Seafood","Diner","South American",,,,,,,,,,,,,,"Africa/Nairobi",,,,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"http://www.fairmont.com/norfolk-hotel-nairobi/dining/tatu-restaurant/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Dinner",,,,,,"Dinner",,,,,,"Nairobi","Kenya","00100",,"Harry Thuku Road","Fairmont The Norfolk","Outdoor Seating","Seating","Parking Available","Validated Parking","Valet Parking","Highchairs Available","Wheelchair Accessible","Accepts American Express","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Serves Alcohol","Full Bar","Accepts Credit Cards",,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lobster","Salad","Scallops","Salmon","Tuna","Prawns","Beef","Lamb",,,,,,,,,,,,,,,,"Sit down","restaurant","832","22","Tatu Restaurant By Fairmont","KES 155,648 - KES 1,185,888","Harry Thuku Road Fairmont The Norfolk, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1910873-Reviews-Tatu_Restaurant_By_Fairmont-Nairobi.html","-1.278437","36.81637","20484493","Nairobi Central Business District","3","10","23","70","223","+254 795 737786","RESTAURANT","dining.norfolk@fairmont.com","4.5","https://www.fairmont.com/norfolk-hotel-nairobi/pdfs/tatu-menu-food-23rd-june-compressed/","","The city’s iconic restaurant, Tatu, reopens on popular demand with a new menu specializing in finest of seafood, premium cuts of meat and vegetarian delicacies to tantalize your taste buds.

Fashioned in contemporary African style, the restaurant benefits from a patio ideal for dining alfresco whilst overlooking the tropical garden.

Feel welcome and book now !","Nairobi",,"#22 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/29/ba/1b/b2/juicy-steak.jpg","143","Open Now","4.506781578063965","$$$$","329","false","false","1910873"
