"ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","menuWebUrl","website","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","localName","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","establishmentTypes/0","establishmentTypes/1","subcategories/0","description","locationString","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","localAddress","category","rankingDenominator","rankingPosition","name","priceRange","ownersTopReasons","address","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","webUrl","latitude","longitude","rankingString","photoCount","image","openNowText","rawRanking","priceLevel","type","phone","numberOfReviews","isClosed","isLongClosed","id","email","rating"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Seafood","Healthy","Gastropub","Italian","Pub",,,"Africa/Nairobi","1080","600",,,,,"1080","600","1080","600","1080","600","1080","600","1080","600",,,,"http://www.facebook.com/The-Beach-Bar-1523808334592029/","Lunch","Dinner","Brunch",,,"Kilifi","Kenya","80119",,"Plot 22 Kuruwitu",,"Lunch","Dinner","Brunch",,,"","Reservations","Seating","Parking Available","Free off-street parking","Television","Serves Alcohol","Full Bar","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Delivery","Takeout","Outdoor Seating","Highchairs Available","Wheelchair Accessible",,,,"Restaurants",,,"The Beach Bar is now open 6 days a week to all members of the public. Closed on Mondays. Great Seafood menu served on wooden platters, Kids Menu, groovy bar with delicious cocktails and an amazing beach location. The perfect place for a family day out. Activities include: Snorkelling, volley ball, boules, glass bottom boat trips. We cater for parties, weddings etc.","Kilifi, Coast Province",,,,,,,,,,,"restaurant","12","7","The Beach Bar",,,"Plot 22 Kuruwitu, Kilifi 80119 Kenya","4","2","1","7","12","https://www.tripadvisor.com/Restaurant_Review-g608436-d10755126-Reviews-The_Beach_Bar-Kilifi_Coast_Province.html","-3.791158","39.839005","#7 of 14 places to eat in Kilifi","26","https://media-cdn.tripadvisor.com/media/photo-o/0d/99/a4/9c/the-beach-bar.jpg","Closed Now","3.0916590690612793","$$ - $$$","RESTAURANT","+254 710 323230","26","false","false","10755126","beachbarkenya@gmail.com","4"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Italian","Mediterranean",,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.facebook.com/Makuti-Villas-Resort-782737045102981/",,,,,,"Kilifi","Kenya","80108",,"Old Ferry Road",,,,,,,"",,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,"Kilifi, Coast Province",,,,,,,,,,,"restaurant","12","11","Makuti Villas",,,"Old Ferry Road, Kilifi 80108 Kenya","1","0","1","3","2","https://www.tripadvisor.com/Restaurant_Review-g608436-d12936829-Reviews-Makuti_Villas-Kilifi_Coast_Province.html","-3.634414","39.845116","#11 of 14 places to eat in Kilifi","6","https://media-cdn.tripadvisor.com/media/photo-o/12/8f/73/ca/pool-area.jpg",,"3.044814348220825","$$ - $$$","RESTAURANT","+254 792 200599","7","false","false","12936829",,"3.5"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","African","International",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lunch","Dinner","Late Night","Drinks",,"Kilifi","Kenya",,,"38 Bofa Road, Kenya",,"Lunch","Dinner","Late Night","Drinks",,"","Outdoor Seating","Serves Alcohol","Full Bar","Digital Payments","Accepts Credit Cards",,,,,,,,,,,,,,,,"Bars & Pubs","Restaurants",,,"Kilifi, Coast Province",,,,,,,,,,,"restaurant",,,"Salty’s beach bar and restaurant",,,"38 Bofa Road, Kenya, Kilifi Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g608436-d26454386-Reviews-Salty_s_beach_bar_and_restaurant-Kilifi_Coast_Province.html","-3.61849","39.87658",,"0",,,,,"RESTAURANT",,"0","false","false","26454386",,
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","African","Bar","Seafood","International","Pub","Fusion",,"Africa/Nairobi","1290","600",,,,,"1290","600","1290","600","1290","600","1290","600","1290","600",,,,,"Lunch","Dinner","Brunch","Drinks",,"Kilifi","Kenya","80100",,"Mnarani, Bandari Road","Plot 8","Lunch","Dinner","Brunch","Drinks",,"","Delivery","Outdoor Seating","Highchairs Available","Serves Alcohol","Wine and Beer","Free Wifi","Waterfront","Beach","Family style",,,,,,,,,,,,"Restaurants",,"Sit down","The Terrace Bar & Bistro is located right along the creek in a little corner of the leafy, breezy, Kilifi! We are the hidden gem of the hidden gem, and are lucky enough to brag about having the best view, and the best burger in town!","Kilifi, Coast Province",,,,,,,,,,,"restaurant","12","5","The Terrace Bar & Bistro","KES 22,235 - KES 185,295",,"Mnarani, Bandari Road Plot 8, Kilifi 80100 Kenya","0","0","0","1","4","https://www.tripadvisor.com/Restaurant_Review-g608436-d17700871-Reviews-The_Terrace_Bar_Bistro-Kilifi_Coast_Province.html","-3.638931","39.847916","#5 of 14 places to eat in Kilifi","8","https://media-cdn.tripadvisor.com/media/photo-o/1c/b5/93/74/a-fresh-cocktail-and.jpg","Closed Now","3.1205499172210693","$","RESTAURANT","+254 795 485131","5","false","false","17700871","theterracekilifi@gmail.com","5"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Pizza","Fast Food",,,,,,"Africa/Nairobi","1260","600",,,"1260","600","1260","600","1260","600","1260","600","1260","600","1260","600",,,,"http://www.facebook.com/Twende-Pizza-1909787705943381/","Brunch","Lunch","Dinner",,,"Kilifi","Kenya","80108",,"Bofa Road","Near Tuskys Supermarket","Brunch","Lunch","Dinner",,,"","Delivery","Takeout","Outdoor Seating","Seating","Parking Available","Street Parking","Free off-street parking","Wheelchair Accessible","Digital Payments","Cash Only",,,,,,,,,,,"Restaurants",,"Fast food","We are crazy about Pizza....are you? Come indulge in our delicious collection of fast foods: Pizzas, burgers, chicken nuggets, juices...and so much more","Kilifi, Coast Province",,,,,,,,,,,"restaurant","12","12","Twende Pizza","KES 11,859 - KES 118,589",,"Bofa Road Near Tuskys Supermarket, Kilifi 80108 Kenya","0","0","0","1","0","https://www.tripadvisor.com/Restaurant_Review-g608436-d12344173-Reviews-Twende_Pizza-Kilifi_Coast_Province.html","-3.632692","39.848495","#12 of 14 places to eat in Kilifi","5","https://media-cdn.tripadvisor.com/media/photo-o/11/cc/15/0c/front.jpg","Closed Now","3.0117805004119873","$","RESTAURANT","+254 740 129147","1","false","false","12344173","jaymohotienoh@gmail.com","4"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,,,,"Africa/Nairobi","1320","435",,,"1335","435","1320","435","1320","435","1320","435","1320","435","1320","435",,,,,"Breakfast","Lunch","Dinner",,,"Kilifi","Kenya","80108",,"Old Ferry",,"Breakfast","Lunch","Dinner",,,"",,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,"Kilifi, Coast Province",,,,,,,,,,,"restaurant","12","9","Baharia Seafoods And Grill",,,"Old Ferry, Kilifi 80108 Kenya","0","0","0","0","2","https://www.tripadvisor.com/Restaurant_Review-g608436-d24205932-Reviews-Baharia_Seafoods_And_Grill-Kilifi_Coast_Province.html","-3.633626","39.845364","#9 of 14 places to eat in Kilifi","3","https://media-cdn.tripadvisor.com/media/photo-w/28/77/88/dc/caption.jpg","Closed Now","3.0684382915496826",,"RESTAURANT","+254 768 208421","2","false","false","24205932",,"5"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Indian","Filipino","Asian","Thai","European",,,"Africa/Nairobi","1230","600",,,,,"1230","600","1230","600","1230","600","1230","600","1230","600",,,,"http://mabuhay.club","Lunch","Dinner",,,,"Kilifi","Kenya","80108",,"Off Majajani Road,mandharini Residences Kilifi","Mangrove Creek","Lunch","Dinner",,,,"","Delivery","Reservations","Outdoor Seating","Buffet","Private Dining","Parking Available","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts Credit Cards","Table Service","Live Music","Waterfront","Jazz Bar","Beach","Playgrounds","Family style","Gift Cards Available","Restaurants",,"Sit down","Mabuhay means ""Wellcome""in Tagalog the official Language of the Phillipines We are situated direct on the Kilifi Creek at Mandharini Residences. Our Signature Dishes are Mongolian Hot Pot and Tom Yum trad.Thai Seafood Soup. We specialized for Private Parties,Events and Family Dine out.","Kilifi, Coast Province",,,,,,,,,,,"restaurant","12","10","Mabuhay Restaurant Bar&Grill","KES 88,942 - KES 518,826",,"Off Majajani Road,mandharini Residences Kilifi Mangrove Creek, Kilifi 80108 Kenya","1","0","0","3","2","https://www.tripadvisor.com/Restaurant_Review-g608436-d23037746-Reviews-Mabuhay_Restaurant_Bar_Grill-Kilifi_Coast_Province.html","-3.648152","39.8115","#10 of 14 places to eat in Kilifi","9","https://media-cdn.tripadvisor.com/media/photo-o/27/19/77/7d/loved-the-view-and-calmness.jpg","Closed Now","3.06264591217041","$$ - $$$","RESTAURANT","+(254)758864907","6","false","false","23037746","mabuhay.spa@pm.me","4"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Bar","Seafood","Barbecue","Pub","Diner",,,"Africa/Nairobi","1140","720",,,,,,,,,,,"1260","1020","1260","720",,,"https://beneaththebaobabs.com/the-twisted-fig/","http://beneaththebaobabs.com/the-twisted-fig/","Dinner",,,,,"Kilifi","Kenya","80108",,"Beneath The Baobabs",,"Dinner",,,,,"",,,,,,,,,,,,,,,,,,,,,"Restaurants",,,"An al fresco culinary experience set in the heart of the renowned destination festival grounds of Beneath The Baobabs, in Kilifi.","Kilifi, Coast Province",,,,,,,,,,,"restaurant","12","3","The Twisted Fig",,,"Beneath The Baobabs, Kilifi 80108 Kenya","0","0","0","0","12","https://www.tripadvisor.com/Restaurant_Review-g608436-d23838250-Reviews-The_Twisted_Fig-Kilifi_Coast_Province.html","-3.669241","39.83485","#3 of 14 places to eat in Kilifi","29","https://media-cdn.tripadvisor.com/media/photo-m/1280/21/da/14/b4/open-air-deck-seating.jpg","Closed today","3.303056240081787",,"RESTAURANT","+254 798 342079","12","false","false","23838250","twistedfig@beneaththebaobabs.com","5"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","African","Pub",,,,,,"Africa/Nairobi","720","510",,,"720","510","720","510","720","510","720","510","720","510","720","510",,,,"https://www.facebook.com/WildLivingCafe/","Breakfast","Lunch",,,,"Kilifi","Kenya","80108",,,"Situated 1Km South of Kilifi Bridge","Breakfast","Lunch",,,,"","Seating","Wheelchair Accessible","Table Service","Serves Alcohol",,,,,,,,,,,,,,,,,"Restaurants",,,,"Kilifi, Coast Province",,,,,,,,,,,"restaurant","12","6","Wild Living Cafe",,,"Situated 1Km South of Kilifi Bridge, Kilifi 80108 Kenya","1","3","6","13","3","https://www.tripadvisor.com/Restaurant_Review-g608436-d11615849-Reviews-Wild_Living_Cafe-Kilifi_Coast_Province.html","-3.651689","39.841194","#6 of 14 places to eat in Kilifi","12","https://media-cdn.tripadvisor.com/media/photo-o/0e/2e/41/da/wild-living-esterno-giochi.jpg","Closed Now","3.113433599472046","$$ - $$$","RESTAURANT","+254 791 183312","26","false","false","11615849","cafe@wildliving.com","3.5"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Seafood","Mediterranean","European","Vegetarian Friendly",,,,"Africa/Nairobi","1260","720",,,,,"1260","720","1260","720","1260","720","1260","720","1260","720",,,,"http://www.facebook.com/Nautilus-Restaurant-322982854450890/","Lunch","Dinner","Brunch","Late Night",,"Kilifi","Kenya","80108",,"Seahorse Road",,"Lunch","Dinner","Brunch","Late Night",,"","Reservations","Outdoor Seating","Seating","Parking Available","Serves Alcohol","Full Bar","Table Service","Street Parking","Wine and Beer","Waterfront",,,,,,,,,,,"Restaurants",,"Sit down",,"Kilifi, Coast Province","Pasta","Crab","Oyster","Shrimp","Salad","Prawns","Seafood Platters","Pesto","Fish",,"restaurant","12","1","Nautilus",,,"Seahorse Road, Kilifi 80108 Kenya","6","3","9","42","191","https://www.tripadvisor.com/Restaurant_Review-g608436-d3263685-Reviews-Nautilus-Kilifi_Coast_Province.html","-3.633629","39.844463","#1 of 14 places to eat in Kilifi","134","https://media-cdn.tripadvisor.com/media/photo-o/02/dd/39/62/nautilus.jpg","Closed Now","4.059304237365723","$$ - $$$","RESTAURANT","+254 713 762748","251","false","false","3263685","piccolo@iconnect.co.ke","4.5"
,"608436","Kilifi","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Bar","Seafood",,,,,,"Africa/Nairobi","1140","420",,,"1140","420","1140","420","1140","420","1140","420","1140","420","1140","420",,,,,"Lunch","Breakfast","Dinner",,,"Kilifi","Kenya","80108",,"Masha Road","Mnarani West","Lunch","Breakfast","Dinner",,,"","Wheelchair Accessible","Outdoor Seating","Seating","Serves Alcohol","Full Bar","Free Wifi","Parking Available",,,,,,,,,,,,,,"Restaurants",,"Sit down","Situated on the South side of Kilifi Creek, this bar and restaurant is used by residents and visitors alike. Serves a variety of dishes such as fish and chips, crab salad and prawns piri-piri. Delicious burgers are also available as well as vegetarian pasta. The samosas are famous as a snack while drinking in the friendly bar.","Kilifi, Coast Province","Crab","Burger","Oyster","Salad","Calamari","Prawns","Seafood Platters","Fish",,,"restaurant","12","2","Kilifi Boatyard","KES 1,038 - KES 2,372",,"Masha Road Mnarani West, Kilifi 80108 Kenya","5","9","16","39","61","https://www.tripadvisor.com/Restaurant_Review-g608436-d3736765-Reviews-Kilifi_Boatyard-Kilifi_Coast_Province.html","-3.635833","39.840538","#2 of 14 places to eat in Kilifi","93","https://media-cdn.tripadvisor.com/media/photo-o/03/48/c6/aa/getlstd-property-photo.jpg","Closed Now","3.4313275814056396","$$ - $$$","RESTAURANT","+254 722 442334","130","false","false","3736765","kilifiboats@gmail.com","4"
