"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","ancestorLocations/3/abbreviation","ancestorLocations/3/id","ancestorLocations/3/name","ancestorLocations/3/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","email","establishmentTypes/0","establishmentTypes/1","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","menuWebUrl","name","numberOfReviews","openNowText","ownersTopReasons","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Malindi Road Citymall Nyali, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Malindi Road","Citymall Nyali",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Steakhouse","Pizza","Cafe","Seafood","International",,,"More than a Cafe in the Heart of Mombasa. Over seeing the famous Nature Trail Forest our space is designed for the perfect luxury for you to enjoy. Our Menu and Daily specials will leave you satisfied. Our recent addition of Seafood to choose from Lobsters, Prawns, Fish etc. The Wide Dessert section are sweet to make you come back for more. We have also opened our second branch not far from Fort Jesus. Crave is the Place one lists on the bucket list when visiting Mombasa.","Breakfast","Lunch","Dinner",,,,"Pasta","Pesto",,,,,,,,,,,,,,,,"cravekenyaltd@gmail.com","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"23517332","https://media-cdn.tripadvisor.com/media/photo-o/29/ec/62/48/caption.jpg","false","false","-4.019545",,"","Mombasa, Coast Province","39.7208","Breakfast","Lunch","Dinner",,,,"https://www.facebook.com/pg/cravechocolateriver/menu/","Crave","28","Open Now",,"+254 705 000275","39",,,"144","23","#23 of 188 places to eat in Mombasa","4.5","3","0","0","1","24","3.402867555618286",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d23517332-Reviews-Crave-Mombasa_Coast_Province.html","http://crave-mombasa.business.site"
"Links Road Nyali Centre, Mombasa 00505 Kenya","Mombasa","Kenya","00505",,"Links Road","Nyali Centre",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Healthy","Vegetarian Friendly",,,,,,,"Breakfast","Lunch","Brunch","Dinner",,,"Sandwiches","Burger","Salad","Fish",,,,,,,,,,,,,,"guest.relations@javahouseafrica.com","Restaurants",,"Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Free Wifi","Accepts Credit Cards","Table Service","Takeout","Outdoor Seating",,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","480",,,"1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1380","420",,,"1380","480",,,"4497244","https://media-cdn.tripadvisor.com/media/photo-o/05/db/d4/75/nairobi-java-house-mombasa.jpg","false","false","-4.022238",,"","Mombasa, Coast Province","39.719685","Breakfast","Lunch","Brunch","Dinner",,,"https://www.javahouseafrica.com/our-menu/","Java House Nyali","141","Open Now",,"+254 718 543579","40","$$ - $$$",,"144","27","#27 of 188 places to eat in Mombasa","4","11","9","24","48","49","3.340752601623535","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d4497244-Reviews-Java_House_Nyali-Mombasa_Coast_Province.html","https://www.javahouseafrica.com/"
"Nyerere Ave Rali House Building, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Nyerere Ave","Rali House Building",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","African","Cafe","Asian","Diner","Arabic","Vegetarian Friendly",,"best food in qaffee point restaurant, It's a weekend vibe at Qaffee POINT. Drop by and experience some quality food time.","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,,,,,,,,,,,,,,,,,"qaffeepoint1@gmail.com","Restaurants",,"Reservations","Table Service","Seating",,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"16739335","https://media-cdn.tripadvisor.com/media/photo-o/17/72/3f/33/qaffee-point.jpg","false","false","-4.066253",,"","Mombasa, Coast Province","39.6703","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","http://qaffeepoint.com/","Qaffee Point","21","Open Now",,"+254 798 776444","34","$$ - $$$",,"144","28","#28 of 188 places to eat in Mombasa","4.5","0","1","0","3","17","3.3312301635742188",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d16739335-Reviews-Qaffee_Point-Mombasa_Coast_Province.html","http://www.qaffeepoint.com"
"Nyali Cinemax Main Nyali Road, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Nyali Cinemax","Main Nyali Road",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Indian","Fast Food","Asian","Vegetarian Friendly","Vegan Options",,,"Bollywood Bites is Mombasa's premier authentic Indian vegetarian restaurant located at Nyali Cinemax. Our menu remains true to Indian roots combining the best of Southern and Northern India. Our specialties include our Dosas, Punjabi Curries, Chaat and fresh juices. We aim to provide the most authentic Indian cuisine with the promise of fresh ingredients and sauces combined with original Indian spices.","Lunch","Dinner",,,,,"Juice & Smoothies",,,,,,,,,,,,,,,,,"info@nyalicinemax.com","Restaurants",,"Delivery","Takeout","Reservations","Seating","Parking Available","Free off-street parking","Accepts Visa","Highchairs Available","Serves Alcohol","Accepts Credit Cards",,,,,,,,,,,,,,,,,,"Africa/Nairobi","1140","720",,,,,,,"1140","720",,,"1140","720",,,"1140","720",,,"1140","720",,,"1140","720",,,"2168176","https://media-cdn.tripadvisor.com/media/photo-o/03/7a/40/d0/bollywood-bites.jpg","false","false","-4.048529",,"","Mombasa, Coast Province","39.685696","Lunch","Dinner",,,,,"http://issuu.com/nyalicinemax/docs/bollywood_menu_a4_2014-_full/1","Bollywood Bites","67","Closed Now",,"+254 786 470006","33","$$ - $$$",,"144","19","#19 of 188 places to eat in Mombasa","4","0","2","4","37","24","3.4754552841186523","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d2168176-Reviews-Bollywood_Bites-Mombasa_Coast_Province.html","http://nyalicinemax.com/bollywood-bites-at-nyali-cinemax/"
"Bamburi Beach, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Bamburi Beach",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Seafood",,,,,,,,"Dinner","Breakfast","Lunch","Late Night",,,"Crab","Lobster","Prawns","Fish",,,,,,,,,,,,,,"reservations4@sarovahotels.com","Restaurants",,"Reservations","Outdoor Seating","Seating","Serves Alcohol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3369602","https://media-cdn.tripadvisor.com/media/photo-o/04/82/07/5f/lido-sea-food-grill.jpg","false","false","-3.994",,"","Mombasa, Coast Province","39.734554","Dinner","Breakfast","Lunch","Late Night",,,,"Lido Sea Food Grill","43",,,"+254 41 2128000","20","$$ - $$$","KES 4,447 - KES 7,412","144","26","#26 of 188 places to eat in Mombasa","4.5","1","2","1","8","31","3.3429479598999023","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d3369602-Reviews-Lido_Sea_Food_Grill-Mombasa_Coast_Province.html","http://www.sarovahotels.com"
"Nyali Road Ratna Square Nyali, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Nyali Road","Ratna Square Nyali",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Indian","Vegetarian Friendly","Halal",,,,,"Enjoy our fresh seafood specials and Indian cuisine in a peaceful environment... we make what our customers want whether its Indian, Italian, Chinese, or International. We make sure our quality, service and portions are the best in town. We have seating space of upto 100 people, and do outside catering as well as buffets.","Lunch","Dinner",,,,,"Fish",,,,,,,,,,,,,,,,,"rahimjivraj110@gmail.com","Restaurants",,"Delivery","Takeout","Reservations","Seating","Serves Alcohol","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"3574067","https://media-cdn.tripadvisor.com/media/photo-o/10/f9/58/23/caption.jpg","false","false","-4.046931",,"","Mombasa, Coast Province","39.684498","Lunch","Dinner",,,,,,"Rozina Nyali","60","Open Now",,"+254 724 984373","49","$$ - $$$","KES 741 - KES 7,412","144","20","#20 of 188 places to eat in Mombasa","4","0","1","8","32","19","3.4392919540405273","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d3574067-Reviews-Rozina_Nyali-Mombasa_Coast_Province.html","http://www.rozinarestaurant.com"
"Mombasa Malindi Road Next to citi mall - 4th Avenue, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Mombasa Malindi Road","Next to citi mall - 4th Avenue",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Steakhouse","Seafood","Barbecue","Eastern European","Halal","Vegetarian Friendly",,"A staple house hold name in the Indian BBQ grilling tradition offering our signature grilled meat and seafood varieties along with local favorites. We are a multi cuisine and curate our menu with our age old recipes to the liking of everyone taste and standards of today We offer In house and outside catering providing facilities for Functions and banqueting with our hall and outdoor garden spaces available as per request","Dinner","Lunch",,,,,"Prawns","Fish",,,,,,,,,,,,,,,,"imranbutt.90@hotmail.com","Restaurants",,"Delivery","Takeout","Outdoor Seating","Buffet","Seating","Parking Available","Highchairs Available","Accepts Mastercard","Accepts Visa","Digital Payments","Table Service","Reservations","Wheelchair Accessible",,,,,,,,,,,,,,,"Africa/Nairobi","990","660","1350","1140",,,,,"930","660","1350","1140","930","660","1350","1140","930","660","1350","1140","930","660","1350","1140","960","660","1350","1140","6103996","https://media-cdn.tripadvisor.com/media/photo-o/05/4d/d6/e3/getlstd-property-photo.jpg","false","false","-4.017962",,"","Mombasa, Coast Province","39.721817","Dinner","Lunch",,,,,,"Splendid View Restaurant Bamburi","57","Open Now",,"+254 721 514565","74","$$ - $$$","KES 148 - KES 2,224","144","17","#17 of 188 places to eat in Mombasa","4.5","3","1","4","9","41","3.5099968910217285","Café","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d6103996-Reviews-Splendid_View_Restaurant_Bamburi-Mombasa_Coast_Province.html","http://web.facebook.com/splendidviewbamburi"
"Links Rd Shariffa Complex, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Links Rd","Shariffa Complex",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Seafood","Barbecue","Grill",,,,,,"Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","810",,,,,,,"1320","810",,,"1320","810",,,"1320","810",,,"1320","810",,,"1320","810",,,"20145190","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/f0/e3/e3/welcome-to-zains-barbeque.jpg","false","false","-4.034924",,"","Mombasa, Coast Province","39.70865","Lunch","Dinner",,,,,,"Zains Barbeque House","20","Open Now",,"+254 716 204212","21",,,"144","25","#25 of 188 places to eat in Mombasa","5","0","1","0","1","18","3.3601126670837402",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d20145190-Reviews-Zains_Barbeque_House-Mombasa_Coast_Province.html","https://www.facebook.com/zainsbarbequehouse/"
"Links Road Nyali, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"Links Road","Nyali",,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Japanese","Seafood","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,"Lunch","Dinner",,,,,"Lobster","Tempura","Salad","Salmon","Tuna","Prawns","Beef","Sashimi","Fish",,,,,,,,,,"Restaurants",,"Takeout","Reservations","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1786443","https://media-cdn.tripadvisor.com/media/photo-o/0c/4a/ae/37/20160729-203635-largejpg.jpg","false","false","-4.022317",,"","Mombasa, Coast Province","39.720295","Lunch","Dinner",,,,,,"Misono","145",,,"+254 722 530204","64","$$$$",,"144","21","#21 of 188 places to eat in Mombasa","4","8","2","23","36","76","3.4344053268432617","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d1786443-Reviews-Misono-Mombasa_Coast_Province.html","http://www.facebook.com/pages/Misono-restaurant/168448403191790"
"The Avenue Building, Behind City Mall, Mombasa 80100 Kenya","Mombasa","Kenya","80100",,"The Avenue Building, Behind City Mall",,,"294210","Mombasa","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","American","Fast Food","Pub","Vegan Options",,,,"10 Street - Ten Meals One Way >> 10 Street is Mombasa's newest fast food restaurant in the heart of Nyali. Mouth watering food fast!","Breakfast","Lunch","Dinner","Brunch",,,"Burger",,,,,,,,,,,,,,,,,"10street10street@gmail.com","Restaurants",,"Takeout","Seating","Wheelchair Accessible","Delivery",,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"12938489","https://media-cdn.tripadvisor.com/media/photo-o/10/d4/fb/df/10-street.jpg","false","false","-4.021218",,"","Mombasa, Coast Province","39.721077","Breakfast","Lunch","Dinner","Brunch",,,,"10 Street","37","Open Now",,"+254 706 101010","49","$","KES 57,812 - KES 146,754","144","30","#30 of 188 places to eat in Mombasa","4","1","1","5","14","16","3.292900323867798","Fast food","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294210-d12938489-Reviews-10_Street-Mombasa_Coast_Province.html","http://www.10street.com"
