"ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","menuWebUrl","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","website","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","localName","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","establishmentTypes/0","establishmentTypes/1","subcategories/0","description","locationString","dishes/0","localAddress","category","rankingDenominator","rankingPosition","name","priceRange","ownersTopReasons","address","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","webUrl","latitude","longitude","rankingString","photoCount","image","openNowText","rawRanking","priceLevel","type","phone","numberOfReviews","isClosed","isLongClosed","id","email","rating"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","African","Cafe","Barbecue",,,,,"Africa/Nairobi","1200","510","1200","510","1200","510","1200","510","1200","510","1200","510","1200","510","http://www.funplace.co.ke","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Kitengela","Kenya",,,"Namanga Highway",,"","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Delivery","Takeout","Reservations","Outdoor Seating","Buffet","Private Dining","Seating","Parking Available","Television","Wheelchair Accessible","Serves Alcohol","Digital Payments","Free Wifi","Gift Cards Available",,,,,"Restaurants",,,"A family entertainment center serving the best nyama choma and a signature Yakitori chicken. GMC also has an entertainment park with various games and swimming for all ages.","Kitengela, Rift Valley Province",,,"restaurant",,,"GMC Place Kitengela",,,"Namanga Highway, Kitengela Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g13004822-d26434247-Reviews-GMC_Place_Kitengela-Kitengela_Rift_Valley_Province.html","-2.552094","36.783897",,"0",,"Closed Now",,,"RESTAURANT","+254 701 560560","0","false","false","26434247","info@funplace.co.ke",
,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://secretingredientslimited.com/",,,,,,,"Nairobi","Kenya",,,"Gateway Mall",,"",,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,"Nairobi",,,"restaurant","832","691","Secret Ingredients",,,"Gateway Mall, Nairobi Kenya","0","0","0","1","0","https://www.tripadvisor.com/Restaurant_Review-g294207-d20259702-Reviews-Secret_Ingredients-Nairobi.html","-1.36421","36.912148","#691 of 1,048 places to eat in Nairobi","0",,,"3.015636920928955",,"RESTAURANT","+254 720 800844","1","false","false","20259702","info@secretingredientsltd.com","4"
,"12245284","Syokimau","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","African","Ethiopian",,,,,,"Africa/Nairobi","1200","540","1200","540","1200","540","1200","540","1200","540","1200","540","1200","540",,"Breakfast","Lunch","Dinner",,,,"Syokimau","Kenya",,,"Syokimart Building","Katani Road off Mombasa Highway.","","Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,"Best Ethiopian cuisine along Mombasa road located on katani road off Mombasa express highway 1 km off.We offer exceptional tantalizing dishes and coffee.","Syokimau, Eastern Province",,,"restaurant","2","1","Mj Ethiopian Cuisine",,,"Syokimart Building Katani Road off Mombasa Highway., Syokimau Kenya","0","0","0","0","1","https://www.tripadvisor.com/Restaurant_Review-g12245284-d25083627-Reviews-Mj_Ethiopian_Cuisine-Syokimau_Eastern_Province.html","-1.371765","36.935596","#1 of 3 places to eat in Syokimau","13","https://media-cdn.tripadvisor.com/media/photo-o/26/a4/80/f0/mixed-dish.jpg","Closed Now","3.0431339740753174",,"RESTAURANT","+254 714 358792","1","false","false","25083627","njorogegits@gmail.com","5"
,"12245284","Syokimau","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","American","African","Fast Food","Barbecue","Beer restaurants","https://www.flipsnack.com/6CFCDDDD75E/tamz-pizza-menu.html",,"Africa/Nairobi","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480",,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Syokimau","Kenya","00100",,"Syokimau Katani Road","Next To Syokimart","","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Delivery","Takeout","Reservations","Outdoor Seating","Buffet","Private Dining","Seating","Parking Available","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Cash Only","Free Wifi","Accepts Credit Cards","Table Service","Live Music","Playgrounds","Restaurants",,"Sit down","One of Kenya's most beloved restaurants, Tamz Restaurant Launge & Bar has welcomed guests to enjoy its contemporary cuisines, warm hospitality, and unparalleled service in Nairobi Kenya for years. Our ever-evolving seasonal menu showcases the restaurant's relationships with local and international dishes. Tamz Restaurant Launge & Bar is marching towards being Nairobi's hub for signature dishes.","Syokimau, Eastern Province",,,"restaurant","2","2","Tamz Restaurant Launge & Bar","KES 741 - KES 4,447",,"Syokimau Katani Road Next To Syokimart, Syokimau 00100 Kenya","1","0","0","0","1","https://www.tripadvisor.com/Restaurant_Review-g12245284-d23092811-Reviews-Tamz_Restaurant_Launge_Bar-Syokimau_Eastern_Province.html","-1.371637","36.935894","#2 of 3 places to eat in Syokimau","41","https://media-cdn.tripadvisor.com/media/photo-o/1c/8b/69/8c/talk-of-vip-lounge-experience.jpg","Open Now","2.964430809020996","$$ - $$$","RESTAURANT","+254 720 446120","2","false","false","23092811","tamzkatani@gmail.com","3"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","African",,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,"Breakfast","Lunch","Dinner",,,,"Kitengela","Kenya",,,"Along Nairobi-namanga Road",,"","Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,"Bars & Pubs","Restaurants",,,"Kitengela, Rift Valley Province",,,"restaurant","10","10","Rixxos",,,"Along Nairobi-namanga Road, Kitengela Kenya","1","0","1","0","0","https://www.tripadvisor.com/Restaurant_Review-g13004822-d25229472-Reviews-Rixxos-Kitengela_Rift_Valley_Province.html","-1.52484","36.94595","#10 of 13 places to eat in Kitengela","4","https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/2a/43/c1/discover-a-dining-experience.jpg","Open Now","2.711574077606201",,"RESTAURANT",,"2","false","false","25229472",,"2"
,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Mexican","American","African","International","European",,,"Africa/Nairobi","1380","420","1380","420","1380","420","1380","420","1380","420","1380","420","1380","420","https://cjs.co.ke/","Breakfast","Lunch","Dinner",,,,"Nairobi","Kenya",,,"Imaara Shopping Mall",,"","Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,"CJ’s, a fully fledged restaurant specializing in delivering a relaxed and memorable dining experience. Each location features a unique ambience with tasteful décor, specially designed for your comfort. To make you feel more at home, we’ve carefully selected a unique theme for each location.","Nairobi","Burger",,"restaurant","832","28","Cjs - Imaara",,,"Imaara Shopping Mall, Nairobi Kenya","1","1","8","26","566","https://www.tripadvisor.com/Restaurant_Review-g294207-d25184060-Reviews-Cjs_Imaara-Nairobi.html","-1.32789","36.88155","#28 of 1,048 places to eat in Nairobi","97","https://media-cdn.tripadvisor.com/media/photo-o/28/ef/71/df/cjs-imaara.jpg","Open Now","4.3705644607543945",,"RESTAURANT","+254 714 000090","602","false","false","25184060","cjs.imaara@cjs.co.ke","5"
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","African",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kitengela","Kenya","20100",,"Yukos","Sinket Arcade,ground Floor","",,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,"Kitengela, Rift Valley Province",,,"restaurant","10","6","Su Cakes And Dusty Grill Bistro",,,"Yukos Sinket Arcade,ground Floor, Kitengela 20100 Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g13004822-d21013051-Reviews-Su_Cakes_And_Dusty_Grill_Bistro-Kitengela_Rift_Valley_Province.html","-1.507609","36.953518","#6 of 13 places to eat in Kitengela","0",,,"3.0371222496032715",,"RESTAURANT","+254 736 966605","0","false","false","21013051",,
,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","African",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kitengela","Kenya",,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,"Kitengela, Rift Valley Province",,,"restaurant",,,"Yuko's Restaurant",,,"Kitengela Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g13004822-d15275069-Reviews-Yuko_s_Restaurant-Kitengela_Rift_Valley_Province.html",,,,"0",,,,,"RESTAURANT",,"0","false","false","15275069",,
,"1943153","Athi River","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","Diner","African","Barbecue","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,"http://www.pacegardenskenya.com",,,,,,,"Athi River","Kenya",,,"Acacia Road","Kitengela","",,,,,,,"Outdoor Seating","Seating","Parking Available","Serves Alcohol","Full Bar","Digital Payments","Cash Only",,,,,,,,,,,,"Restaurants",,"Sit down","The restaurant has an a la carte menu with a a good variety and is an outdoor restaurant set in landscaped gardens. We also have a childrens Fun Park.","Athi River, Eastern Province",,,"restaurant","3","3","Pace Gardens","KES 59,294 - KES 103,765",,"Acacia Road Kitengela, Athi River Kenya","0","0","0","3","3","https://www.tripadvisor.com/Restaurant_Review-g1943153-d9560764-Reviews-Pace_Gardens-Athi_River_Eastern_Province.html","-1.524446","36.896385","#3 of 4 places to eat in Athi River","1","https://media-cdn.tripadvisor.com/media/photo-o/09/c2/03/cf/getlstd-property-photo.jpg",,"3.076754093170166","$$ - $$$","RESTAURANT","+254 719 182029","6","false","false","9560764","info@pacegardenskenya.com","4.5"
,"1943153","Athi River","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","Indian","African","Arabic",,,,,"Africa/Nairobi","1410","510","1410","450","1410","450","1410","450","1410","450","1410","450","1410","450",,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Athi River","Kenya",,,"Mombasa Road",,"","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Delivery","Takeout","Free Wifi",,,,,,,,,,,,,,,,"Restaurants",,,,"Athi River, Eastern Province",,,"restaurant","3","2","Khan's Restaurant And Barbeque",,,"Mombasa Road, Athi River Kenya","0","0","0","0","2","https://www.tripadvisor.com/Restaurant_Review-g1943153-d25346336-Reviews-Khan_s_Restaurant_And_Barbeque-Athi_River_Eastern_Province.html","-1.44316","36.99228","#2 of 4 places to eat in Athi River","7","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/e9/0e/8d/we-are-delighted-to-welcome.jpg","Open Now","3.0802083015441895",,"RESTAURANT","+254 714 601143","2","false","false","25346336","khansrestausrantandbarbeque@gmail.com","5"
