"ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","ancestorLocations/3/abbreviation","ancestorLocations/3/id","ancestorLocations/3/name","ancestorLocations/3/subcategory","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","menuWebUrl","website","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","localName","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","features/0","features/1","features/2","features/3","features/4","features/5","features/6","establishmentTypes/0","establishmentTypes/1","description","subcategories/0","locationString","localAddress","category","rankingDenominator","rankingPosition","name","priceRange","ownersTopReasons","address","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","webUrl","latitude","longitude","rankingString","photoCount","image","openNowText","rawRanking","priceLevel","type","phone","numberOfReviews","isClosed","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","isLongClosed","id","email","rating"
,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.subirahouse.com",,,,,,,,,,,,,,,,"Kenya",,,"Subira House","Behind Lamu Fort","",,,,,,,,,,,,"Restaurants",,"We cook only on request as it is important to design our three course dinner from nearby sources of organic ally locally grown vegetables and fresh sea food. Our back ground food philosophy is in the Slow Food Movement.We have our own shamba (small farm) 3 km on the island where we do trials growing vegetables in the enriched sandy Lamu soil. All the organic wastes from Subira House is brought there by our two donkeys to fertilize the sand.Our cook Michael has a long experience cooking at Peponi´s Hotel for 20 years.So very welcome to book with us at small Karkadeh Restaurant max 12 guests. Please book at the latest the same morning. Christina Aarts","Sit down","Lamu Island, Coast Province",,"restaurant","20","15","Karkadeh Restaurant","KES 1,186 - KES 2,965",,"Subira House Behind Lamu Fort, Lamu Island Kenya","0","0","0","1","2","https://www.tripadvisor.com/Restaurant_Review-g294208-d3824059-Reviews-Karkadeh_Restaurant-Lamu_Island_Coast_Province.html","-2.269437","40.901978","#15 of 23 places to eat in Lamu Island","9","https://media-cdn.tripadvisor.com/media/photo-o/03/6d/9f/6a/karkadeh-restaurant.jpg",,"3.033612012863159","$$ - $$$","RESTAURANT","+254 726 916686","3","false",,,,,"false","3824059","info@subirahouse.com","4.5"
,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"African","Seafood","International",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenya","80500",,"Seafront street","Between Fisheries & Talking trees","",,,,,,,,,,,,"Restaurants",,"The restaurant and bar are floating on the indian ocean. Its the one and only floating restaurant and bar in Lamu and one of its unique kind. The best place to enjoy a seafood platter, good service and a beautiful sunset.","Sit down","Lamu Island, Coast Province",,"restaurant","20","18","New Floating bar and Restaurant","KES 74,118 - KES 592,944",,"Seafront street Between Fisheries & Talking trees, Lamu Island 80500 Kenya","0","0","0","1","0","https://www.tripadvisor.com/Restaurant_Review-g294208-d21240887-Reviews-New_Floating_bar_and_Restaurant-Lamu_Island_Coast_Province.html","-2.309636","40.893646","#18 of 23 places to eat in Lamu Island","0",,,"3.018725633621216","$$ - $$$","RESTAURANT","+254 721 510852","1","false",,,,,"false","21240887","fridah_njeri@yahoo.com","4"
,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenya","",,"","","",,,,,,,,,,,,"Restaurants",,,,"Lamu Island, Coast Province",,"restaurant","20","17","Stone House Hotel",,,"Lamu Island Kenya","0","0","1","2","1","https://www.tripadvisor.com/Restaurant_Review-g294208-d1214034-Reviews-Stone_House_Hotel-Lamu_Island_Coast_Province.html","-2.290435","40.86775","#17 of 23 places to eat in Lamu Island","0",,,"3.021017551422119",,"RESTAURANT","633544","4","false",,,,,"false","1214034",,"4"
,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"Seafood",,,,,,,"Africa/Nairobi","1380","480","1320","480","1320","480","1320","480","1320","480","1380","480","1380","480",,"https://www.facebook.com/lamusunsailhotel/",,,,,,,,,,,,,,,,"Kenya",,,"Waterfront","Sunsail Hotel","","Breakfast","Lunch","Dinner",,,,,,,,,"Restaurants",,"The Restaurant is Part of Sunsail Hotel, located at the Beachfront and centre of Lamu town. Experience the swahili lifestyle and dine the Island way. Seafood Grills every evening on the Beachfront, Ala-Carte Menu.","Sit down","Lamu Island, Coast Province",,"restaurant","20","12","Sunsail Restaurant & B.B.Q","KES 2,224 - KES 14,824",,"Waterfront Sunsail Hotel, Lamu Island Kenya","0","0","1","1","3","https://www.tripadvisor.com/Restaurant_Review-g294208-d13341812-Reviews-Sunsail_Restaurant_B_B_Q-Lamu_Island_Coast_Province.html","-2.30411","40.85699","#12 of 23 places to eat in Lamu Island","12","https://media-cdn.tripadvisor.com/media/photo-o/11/bd/b6/d5/evening-swahili-tea-served.jpg","Closed Now","3.073927879333496","$$$$","RESTAURANT","+254 705 588888","5","false","Breakfast","Lunch","Dinner",,"false","13341812","sunsailhotel@gmail.com","4.5"
,"2258413","Shela","City",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,,,,,,,,"https://www.facebook.com/maskaniyouthinitiative/",,,,,,,,,,,,,,,"Shela","Kenya",,,,,"",,,,,,,,,,,,"Restaurants",,,,"Shela, Lamu Island, Coast Province",,"restaurant","4","3","Dada-Swahili Cafe",,,"Shela, Lamu Island Kenya","0","0","0","1","2","https://www.tripadvisor.com/Restaurant_Review-g2258413-d18379499-Reviews-Dada_Swahili_Cafe-Shela_Lamu_Island_Coast_Province.html","-2.293101","40.913868","#3 of 4 places to eat in Shela","2","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/03/21/c9/photo0jpg.jpg",,"3.0649383068084717","$","RESTAURANT","+254 799 344425","3","false",,,,,"false","18379499",,"4.5"
,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"Italian","French","Barbecue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenya","80500",,"Manda Beach","next to Majlis and opposite Peponi","",,,,,,,,,,,,"Restaurants",,,,"Lamu Island, Coast Province",,"restaurant",,,"Kanja Arts Club",,,"Manda Beach next to Majlis and opposite Peponi, Lamu Island 80500 Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g294208-d23396544-Reviews-Kanja_Arts_Club-Lamu_Island_Coast_Province.html","-2.298251","40.922832",,"0",,,,,"RESTAURANT",,"0","false",,,,,"false","23396544",,
,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenya","",,"","","",,,,,,,,,,,,"Restaurants",,,,"Lamu Island, Coast Province",,"restaurant","20","20","New Minaa Cafe",,,"Lamu Island Kenya","0","0","1","1","0","https://www.tripadvisor.com/Restaurant_Review-g294208-d1214030-Reviews-New_Minaa_Cafe-Lamu_Island_Coast_Province.html","-2.290435","40.86775","#20 of 23 places to eat in Lamu Island","0",,,"3.005526542663574",,"RESTAURANT",,"2","false",,,,,"false","1214030",,"3.5"
,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"Seafood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenya",,,"Harambee Avenue",,"",,,,,"Reservations",,,,,,,"Restaurants",,,,"Lamu Island, Coast Province",,"restaurant","20","10","Mwana Arafa",,,"Harambee Avenue, Lamu Island Kenya","0","1","0","1","6","https://www.tripadvisor.com/Restaurant_Review-g294208-d8624552-Reviews-Mwana_Arafa-Lamu_Island_Coast_Province.html",,,"#10 of 23 places to eat in Lamu Island","1","https://media-cdn.tripadvisor.com/media/photo-o/0e/bb/da/e0/10.jpg",,"3.0883126258850098","$$ - $$$","RESTAURANT",,"8","false",,,,,"false","8624552",,"4.5"
,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"Vegetarian Friendly",,,,,,,"Africa/Nairobi","1320","360","1320","360","1320","360","1320","360","1320","360","1320","360","1320","360",,,,,,,,,,,,,,,,,,"Kenya","",,"Harambee Ave","Center","","Dinner","Breakfast","Lunch",,"Takeout","Seating","Table Service",,,,,"Restaurants",,,,"Lamu Island, Coast Province",,"restaurant","20","8","Mangrove Centre",,,"Harambee Ave Center, Lamu Island Kenya","1","0","2","11","11","https://www.tripadvisor.com/Restaurant_Review-g294208-d1214029-Reviews-Mangrove_Centre-Lamu_Island_Coast_Province.html","-2.290435","40.86775","#8 of 23 places to eat in Lamu Island","14","https://media-cdn.tripadvisor.com/media/photo-m/1280/14/11/b8/f9/photo1jpg.jpg","Closed Now","3.259705066680908","$","RESTAURANT","+254 717 653339","25","false","Dinner","Breakfast","Lunch",,"false","1214029",,"4"
,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"Italian","American","African","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenya","08500",,"Msafini Hotel",,"",,,,,,,,,,,,"Restaurants",,,"Sit down","Lamu Island, Coast Province",,"restaurant","20","19","Mango Top Roof Restaurant","KES 445 - KES 4,002",,"Msafini Hotel, Lamu Island 08500 Kenya","0","0","0","1","0","https://www.tripadvisor.com/Restaurant_Review-g294208-d1674793-Reviews-Mango_Top_Roof_Restaurant-Lamu_Island_Coast_Province.html","-2.269557","40.900642","#19 of 23 places to eat in Lamu Island","0",,,"3.0056118965148926","$$ - $$$","RESTAURANT","+254 720 223043","1","false",,,,,"false","1674793","mtendeni@ikenya.com","4"
