"hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","isClosed","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","establishmentTypes/0","establishmentTypes/1","numberOfReviews","email","website","longitude","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","locationString","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","image","type","rankingDenominator","localAddress","phone","priceLevel","isLongClosed","rating","subcategories/0","ownersTopReasons","rankingPosition","localName","openNowText","rankingString","id","priceRange","photoCount","address","name","menuWebUrl","webUrl","description","rawRanking","latitude"
,"Africa/Nairobi","1439","0",,,"1439","0","1439","0","1439","0","1439","0","1439","0",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch","Drinks",,"0","0","0","1","1","false","Delivery","Reservations","Private Dining","Seating","Parking Available","Serves Alcohol","Free Wifi","Accepts Credit Cards","Table Service","Dog Friendly",,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Seafood","International","Japanese",,,,"Malindi","Kenya","80200",,"Makaburini Road","Mwembe Resort","Restaurants",,"2","orolorenzorestaurant@gmail.com","http://www.facebook.com/Loro-di-Lorenzo","40.1116","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/52/75/d3/park-view.jpg","RESTAURANT","40",,"+(254)759856899","$$ - $$$","false","4.5","Sit down",,"29","","Open Now","#29 of 59 places to eat in Malindi","21308524","KES 1,482 - KES 7,412","23","Makaburini Road Mwembe Resort, Malindi 80200 Kenya","L'oro Di Lorenzo",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d21308524-Reviews-L_oro_Di_Lorenzo-Malindi_Coast_Province.html","Wonderful Restaurant surrounded by greenery and centuries-old mango trees. Italian , Pizzeria , Japanese Homemade ice-cream and pool","3.048710346221924","-3.204472"
,"Africa/Nairobi","1200","420","1200","420","1200","420","1200","420","1200","420","1200","420","1200","420",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"0","0","0","2","1","false",,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","African","Barbecue",,,,,,,"Malindi","Kenya","80200",,"Silversand Road","Near The Malindi Locals","Restaurants",,"3",,,"40.12714","Breakfast","Lunch","Dinner",,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/21/5b/16/25/seafront-swahili-dishes.jpg","RESTAURANT","40",,"+254 793 717333",,"false","4.5",,,"26","","Closed Now","#26 of 59 places to eat in Malindi","23728380",,"7","Silversand Road Near The Malindi Locals, Malindi 80200 Kenya","Seafront Swahili Dishes",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d23728380-Reviews-Seafront_Swahili_Dishes-Malindi_Coast_Province.html",,"3.078911542892456","-3.23247"
,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Drinks",,,"1","3","14","9","9","false","Seating","Wheelchair Accessible","Serves Alcohol",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Pub",,,,,,,,"Malindi","Kenya","80200",,"Lamu Rd, N of Old Town","","Restaurants",,"36",,"http://www.facebook.com/Stars-garters-lounge-bar-468913039904045","40.116974","Breakfast","Lunch","Dinner","Drinks",,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0e/2b/37/94/photo0jpg.jpg","RESTAURANT","40",," 31336 ","$","false","3.5",,,"21","","Open Now","#21 of 59 places to eat in Malindi","1214050",,"1","Lamu Rd, N of Old Town, Malindi 80200 Kenya","Stars & Garters Lounge Bar",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d1214050-Reviews-Stars_Garters_Lounge_Bar-Malindi_Coast_Province.html",,"3.120079517364502","-3.210436"
,"Africa/Nairobi","1260","510","1260","510","1260","510","1260","510","1260","510","1260","510","1260","510",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"0","0","0","0","1","false",,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","African","Fast Food","Asian","Korean","Malaysian",,,"Malindi","Kenya","80200",,"Malindi , Lamu Road","Directly Opposite The Kcb Bank Entrance And Next To Stars And Gutters","Restaurants",,"1",,"http://akurwas.co.ke","40.11793","Breakfast","Lunch","Dinner",,,,"Malindi, Coast Province",,,,,,,,,,"RESTAURANT","40",,"+254 724 748577",,"false","5",,,"30","","Closed Now","#30 of 59 places to eat in Malindi","25079805",,"0","Malindi , Lamu Road Directly Opposite The Kcb Bank Entrance And Next To Stars And Gutters, Malindi 80200 Kenya","Akurwas Afro-asian Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d25079805-Reviews-Akurwas_Afro_asian_Restaurant-Malindi_Coast_Province.html","Akurwas Afro -Asian Restaurant is located along Malindi lamu road, Directly opposite KCB bank and next to stars and gutters. We offer delicacies from Malaysia, China, Korea and Thailand. We are big on fast food too and have a large variety of dishes to choose from.","3.041156768798828","-3.212382"
,,,,,,,,,,,,,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Lunch","Breakfast",,,,,"2","1","2","6","7","false","Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,,,"restaurant","African",,,,,,,,"Malindi","Kenya","80200",,"Casuarini Road","","Restaurants",,"18","kilili-resort@swiftmalindi.com","http://www.kililibaharini.com/","40.12629","Lunch","Breakfast",,,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0c/c8/27/88/fb-img-1472409682540.jpg","RESTAURANT","40",,"00254 42 2120169 ","$$ - $$$","false","4","Sit down",,"24","",,"#24 of 59 places to eat in Malindi","1526517",,"10","Casuarini Road, Malindi 80200 Kenya","Kilili Baharini",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d1526517-Reviews-Kilili_Baharini-Malindi_Coast_Province.html",,"3.097689151763916","-3.24066"
,,,,,,,,,,,,,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Dinner",,,,,,"0","2","0","8","3","false","Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Seafood","Grill",,,,,,"Malindi","Kenya","80200",,"Lamu Road","Casino Malindi","Restaurants",,"13","info@casinomalindi.com",,"40.117393","Dinner",,,,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/18/87/19/e5/photo0jpg.jpg","RESTAURANT","40",,"+254 42 2130069","$$ - $$$","false","4","Sit down",,"28","",,"#28 of 59 places to eat in Malindi","8525343","KES 148,236 - KES 592,944","1","Lamu Road Casino Malindi, Malindi 80200 Kenya","La Griglia Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d8525343-Reviews-La_Griglia_Restaurant-Malindi_Coast_Province.html","La Griglia Restaurant offers the freshest daily catch from the Indian Ocean and Kenya’s prime “Highland” beef, as well as the most delicious traditional Italian dishes. The outdoor garden atmosphere sets the mood for an enjoyable gourmet evening. “Must tries” include the Crab Tagliolini and Chocolate Souffle. And naturally, as “La Griglia” suggests, our specialities come straight from the Grill!","3.052689790725708","-3.206337"
,"Africa/Nairobi","1020","540","1020","540","1020","540","1020","540","1020","540","1020","540","1020","540",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Drinks",,,"1","0","1","0","7","false","Reservations","Outdoor Seating","Parking Available","Free off-street parking","Serves Alcohol","Full Bar","Wine and Beer","Accepts Credit Cards","Table Service","Waterfront","Beach",,,,,,,,,,,,,,,"restaurant","Italian","Seafood","International",,,,,,"Malindi","Kenya","80200",,"Mayungu road","1 km after Mayungu Village","Restaurants",,"9","info@malaikabeachvillas.com","http://www.malaikabeachvillas.com","40.10439","Breakfast","Lunch","Dinner","Drinks",,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/aa/8a/3f/our-beach-restaurant.jpg","RESTAURANT","40",,"+254 796 035766","$$ - $$$","false","4.5",,,"22","","Closed Now","#22 of 59 places to eat in Malindi","17635828",,"39","Mayungu road 1 km after Mayungu Village, Malindi 80200 Kenya","Malaika Estro Beach Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d17635828-Reviews-Malaika_Estro_Beach_Restaurant-Malindi_Coast_Province.html","Wonderful Beach Restaurant located in Mayungu between Malindi and Watamu, the restaurant is located on the beach with white sands floor in the marine reserve of Watamu And Malindi, sunbeds and gazebo service for enjoy a full day on the beach , bar. Famous beach for the boat trips and a every low tide you can hike the atolls that forms Italian , seafood , local and international cousine","3.1126763820648193","-3.303486"
,,,,,,,,,,,,,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","1","3","false",,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","International",,,,,,,,"Malindi","Kenya","80200",,"Lamu Road",,"Restaurants",,"4",,,"40.11704",,,,,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/29/e6/cd/d9/caption.jpg","RESTAURANT","40",,,,"false","5","Sit down",,"25","",,"#25 of 59 places to eat in Malindi","4435914",,"2","Lamu Road, Malindi 80200 Kenya","Star Dust",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d4435914-Reviews-Star_Dust-Malindi_Coast_Province.html",,"3.0836868286132812","-3.2094"
,,,,,,,,,,,,,,,,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Lunch","Dinner",,,,,"0","0","2","3","10","false","Reservations","Table Service",,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood","Italian",,,,,,,"Malindi","Kenya","80200",,"Lamu Road",,"Restaurants",,"15",,"http://www.facebook.com/pages/Malindi-the-House/252486598293745","40.120934","Lunch","Dinner",,,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/08/a8/56/cb/aragosta-arrosto-con.jpg","RESTAURANT","40",,"+254 716 514960","$$ - $$$","false","4.5",,,"20","",,"#20 of 59 places to eat in Malindi","7366435",,"41","Lamu Road, Malindi 80200 Kenya","The House by Zennah",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d7366435-Reviews-The_House_by_Zennah-Malindi_Coast_Province.html",,"3.1274170875549316","-3.215463"
,"Africa/Nairobi","1320","480","1200","480","1200","480","1200","480","1200","480","1320","480","1320","480",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"0","0","5","4","10","false",,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood",,,,,,,,"Malindi","Kenya","80200",,"Mama Ngina Rd, Old Town","","Restaurants",,"19",,,"40.12564","Breakfast","Lunch","Dinner",,,,"Malindi, Coast Province",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/11/c5/e6/ee/malindi-sea-fishing-club.jpg","RESTAURANT","40",," 30550 ","$$ - $$$","false","4.5",,,"18","","Closed Now","#18 of 59 places to eat in Malindi","1214055",,"5","Mama Ngina Rd, Old Town, Malindi 80200 Kenya","Malindi Sea Fishing Club",,"https://www.tripadvisor.com/Restaurant_Review-g298253-d1214055-Reviews-Malindi_Sea_Fishing_Club-Malindi_Coast_Province.html",,"3.1482021808624268","-3.21885"
