rawRanking,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,isLongClosed,rating,addressObj/city,addressObj/country,addressObj/postalcode,addressObj/state,addressObj/street1,addressObj/street2,latitude,hours,hours/timezone,hours/weekRanges/0/0/close,hours/weekRanges/0/0/open,hours/weekRanges/1/0/close,hours/weekRanges/1/0/open,hours/weekRanges/2/0/close,hours/weekRanges/2/0/open,hours/weekRanges/3/0/close,hours/weekRanges/3/0/open,hours/weekRanges/4/0/close,hours/weekRanges/4/0/open,hours/weekRanges/5/0/close,hours/weekRanges/5/0/open,hours/weekRanges/6/0/close,hours/weekRanges/6/0/open,ancestorLocations/0/abbreviation,ancestorLocations/0/id,ancestorLocations/0/name,ancestorLocations/0/subcategory,ancestorLocations/1/abbreviation,ancestorLocations/1/id,ancestorLocations/1/name,ancestorLocations/1/subcategory,ancestorLocations/2/abbreviation,ancestorLocations/2/id,ancestorLocations/2/name,ancestorLocations/2/subcategory,mealTypes/0,mealTypes/1,mealTypes/2,mealTypes/3,mealTypes/4,isClosed,category,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,numberOfReviews,email,website,longitude,dietaryRestrictions/0,dietaryRestrictions/1,dietaryRestrictions/2,dietaryRestrictions/3,dietaryRestrictions/4,establishmentTypes/0,features/0,features/1,features/2,features/3,features/4,features/5,features/6,features/7,features/8,features/9,features/10,locationString,image,type,rankingDenominator,localAddress,phone,priceLevel,subcategories/0,ownersTopReasons,rankingPosition,dishes/0,openNowText,rankingString,localName,id,priceRange,photoCount,address
3,0,0,1,0,0,FALSE,3,Ukunda,Kenya,100,,Ish Village Restaurant.,,-3.94315,,Africa/Nairobi,1440,660,1440,660,1440,660,1440,660,1440,660,1440,660,1440,660,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Lunch,Dinner,,,,FALSE,restaurant,,,,,,,,1,,,39.74409,Lunch,Dinner,,,,Restaurants,,,,,,,,,,,,"Ukunda, Coast Province",https://media-cdn.tripadvisor.com/media/photo-o/0f/47/0b/36/caption.jpg,RESTAURANT,77,,+254 703 207309,,,,72,,Open Now,#72 of 89 places to eat in Ukunda,,11858254,,8,"Ish Village Restaurant., Ukunda 00100 Kenya"
3.020869017,0,0,1,3,0,FALSE,4,Mtwapa,Kenya,80109,,Msa-Mld Rd Next to Family Bank Mtwapa,,,,,,,,,,,,,,,,,,,,2049443,Mtwapa,City,,2697615,Coast Province,Province,,294206,Kenya,Country,,,,,,FALSE,restaurant,African,,,,,,,4,,,,,,,,,Restaurants,,,,,,,,,,,,"Mtwapa, Coast Province",,RESTAURANT,18,,,,Sit down,,14,,,#14 of 24 places to eat in Mtwapa,,3963331,,0,"Msa-Mld Rd Next to Family Bank Mtwapa, Mtwapa 80109 Kenya"
3.006848812,0,0,0,1,0,FALSE,4,Mombasa,Kenya,80100,,Opposite Casuarina in Mtwapa,,-3.95227,,Africa/Nairobi,1320,720,1440,960,,,1440,960,1440,960,1440,960,1440,960,,294210,Mombasa,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Dinner,,,,,FALSE,restaurant,Italian,Pizza,,,,,,1,,,39.74394,Dinner,,,,,Restaurants,,,,,,,,,,,,"Mombasa, Coast Province",https://media-cdn.tripadvisor.com/media/photo-o/05/4c/63/27/getlstd-property-photo.jpg,RESTAURANT,144,,+254 733 863282,,Sit down,,135,,Closed Now,#135 of 188 places to eat in Mombasa,,6090540,,1,"Opposite Casuarina in Mtwapa, Mombasa 80100 Kenya"
3.017967224,0,0,0,2,0,FALSE,4,Mtwapa,Kenya,80109,,Mombasa/Malindi Highway,,-3.94901,,,,,,,,,,,,,,,,,,2049443,Mtwapa,City,,2697615,Coast Province,Province,,294206,Kenya,Country,,,,,,FALSE,restaurant,,,,,,,,2,celebrate@campbarnados.vpweb.com,http://www.campbarnados.vpweb.com,39.74506,,,,,,Restaurants,,,,,,,,,,,,"Mtwapa, Coast Province",https://media-cdn.tripadvisor.com/media/photo-o/03/fe/f5/fc/outside-seating-now-has.jpg,RESTAURANT,18,,+254 720 909480,,Sit down,,15,,,#15 of 24 places to eat in Mtwapa,,4291084,,15,"Mombasa/Malindi Highway, Mtwapa 80109 Kenya"
3.027037144,2,1,2,8,2,FALSE,3.5,Mtwapa,Kenya,,,Mombasa/ Malindi Road,,-3.20029,,,,,,,,,,,,,,,,,,2049443,Mtwapa,City,,2697615,Coast Province,Province,,294206,Kenya,Country,,,,,,FALSE,restaurant,,,,,,,,15,lambada@clublambada.com,http://www.clublambada.com/,40.11613,,,,,,Restaurants,Reservations,Seating,,,,,,,,,,"Mtwapa, Coast Province",https://media-cdn.tripadvisor.com/media/photo-o/06/81/96/fd/club-lambada-international.jpg,RESTAURANT,18,,+254 722 726630,$$ - $$$,,,12,,,#12 of 24 places to eat in Mtwapa,,5602787,,1,"Mombasa/ Malindi Road, Mtwapa Kenya"
3.026982307,0,0,1,2,0,FALSE,3.5,Mtwapa,Kenya,80109,,Daisha Road,Prestige Holiday Resort,-3.950388,,,,,,,,,,,,,,,,,,2049443,Mtwapa,City,,2697615,Coast Province,Province,,294206,Kenya,Country,,,,,,FALSE,restaurant,Italian,Chinese,Indian,African,British,,,3,james@prestigeholidayresort.com,http://www.prestigeholidayresort.com,39.749588,,,,,,Restaurants,,,,,,,,,,,,"Mtwapa, Coast Province",,RESTAURANT,18,,+254 705 202825,$$ - $$$,Sit down,,13,,,#13 of 24 places to eat in Mtwapa,,10325184,"KES 74,184 - KES 890,208",0,"Daisha Road Prestige Holiday Resort, Mtwapa 80109 Kenya"
3.869058847,1,0,7,30,106,FALSE,4.5,Mombasa,Kenya,80100,,Malindi Road,Sarova Whitesands Beach Resort,-3.99514,,,,,,,,,,,,,,,,,,294210,Mombasa,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Breakfast,Lunch,Dinner,Brunch,Late Night,FALSE,restaurant,African,International,Contemporary,Middle Eastern,Vegan Options,Vegetarian Friendly,Gluten Free Options,144,pavilions@sarovahotels.com,http://www.sarovahotels.com/whitesands/dining.aspx,39.73095,Breakfast,Lunch,Dinner,Brunch,Late Night,Restaurants,Seating,Parking Available,Highchairs Available,Free Wifi,Table Service,Delivery,Buffet,Validated Parking,Serves Alcohol,Full Bar,Live Music,"Mombasa, Coast Province",https://media-cdn.tripadvisor.com/media/photo-o/05/ee/a9/01/pavilions-desserts-fruit.jpg,RESTAURANT,144,,+254 41 2128000,$$ - $$$,Sit down,,7,Salad,,#7 of 188 places to eat in Mombasa,,1800892,"KES 4,451",104,"Malindi Road Sarova Whitesands Beach Resort, Mombasa 80100 Kenya"
3.035187006,0,0,0,4,0,FALSE,4,Mtwapa,Kenya,254,,Near Catolic Church,,-4.00221,,,,,,,,,,,,,,,,,,2049443,Mtwapa,City,,2697615,Coast Province,Province,,294206,Kenya,Country,,,,,,FALSE,restaurant,German,African,European,,,,,4,,,39.58281,,,,,,Restaurants,,,,,,,,,,,,"Mtwapa, Coast Province",https://media-cdn.tripadvisor.com/media/photo-o/0a/c1/93/f6/makuti-hidden.jpg,RESTAURANT,18,,+254 729 093412,$$ - $$$,Sit down,,11,,,#11 of 24 places to eat in Mtwapa,,6690706,,6,"Near Catolic Church, Mtwapa 254 Kenya"
3.009313345,0,0,0,1,0,FALSE,4,Mtwapa,Kenya,80109,,Mtwapa Beach,,,,,,,,,,,,,,,,,,,,2049443,Mtwapa,City,,2697615,Coast Province,Province,,294206,Kenya,Country,,,,,,FALSE,restaurant,African,,,,,,,1,fantasyresortmtwapa@yahoo.com,,,,,,,,Restaurants,,,,,,,,,,,,"Mtwapa, Coast Province",,RESTAURANT,18,,+254 735 561818,$,Sit down,,17,,,#17 of 24 places to eat in Mtwapa,,2044132,"KES 742 - KES 1,484",0,"Mtwapa Beach, Mtwapa 80109 Kenya"
3.011463881,0,0,3,1,0,FALSE,3.5,Mtwapa,Kenya,80109,,Maweni Beach,,-4.28772,,,,,,,,,,,,,,,,,,2049443,Mtwapa,City,,2697615,Coast Province,Province,,294206,Kenya,Country,,,,,,FALSE,restaurant,,,,,,,,4,,,39.58745,,,,,,Restaurants,,,,,,,,,,,,"Mtwapa, Coast Province",https://media-cdn.tripadvisor.com/media/photo-o/11/af/3c/bc/photo3jpg.jpg,RESTAURANT,18,,+254 722 902520,,,,16,,,#16 of 24 places to eat in Mtwapa,,12815541,,6,"Maweni Beach, Mtwapa 80109 Kenya"
