"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22","email","establishmentTypes/0","establishmentTypes/1","establishmentTypes/2","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","menuWebUrl","name","nearestMetroStations/0/address","nearestMetroStations/0/distance","nearestMetroStations/0/latitude","nearestMetroStations/0/lines/0/id","nearestMetroStations/0/lines/0/lineName","nearestMetroStations/0/lines/0/lineSymbol","nearestMetroStations/0/lines/0/systemName","nearestMetroStations/0/lines/0/systemSymbol","nearestMetroStations/0/lines/0/type","nearestMetroStations/0/localAddress","nearestMetroStations/0/localName","nearestMetroStations/0/longitude","nearestMetroStations/0/name","nearestMetroStations/1/address","nearestMetroStations/1/distance","nearestMetroStations/1/latitude","nearestMetroStations/1/lines/0/id","nearestMetroStations/1/lines/0/lineName","nearestMetroStations/1/lines/0/lineSymbol","nearestMetroStations/1/lines/0/systemName","nearestMetroStations/1/lines/0/systemSymbol","nearestMetroStations/1/lines/0/type","nearestMetroStations/1/localAddress","nearestMetroStations/1/localName","nearestMetroStations/1/longitude","nearestMetroStations/1/name","nearestMetroStations/2/address","nearestMetroStations/2/distance","nearestMetroStations/2/latitude","nearestMetroStations/2/lines/0/id","nearestMetroStations/2/lines/0/lineName","nearestMetroStations/2/lines/0/lineSymbol","nearestMetroStations/2/lines/0/systemName","nearestMetroStations/2/lines/0/systemSymbol","nearestMetroStations/2/lines/0/type","nearestMetroStations/2/localAddress","nearestMetroStations/2/localName","nearestMetroStations/2/longitude","nearestMetroStations/2/name","nearestMetroStations/3/address","nearestMetroStations/3/distance","nearestMetroStations/3/latitude","nearestMetroStations/3/lines/0/id","nearestMetroStations/3/lines/0/lineName","nearestMetroStations/3/lines/0/lineSymbol","nearestMetroStations/3/lines/0/systemName","nearestMetroStations/3/lines/0/systemSymbol","nearestMetroStations/3/lines/0/type","nearestMetroStations/3/localAddress","nearestMetroStations/3/localName","nearestMetroStations/3/longitude","nearestMetroStations/3/name","neighborhoodLocations/0/id","neighborhoodLocations/0/name","numberOfReviews","openNowText","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Waiyaki Way Viking Hse, Westlands, Nairobi 00100 Kenya","Nairobi","Kenya","00100",,"Waiyaki Way","Viking Hse, Westlands",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Steakhouse","Brazilian","Barbecue","Gluten Free Options",,,,,,,,,,,,"Fogo Gaucho is an authentic Brazilian Steakhouse that offers the most delectable selection of charcoal grilled meats (17 different cuts) that go along with a full buffet (over 20 salads) to choose from all for a set price per person, all you can eat (Rodizio). Our ambience is sure to give you the feeling that you are sitting in a Churrascaria (Steakhouse) right in the heart of Brazil as you enjoy a delicious meal for whatever occasion you are celebrating be it a birthday, anniversary, graduation, retirement, office party or just a special meal with your family and friends. Welcome to Fogo Gaucho Churrascaria.","Lunch","Dinner","Late Night","Drinks",,,"Ribs","Shrimp","Salad","Prawns","Beef","Lamb","Fish","Pork",,,,,,,,,,,,,,,,"westlands@fogogaucho.co.ke","Restaurants",,,"Takeout","Buffet","Seating","Parking Available","Street Parking","Free off-street parking","Television","Serves Alcohol","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Validated Parking","Highchairs Available","Wheelchair Accessible","Full Bar","Accepts Credit Cards","Outdoor Seating","Live Music",,,,,,,,,,,,,"Africa/Nairobi","1350","720",,,,,"990","720","1350","1020",,,"1005","720","1350","1020",,,"1005","720","1350","1020",,,"1005","720","1350","1020",,,"1380","720",,,,,"1350","720",,,,,"1114238","https://media-cdn.tripadvisor.com/media/photo-o/0a/f2/32/ad/all-you-can-eat.jpg","false","false","-1.264153",,"","Nairobi","36.801003","Lunch","Dinner","Late Night","Drinks",,,"https://www.fogogaucho.co.ke/index","Fogo Gaucho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1332","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 712 123456","285","$$ - $$$","$200 - $250","832","19","#19 of 1,048 places to eat in Nairobi","4.5","13","14","104","449","752","4.581748962402344","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d1114238-Reviews-Fogo_Gaucho-Nairobi.html","http://www.fogogaucho.co.ke"
"9 West Building Ground Floor, Ring Road Parklands, Nairobi 00200 Kenya","Nairobi","Kenya","00200",,"9 West Building","Ground Floor, Ring Road Parklands",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Italian","Latin","Healthy",,,,,,,,,,,,,"Bambino offers best of Latin-Italian dining at its finest. Our Cuisine offers a variety of freshly made specialty foods in a casual atmosphere that includes a beautiful decor. We love to create foods that are as inventive as they are authentic. We specialize in combining fresh ingredients in flavorful ways, always looking out for optimum taste and freshness.","Lunch","Dinner","Drinks",,,,"Pasta","Calamari","Lamb chops","Pesto",,,,,,,,,,,,,,,,,,,,"bambino@thefoodlibrary.co.ke","Restaurants",,,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Family style","Gift Cards Available",,,,,,,,,,,,,"Africa/Nairobi","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"23794120","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/8f/9b/9a/burrata-tomato-mozzarella.jpg","false","false","-1.261644",,"","Nairobi","36.803955","Lunch","Dinner","Drinks",,,,"https://www.thefoodlibrary.co.ke/bambino/","Bambino Latin Italian Kitchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"335","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 712 524517","111","$$ - $$$","$1,200 - $2,800","832","16","#16 of 1,048 places to eat in Nairobi","5","4","5","7","31","288","4.727697849273682","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d23794120-Reviews-Bambino_Latin_Italian_Kitchen-Nairobi.html","http://www.thefoodlibrary.co.ke/bambino"
"Harry Thuku Road Fairmont The Norfolk, Nairobi 00100 Kenya","Nairobi","Kenya","00100",,"Harry Thuku Road","Fairmont The Norfolk",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Seafood","Diner","South American",,,,,,,,,,,,,"The city’s iconic restaurant, Tatu, reopens on popular demand with a new menu specializing in finest of seafood, premium cuts of meat and vegetarian delicacies to tantalize your taste buds.

Fashioned in contemporary African style, the restaurant benefits from a patio ideal for dining alfresco whilst overlooking the tropical garden.

Feel welcome and book now !","Dinner",,,,,,"Lobster","Salad","Scallops","Salmon","Tuna","Prawns","Beef","Lamb",,,,,,,,,,,,,,,,"dining.norfolk@fairmont.com","Restaurants",,,"Outdoor Seating","Seating","Parking Available","Validated Parking","Valet Parking","Highchairs Available","Wheelchair Accessible","Accepts American Express","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Serves Alcohol","Full Bar","Accepts Credit Cards",,,,,,,,,,,,,,,,,"Africa/Nairobi",,,,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1320","1080",,,,,"1910873","https://media-cdn.tripadvisor.com/media/photo-o/29/ba/1b/b2/juicy-steak.jpg","false","false","-1.278437",,"","Nairobi","36.81637","Dinner",,,,,,"https://www.fairmont.com/norfolk-hotel-nairobi/pdfs/tatu-menu-food-23rd-june-compressed/","Tatu Restaurant By Fairmont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20484493","Nairobi Central Business District","329","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 795 737786","143","$$$$","$1,050 - $8,000","832","22","#22 of 1,048 places to eat in Nairobi","4.5","3","10","23","70","223","4.506781578063965","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d1910873-Reviews-Tatu_Restaurant_By_Fairmont-Nairobi.html","http://www.fairmont.com/norfolk-hotel-nairobi/dining/tatu-restaurant/"
"Elgon Road Radisson Blu Hotel, Nairobi Upper Hill, Nairobi 00100 Kenya","Nairobi","Kenya","00100",,"Elgon Road","Radisson Blu Hotel, Nairobi Upper Hill",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","International","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,"The Larder Restaurant & Terrace is an all day dining venue that offers international cuisine for breakfast, lunch, and dinner daily. Enjoy our live cooking station, terrace area and cozy ambience. Buffet available at breakfast, lunch and dinner, a la carte menu available from 6:00 AM to 11 PM.","Breakfast","Lunch","Brunch","Dinner",,,"Lamb",,,,,,,,,,,,,,,,,,,,,,,"info.nairobi@radissonblu.com","Restaurants",,,"Reservations","Buffet","Seating","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Table Service","Takeout","Outdoor Seating","Highchairs Available",,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"11814084","https://media-cdn.tripadvisor.com/media/photo-o/0f/21/13/0c/larder.jpg","false","false","-1.302",,"","Nairobi","36.81641","Breakfast","Lunch","Brunch","Dinner",,,"https://qr1.be/D69Q","The Larder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 709 810000","57","$$ - $$$","$10 - $70","832","18","#18 of 1,048 places to eat in Nairobi","4.5","1","1","5","31","112","4.6732683181762695","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d11814084-Reviews-The_Larder-Nairobi.html","https://www.radissonhotels.com/en-us/hotels/radisson-blu-nairobi-upper-hill/restaurant-bar"
"Radisson Blu Hotel, Nairobi Upper Hill Elgon Road, Nairobi Kenya","Nairobi","Kenya",,,"Radisson Blu Hotel, Nairobi Upper Hill","Elgon Road",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,"Sophisticated lobby bar and cigar lounge at Radisson Blu Hotel, Nairobi Upper Hill that looks out over Nairobi. Our mixologists will whip up a drink of your choice from our wide selection of premium wines, whiskies, vodkas and rum.","Lunch","Dinner","Late Night","Drinks",,,,,,,,,,,,,,,,,,,,,,,,,,"info.nairobi@radissonblu.com","Bars & Pubs","Restaurants",,"Outdoor Seating","Seating","Parking Available","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"24091389","https://media-cdn.tripadvisor.com/media/photo-w/24/ca/90/03/bar-island.jpg","false","false","-1.30228",,"","Nairobi","36.816746","Lunch","Dinner","Late Night","Drinks",,,"https://qr1.be/KE8D","Humidor Bar & Lounge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 709 810000","28",,,"832","20","#20 of 1,048 places to eat in Nairobi","5","0","0","0","1","60","4.546398162841797",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d24091389-Reviews-Humidor_Bar_Lounge-Nairobi.html","http://www.radissonhotels.com/en-us/hotels/radisson-blu-nairobi-upper-hill"
"Elgon Road Upper Hill, Nairobi 00100 Kenya","Nairobi","Kenya","00100",,"Elgon Road","Upper Hill",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Steakhouse","International","Grill","Mediterranean","Vegetarian Friendly",,,,,,,,,,,"The Chophouse Restaurant presents an inventive culinary experience that weaves together a fusion of Kenyan, Asian and Mediterranean Haute Cuisine. Our new menu masterfully elevates beloved grilled meat dishes to a level that is unmatched on the Continent, with in-house aging of meats up to 72 days. Each dish is designed with a poetic flair that pays homage to the elegance of Haute Cuisine, drawing from techniques of esteemed chefs from around the world. We are delighted to offer this bold new dining experience right here in Nairobi.","Lunch","Dinner",,,,,"Crab","Scallops","Beef","Duck","Lamb",,,,,,,,,,,,,,,,,,,"chophouse@radissonblunairobi.com","Restaurants",,,"Reservations","Seating","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Private Dining",,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi",,,,,,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"900","720","1380","1110",,,"1380","1110",,,,,"11814079","https://media-cdn.tripadvisor.com/media/photo-o/0e/cc/3e/9b/the-chop-house.jpg","false","false","-1.302338",,"","Nairobi","36.81675","Lunch","Dinner",,,,,"https://qr1.be/MFIN","Chophouse Nairobi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"167","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 709810000","141","$$ - $$$","$20 - $100","832","24","#24 of 1,048 places to eat in Nairobi","4.5","3","5","10","21","128","4.439311981201172","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d11814079-Reviews-Chophouse_Nairobi-Nairobi.html","http://chophouse.ke/"
"Karen Road Karen, Nairobi 00200 Kenya","Nairobi","Kenya","00200",,"Karen Road","Karen",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"Nairobi's iconic seafood restaurant which originally opened in August 1977, has recently moved from the Central Business District to the leafy suburbs of Karen at the Karen Blixen coffee Garden. The menu is a blend of the best of French, Asian and African cuisines with specialties such as the famous Prawns Piri Piri, and Chilli Crab which have earned the Tamarind worldwide fame.","Dinner","Brunch",,,,,"Crab","Crab Cake","Burger","Lobster","Oyster","Shrimp","Salad","Calamari","Chili","Chili Crab","Salmon","Tuna","Clams","Prawns","Octopus","Seafood Platters","Duck","Shellfish","Fish",,,,,"reservations.nairobi@tamarind.co.ke","Restaurants",,,"Outdoor Seating","Seating","Parking Available","Free off-street parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Private Dining","Validated Parking","Full Bar","Accepts Credit Cards","Table Service","Live Music",,,,,,,,,,,,,,"Africa/Nairobi","1170","600",,,,,"1170","600",,,,,"1170","600",,,,,"1170","600",,,,,"1170","600",,,,,"1170","600",,,,,"1170","600",,,,,"1214146","https://media-cdn.tripadvisor.com/media/photo-o/12/96/00/9b/tamarind-restaurant-nairobi.jpg","false","false","-1.345125",,"","Nairobi","36.71382","Dinner","Brunch",,,,,"http://tamarind.co.ke/doc/cocktail_menus_ii.pdf","Tamarind Restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"681","Closed Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 719 346349","152","$$$$","$50 - $100","832","21","#21 of 1,048 places to eat in Nairobi","4.5","6","8","38","177","452","4.512365818023682","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d1214146-Reviews-Tamarind_Restaurant-Nairobi.html","http://www.tamarind.co.ke"
"Waiyaki Way 7th Floor One Africa Place, Nairobi 00621 Kenya","Nairobi","Kenya","00621",,"Waiyaki Way","7th Floor One Africa Place",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Italian","French","American","Asian","Healthy","Indonesian",,,,,,,,,,"Botanica Kitchen and Gin bar with 30 varieties of gin is one of the largest gin bar in Nairobi. Botanica comprises of a cosy indoor area, a lush green terrace and the trendiest gin bar and gin cocktails in town. Guests can dine in for breakfast, lunch or dinner from our curated menu that boasts several of the finest farm to table dishes.","Breakfast","Lunch","Dinner","Drinks",,,"Burger","Ribs","Calamari","Pork",,,,,,,,,,,,,,,,,,,,,"Restaurants",,,"Delivery","Reservations","Seating","Parking Available","Valet Parking","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Discover","Accepts Credit Cards","Table Service","Live Music","Family style","Gift Cards Available",,,,,,,,,,,,"Africa/Nairobi","1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"23958932","https://media-cdn.tripadvisor.com/media/photo-o/23/2a/06/c4/simply-roasted-prawns.jpg","false","false","-1.265251",,"","Nairobi","36.801746","Breakfast","Lunch","Dinner","Drinks",,,"https://www.thefoodlibrary.co.ke/botanica-2/","Botanica - Kitchen & Gin Bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"290","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 735 065865","147","$$ - $$$","$1,200 - $2,800","832","15","#15 of 1,048 places to eat in Nairobi","5","2","4","3","25","256","4.7304606437683105","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d23958932-Reviews-Botanica_Kitchen_Gin_Bar-Nairobi.html","http://www.thefoodlibrary.co.ke/botanica-2/"
"320 Ngong Road Karen, Nairobi Kenya","Nairobi","Kenya",,,"320 Ngong Road","Karen",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Seafood","Contemporary","Fusion","Italian","Sushi","European","Vegan Options","Gluten Free Options",,,,,,,,"Featuring carved wooden pillars from Pakistan, elegant Afghan rugs, charming fireplaces, sprawling terraces and idyllic gardens, The Talisman blends fine dining with unbridled eclecticism. We have made every effort to create the ideal ambience for those seeking a candle-lit romantic dinner, a casual evening drink with friends, an outdoor lunch with family and everything in between. This is all complemented by distinguished service from our cordial staff. Welcome to the Talisman.","Lunch","Dinner","Brunch","Late Night",,,"Dumplings","Burger","Shrimp","T-Bone Steak","Salad","Wings","Chili","Curry","Risotto","Salmon","Tuna","Prawns","Beef","Lamb","Fish","Pork",,,,,,,,"reservations@thetalismanrestaurant.com","Restaurants",,,"Takeout","Outdoor Seating","Seating","Parking Available","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Full Bar","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Highchairs Available","Accepts Credit Cards","Table Service","Live Music","Playgrounds",,,,,,,,,,,,,,,"Africa/Nairobi","1260","660",,,,,,,,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1059634","https://media-cdn.tripadvisor.com/media/photo-o/12/98/a7/34/lunch.jpg","false","false","-1.322988",,"","Nairobi","36.703365","Lunch","Dinner","Brunch","Late Night",,,"https://qr1.be/RLJJ","The Talisman Restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1994","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 705 999997","660","$$ - $$$","$15 - $30","832","23","#23 of 1,048 places to eat in Nairobi","4.5","27","20","102","477","1368","4.4493513107299805","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d1059634-Reviews-The_Talisman_Restaurant-Nairobi.html","http://www.thetalismanrestaurant.com/"
"Ring Road Parklands Terrace Floor, South Wing, Kenrail Towers, Westlands Area, Nairobi 00100 Kenya","Nairobi","Kenya","00100",,"Ring Road Parklands","Terrace Floor, South Wing, Kenrail Towers, Westlands Area",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Mexican","Contemporary","Healthy","Street Food","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"Exquisitely presented and beautifully balanced, the menu at Mercado is fun, flavorful and simply fantastic. The rustic environment with wooden swing seating, bold colors and lit market baskets create the perfect atmosphere to entertain. The terrace overlooking the city is famous for its sundowners and happy hours with the award-winning cocktail menu.","Lunch","Dinner","Drinks",,,,"Burrito","Halloumi","Shrimp","Tacos","Fajitas","Nachos","Tres Leches","Pork",,,,,,,,,,,,,,,,"info@mercado.co.ke","Restaurants",,,"Delivery","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Free Wifi","Accepts Credit Cards","Table Service","Buffet","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Family style","Sports bars",,,,,,,,,,"Africa/Nairobi","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"13008340","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/94/b8/99/swings-at-mercado.jpg","false","false","-1.260985",,"","Nairobi","36.803837","Lunch","Dinner","Drinks",,,,"https://www.thefoodlibrary.co.ke/mercado/mercado-menu/","Mercado - Mexican Kitchen & Bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"735","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 700 245795","334","$$ - $$$","$1,000 - $2,500","832","17","#17 of 1,048 places to eat in Nairobi","4.5","13","13","17","96","597","4.72568416595459","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d13008340-Reviews-Mercado_Mexican_Kitchen_Bar-Nairobi.html","http://mercado.co.ke"
