"features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","description","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","longitude","priceRange","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","ancestorLocations/3/abbreviation","ancestorLocations/3/id","ancestorLocations/3/name","ancestorLocations/3/subcategory","ancestorLocations/4/abbreviation","ancestorLocations/4/id","ancestorLocations/4/name","ancestorLocations/4/subcategory","category","rankingDenominator","webUrl","type","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","email","rating","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ownersTopReasons","latitude","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","localAddress","image","photoCount","rankingString","address","menuWebUrl","phone","localName","rankingPosition","numberOfReviews","rawRanking","openNowText","isClosed","isLongClosed","name","locationString","website","id","establishmentTypes/0","priceLevel","subcategories/0"
"Takeout","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Highchairs Available","Free Wifi",,,,,,,,,,,,,,,"Africa/Nairobi","1080","420","1080","420","1080","420","1080","420","1080","420","1080","420","1080","420","Pasta","Fish & Chips","Burger","Salad","Pesto","Cakes","Fish",,,"Barneys Bar & Restaurant, Located at the Nanyuki Airfield. Welcome for great food and drinks. We are open every day from 7 in the morning to 6 in the evening","Cafe","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"Breakfast","Lunch","Dinner","Brunch",,,,,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d2292082-Reviews-Barneys_Bar_Resraurant-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Val.html","RESTAURANT","4","6","19","93","56","info@barneysnanyuki.com","4","Nanyuki Town","Kenya","10400",,"Nanyuki Airstrip","",,,"Breakfast","Lunch","Dinner","Brunch",,,,"https://media-cdn.tripadvisor.com/media/photo-o/0a/14/e9/47/barneys.jpg","22","#3 of 43 places to eat in Nanyuki Town","Nanyuki Airstrip, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 723 310064","","3","178","3.6587746143341064","Closed Now","false","false","Barneys Bar & Resraurant","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province",,"2292082","Restaurants","$$ - $$$","Sit down"
"Wheelchair Accessible","Takeout","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cafe",,,,,,,,"Breakfast","Lunch","Brunch",,,,"37.077778",,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d10505268-Reviews-Dorman_s-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_Province.html","RESTAURANT","0","5","4","11","15",,"4","Nanyuki Town","Kenya","10400",,"Kenyatta Avenue, Nanyuki - Meru highway",,,"0.013333","Breakfast","Lunch","Brunch",,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0c/ff/14/4e/ta-img-20160917-180542.jpg","13","#10 of 43 places to eat in Nanyuki Town","Kenyatta Avenue, Nanyuki - Meru highway, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,,"","10","35","3.260793924331665",,"false","false","Dorman's","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province",,"10505268","Coffee & Tea","$$ - $$$","Café"
"Takeout","Reservations","Outdoor Seating","Private Dining","Parking Available","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Dog Friendly","Sports bars",,,,,,,,"Africa/Nairobi","1230","540",,,"1230","540","1230","540","1230","540","1230","540","1230","540",,,,,,,,,,"Our ethos has never changed – We are fanatical about Food! All our dishes are freshly made and our menu changes each week. Each of our dishes is carefully thought out, not only to taste great, but also to be healthy and nourishing. Using mostly local produce and ingredients, our dishes are always fresh and meticulously prepared with lots of Love. We also provide plenty of outdoor seating, entertainment, a cosy atmosphere and serve a wide assortment of drinks and specially made cocktails at the Nook Bar. Lastly, we offer a separate ourdoor garden, sports bar and lawn area for hire. This caters to guests hosting private functions (e.g. Birthdays, Farewell parties, Baby showers) or similar events. If you’re looking for something incredible, different and out of the norm, The Nook is the place to be!",,,,,,,,,"Breakfast","Lunch","Dinner","Brunch","Drinks",,"37.07327",,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d23501615-Reviews-The_Nook_Cafe_Bar-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_.html","RESTAURANT","0","0","0","5","6","info@thenook.co.ke","4.5","Nanyuki Town","Kenya","10400",,"Haile Selassie Road",,,"0.00264","Breakfast","Lunch","Dinner","Brunch","Drinks",,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/d4/82/74/american-cheese-burger.jpg","33","#11 of 43 places to eat in Nanyuki Town","Haile Selassie Road, Nanyuki Town, Nanyuki Municipality 10400 Kenya","https://thenook.co.ke/our-menu/","+254 701 241241","","11","11","3.259827136993408","Closed Now","false","false","The Nook Cafe & Bar","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","http://www.thenook.co.ke","23501615","Restaurants",,
"Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts Mastercard","Accepts Visa","Digital Payments","Cash Only","Free Wifi","Highchairs Available",,,,,,,,"Africa/Nairobi","1320","480","1320","480","1320","480","1320","480","1320","480","1320","480","1320","480","Pasta","Cheesecake","Salad","Prawns","Pesto","Fish","Pork",,,"This Restaurant has been under new Management  since August 2021 and therefore mat. not reflect what it once was","Bar","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"Breakfast","Lunch","Dinner","Brunch",,,"37.08988",,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d6688351-Reviews-Le_Rustique_Ltd-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_Pro.html","RESTAURANT","5","6","14","67","127","eat@lerustique.co.ke","4.5","Nanyuki Town","Kenya","10400",,"Kenyatta Drive","1 KM From Nanyuki Sports Club",,"0.011667","Breakfast","Lunch","Dinner","Brunch",,,,"https://media-cdn.tripadvisor.com/media/photo-o/07/53/71/6c/the-yummy-grilled-chicken.jpg","77","#2 of 43 places to eat in Nanyuki Town","Kenyatta Drive 1 KM From Nanyuki Sports Club, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 721 609601","","2","219","3.969658136367798","Closed Now","false","false","Le Rustique Ltd","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","https://www.facebook.com/lerustique.nanyuki/","6688351","Restaurants","$$ - $$$","Sit down"
"Seating","Serves Alcohol","Reservations","Outdoor Seating","Highchairs Available","Table Service",,,,,,,,,,,,,,,,,"Africa/Nairobi","1020","720","1020","60","1020","600","1020","600","1020","600","1500","600","900","600","Fish & Chips","Tapas","Fish",,,,,,,"The charming and friendly setting of this venue attracts a loyal following. The colonial era ranch house with its own gardens provides a traditional welcome to all those who are seeking a relaxed way of fine dining. The Friday Tapas Nights and the Fortnightly Sunday Curry Buffet Lunches are reputed to be breathtaking in their variety and taste.","Cafe","Fusion","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"Lunch","Breakfast","Dinner","Brunch",,,"37.077076","KES 741 - KES 7,412",,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d2321474-Reviews-Cape_Chestnut_Laikipia_Sip_Dine_Nanyuki-Nanyuki_Town_Nanyuki_Municipality_Laikipi.html","RESTAURANT","0","1","8","20","50","alpana@capechestnut.com","4.5","Nanyuki Town","Kenya","10400",,"Next to Nanyuki Cottage Hospital","Nanyuki Cottage Hospital Road",,"0.00206","Lunch","Breakfast","Dinner","Brunch",,,,"https://media-cdn.tripadvisor.com/media/photo-s/02/6b/22/46/cape-chestnut-patio.jpg","18","#5 of 43 places to eat in Nanyuki Town","Next to Nanyuki Cottage Hospital Nanyuki Cottage Hospital Road, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 705 250650","","5","79","3.511274814605713","Closed Now","false","false","Cape Chestnut Laikipia Sip & Dine Nanyuki","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","http://www.capechestnut.com","2321474","Restaurants","$$ - $$$","Sit down"
"Table Service","Delivery","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Street Parking","Free off-street parking","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards","Family style","Sports bars",,,"Africa/Nairobi","1380","660","1380","660",,,"1380","660","1380","660","1380","660","1380","660",,,,,,,,,,,"Italian","Steakhouse","Indian","Bar","Barbecue",,,,"Lunch","Breakfast","Dinner","Brunch","Late Night","Drinks","37.06047","KES 2,965 - KES 7,412",,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d21092705-Reviews-Urban_Smoke-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_Provin.html","RESTAURANT","0","1","0","1","26","urbansmoke.ke@gmail.com","5","Nanyuki Town","Kenya","10400",,"Nanyuki-Rumuruti Road, Nanyuki","Near the British army base / BATUK",,"0.033975","Lunch","Breakfast","Dinner","Brunch","Late Night","Drinks",,"https://media-cdn.tripadvisor.com/media/photo-o/23/fe/74/dd/garden-seating.jpg","28","#6 of 43 places to eat in Nanyuki Town","Nanyuki-Rumuruti Road, Nanyuki Near the British army base / BATUK, Nanyuki Town, Nanyuki Municipality 10400 Kenya","https://www.facebook.com/urbansmokenanyukikenya","+254 112 320920","","6","28","3.507617473602295","Closed today","false","false","Urban Smoke","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","https://www.facebook.com/urbansmokenanyukikenya/","21092705","Restaurants","$","Sit down"
"Seating","Parking Available","Free off-street parking","Television","Serves Alcohol","Full Bar","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Table Service","Takeout","Reservations","Outdoor Seating","Wheelchair Accessible",,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,,,,,,,,,"Penguin-house Highlights Local Organic Produce from the surrounding foothills of Mt. Kenya on the banks of the Nanyuki River. We specialize in satisfying dishes to cater for all tastes and palates. Respect is given to authentic local cuisine as well as Asian, Indian, and European Cuisines,as our chefs are well traveled and highly trained. Special Dietary requirements are welcomed.","African","European","Vegetarian Friendly",,,,,,"Breakfast","Lunch","Dinner","Late Night","Drinks","Brunch","37.0945","KES 445 - KES 222,354",,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d12659546-Reviews-Penguin_House-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_Prov.html","RESTAURANT","1","0","0","8","14","penguinhouse1.ke@gmail.com","4.5","Nanyuki Town","Kenya","10400",,"Off Nanyuki-Meru road, Nanyuki,Kenya","Gps:000 1.22,E 37 5.697",,"0.018518","Breakfast","Lunch","Dinner","Late Night","Drinks","Brunch",,"https://media-cdn.tripadvisor.com/media/photo-o/10/0a/39/80/tacos-with-chips-crispy.jpg","29","#12 of 43 places to eat in Nanyuki Town","Off Nanyuki-Meru road, Nanyuki,Kenya Gps:000 1.22,E 37 5.697, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 791 421124","","12","23","3.241931200027466","Open Now","false","false","Penguin House","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","https://penguin-house.business.site/","12659546","Restaurants","$$ - $$$","Sit down"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African",,,,,,,,,,,,,,,,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d10807876-Reviews-Trendz_lounge-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_Prov.html","RESTAURANT","0","0","1","0","0",,"3","Nanyuki Town","Kenya","10400",,"Sweet waters Rd and Nyeri Nanyuki highway junc",,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/10/32/ec/00/photo0jpg.jpg","1","#30 of 43 places to eat in Nanyuki Town","Sweet waters Rd and Nyeri Nanyuki highway junc, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 701 835840","","30","1","3",,"false","false","Trendz lounge","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province",,"10807876","Restaurants",,
"Delivery","Reservations","Seating","Street Parking","Digital Payments","Cash Only","Free Wifi","Takeout","Outdoor Seating","Wheelchair Accessible",,,,,,,,,,,,,"Africa/Nairobi",,,"1080","420","1080","420","1080","420","1080","420","1080","420","1080","420",,,,,,,,,,"Outdoor setting.","Cafe","European","Soups",,,,,,"Breakfast","Lunch","Dinner","Drinks","Brunch",,"37.077534","KES 296 - KES 1,482",,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d7995900-Reviews-Carol_s_Cafe-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_Provin.html","RESTAURANT","0","0","2","4","21","carolineatcourtyard@gmail.com","4.5","Nanyuki Town","Kenya","10400",,"Kenyatta Avenue","Cottage Hospistal Road,next To Braeburn School Nanyuki",,"0.013893","Breakfast","Lunch","Dinner","Drinks","Brunch",,,"https://media-cdn.tripadvisor.com/media/photo-o/16/9a/be/08/pork-chops-with-chips.jpg","28","#9 of 43 places to eat in Nanyuki Town","Kenyatta Avenue Cottage Hospistal Road,next To Braeburn School Nanyuki, Nanyuki Town, Nanyuki Municipality 10400 Kenya","https://www.facebook.com/carolscafe.ke/menu/","+254 706 115666","","9","27","3.326219320297241","Closed Now","false","false","Carol's Cafe","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","http://www.facebook.com/Carols-Cafe-347067438831236/","7995900","Restaurants","$$ - $$$","Sit down"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lunch",,,,,,,,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d6542528-Reviews-Sherlock_s_Bistro-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_P.html","RESTAURANT","0","3","0","1","0",,"2.5","Nanyuki Town","Kenya","10400",,"Nanyuki Mall",,,,"Lunch",,,,,,,,"0","#31 of 43 places to eat in Nanyuki Town","Nanyuki Mall, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,,"","31","4","2.90631103515625",,"false","false","Sherlock's Bistro","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province",,"6542528","Restaurants",,
