"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","ancestorLocations/3/abbreviation","ancestorLocations/3/id","ancestorLocations/3/name","ancestorLocations/3/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","email","establishmentTypes/0","establishmentTypes/1","features/0","features/1","features/2","features/3","features/4","features/5","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","menuWebUrl","name","numberOfReviews","openNowText","ownersTopReasons","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Shella Lamu, Lamu Island 08500 Kenya",,"Kenya","08500",,"Shella Lamu","",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Seafood","European","Asian",,,,"it is just 2 mints far from the sea shore of shella village which is in Lamu kenya.","Dinner",,,,,,,,,,,,,,,,,,"mtendeni@ikenya.com","Restaurants",,"Table Service","Reservations","Seating",,,,,,,,,,,,,,,,,,,,"1730339","https://media-cdn.tripadvisor.com/media/photo-w/06/1b/b5/f4/msafini-hotel-roof-top.jpg","false","false","-2.26977",,"","Lamu Island, Coast Province","40.90094","Dinner",,,,,"Msafini Hotel Roof Top Restaurant","16",,,"+254 701 303430","3","$$ - $$$","KES 445 - KES 4,002","20","13","#13 of 23 places to eat in Lamu Island","4","1","0","2","6","7","3.0725839138031006","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294208-d1730339-Reviews-Msafini_Hotel_Roof_Top_Restaurant-Lamu_Island_Coast_Province.html","https://www.facebook.com/msafinihotelshella/"
"Lamu Island Kenya",,"Kenya","",,"","",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,"1214034",,"false","false","-2.290435",,"","Lamu Island, Coast Province","40.86775",,,,,,"Stone House Hotel","4",,,"633544","0",,,"20","17","#17 of 23 places to eat in Lamu Island","4","0","0","1","2","1","3.0210251808166504",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294208-d1214034-Reviews-Stone_House_Hotel-Lamu_Island_Coast_Province.html",
"Lamu Island Kenya",,"Kenya","",,"","",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,"1214030",,"false","false","-2.290435",,"","Lamu Island, Coast Province","40.86775",,,,,,"New Minaa Cafe","2",,,,"0",,,"20","20","#20 of 23 places to eat in Lamu Island","3.5","0","0","1","1","0","3.005528688430786",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294208-d1214030-Reviews-New_Minaa_Cafe-Lamu_Island_Coast_Province.html",
"Manda Beach, Lamu Island 80500 Kenya",,"Kenya","80500",,"Manda Beach",,,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Italian","French","Bar","Cafe","Barbecue","Pub",,"Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","23396668",,"false","false","-2.223931",,"","Lamu Island, Coast Province","40.96759","Breakfast","Lunch","Dinner",,,"Kanja Arts Cafe","0","Open Now",,,"0",,,,,,,"0","0","0","0","0",,,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294208-d23396668-Reviews-Kanja_Arts_Cafe-Lamu_Island_Coast_Province.html","https://www.facebook.com/KANJA-CLUB-114744466574229/"
"Manda Beach next to Majlis and opposite Peponi, Lamu Island 80500 Kenya",,"Kenya","80500",,"Manda Beach","next to Majlis and opposite Peponi",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Italian","French","Barbecue",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,"23396544",,"false","false","-2.298251",,"","Lamu Island, Coast Province","40.922832",,,,,,"Kanja Arts Club","0",,,,"0",,,,,,,"0","0","0","0","0",,,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294208-d23396544-Reviews-Kanja_Arts_Club-Lamu_Island_Coast_Province.html",
"Shela, Lamu Island Kenya","Shela","Kenya",,,,,,"2258413","Shela","City",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,"18379499","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/03/21/c9/photo0jpg.jpg","false","false","-2.293101",,"","Shela, Lamu Island, Coast Province","40.913868",,,,,,"Dada-Swahili Cafe","3",,,"+254 799 344425","2","$",,"4","3","#3 of 4 places to eat in Shela","4.5","0","0","0","1","2","3.064959764480591",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g2258413-d18379499-Reviews-Dada_Swahili_Cafe-Shela_Lamu_Island_Coast_Province.html","https://www.facebook.com/maskaniyouthinitiative/"
"Msafini Hotel, Lamu Island 08500 Kenya",,"Kenya","08500",,"Msafini Hotel",,,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Italian","American","African","European",,,,,,,,,,,,,,,,,,,,,,"mtendeni@ikenya.com","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,"1674793",,"false","false","-2.269557",,"","Lamu Island, Coast Province","40.900642",,,,,,"Mango Top Roof Restaurant","1",,,"+254 720 223043","0","$$ - $$$","KES 445 - KES 4,002","20","19","#19 of 23 places to eat in Lamu Island","4","0","0","0","1","0","3.0056118965148926","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294208-d1674793-Reviews-Mango_Top_Roof_Restaurant-Lamu_Island_Coast_Province.html",
"Harambee Ave Center, Lamu Island Kenya",,"Kenya","",,"Harambee Ave","Center",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Vegetarian Friendly",,,,,,,"Dinner","Breakfast","Lunch",,,,,,,,,,,,,,,,,"Restaurants",,"Takeout","Seating","Table Service",,,,,"Africa/Nairobi","1320","360","1320","360","1320","360","1320","360","1320","360","1320","360","1320","360","1214029","https://media-cdn.tripadvisor.com/media/photo-m/1280/14/11/b8/f9/photo1jpg.jpg","false","false","-2.290435",,"","Lamu Island, Coast Province","40.86775","Dinner","Breakfast","Lunch",,,"Mangrove Centre","25","Open Now",,"+254 717 653339","14","$",,"20","8","#8 of 23 places to eat in Lamu Island","4","1","0","2","11","11","3.2597782611846924",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294208-d1214029-Reviews-Mangrove_Centre-Lamu_Island_Coast_Province.html",
"Shella, Lamu Island Kenya",,"Kenya","",,"Shella","",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant","Seafood","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,"Lunch","Breakfast","Dinner","Drinks","Ice Cream","Pasta","Ceviche","Crab","Oyster","Salad","Calamari","Curry","Tuna","Prawns","Seafood Platters","Pesto","Sashimi","Fish","reservations@peponihotel.com","Restaurants",,"Reservations","Outdoor Seating","Seating","Serves Alcohol","Full Bar","Free Wifi",,"Africa/Nairobi","1290","360","1290","360","1290","360","1290","360","1290","360","1290","360","1290","360","1214214","https://media-cdn.tripadvisor.com/media/photo-m/1280/19/6d/45/da/dinning-area.jpg","false","false","-2.294843",,"","Lamu Island, Coast Province","40.91604","Lunch","Breakfast","Dinner","Drinks",,"Peponi Hotel Restaurant","417","Closes in 16 min",,"+254 722 203082","106","$$ - $$$",,"20","1","#1 of 23 places to eat in Lamu Island","4.5","12","8","26","80","291","4.519259452819824","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294208-d1214214-Reviews-Peponi_Hotel_Restaurant-Lamu_Island_Coast_Province.html","http://www.peponihotel.com"
"Kenyatta Road Batilaman House, Shela, Lamu Island 80500 Kenya","Shela","Kenya","80500",,"Kenyatta Road","Batilaman House",,"2258413","Shela","City",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","Pizza","Seafood",,,,,,,,,,,,,,,,,,,,,,,"reservations@falierahotel.com","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,"23964793","https://media-cdn.tripadvisor.com/media/photo-m/1280/22/bd/ac/94/tagliatelle-all-aragosta.jpg","false","false","-2.290964",,"","Shela, Lamu Island, Coast Province","40.912422",,,,,,"Faliera Hotel","3",,,,"1",,,"4","2","#2 of 4 places to eat in Shela","4.5","0","0","0","1","2","3.0881540775299072",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g2258413-d23964793-Reviews-Faliera_Hotel-Shela_Lamu_Island_Coast_Province.html","http://www.falierahotel.com"
"Subira House Behind Lamu Fort, Lamu Island Kenya",,"Kenya",,,"Subira House","Behind Lamu Fort",,"294208","Lamu Island","Island",,"2697615","Coast Province","Province",,"294206","Kenya","Country",,,,,"restaurant",,,,,,,"We cook only on request as it is important to design our three course dinner from nearby sources of organic ally locally grown vegetables and fresh sea food. Our back ground food philosophy is in the Slow Food Movement.We have our own shamba (small farm) 3 km on the island where we do trials growing vegetables in the enriched sandy Lamu soil. All the organic wastes from Subira House is brought there by our two donkeys to fertilize the sand.Our cook Michael has a long experience cooking at Peponi´s Hotel for 20 years.So very welcome to book with us at small Karkadeh Restaurant max 12 guests. Please book at the latest the same morning. Christina Aarts",,,,,,,,,,,,,,,,,,,"info@subirahouse.com","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,"3824059","https://media-cdn.tripadvisor.com/media/photo-o/03/6d/9f/6a/karkadeh-restaurant.jpg","false","false","-2.269437",,"","Lamu Island, Coast Province","40.901978",,,,,,"Karkadeh Restaurant","3",,,"+254 726 916686","9","$$ - $$$","KES 1,186 - KES 2,965","20","15","#15 of 23 places to eat in Lamu Island","4.5","0","0","0","1","2","3.033623695373535","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294208-d3824059-Reviews-Karkadeh_Restaurant-Lamu_Island_Coast_Province.html","http://www.subirahouse.com"
