hours,hours/timezone,hours/weekRanges/0/0/close,hours/weekRanges/0/0/open,hours/weekRanges/1/0/close,hours/weekRanges/1/0/open,hours/weekRanges/2/0/close,hours/weekRanges/2/0/open,hours/weekRanges/3/0/close,hours/weekRanges/3/0/open,hours/weekRanges/4/0/close,hours/weekRanges/4/0/open,hours/weekRanges/5/0/close,hours/weekRanges/5/0/open,hours/weekRanges/6/0/close,hours/weekRanges/6/0/open,ancestorLocations/0/abbreviation,ancestorLocations/0/id,ancestorLocations/0/name,ancestorLocations/0/subcategory,ancestorLocations/1/abbreviation,ancestorLocations/1/id,ancestorLocations/1/name,ancestorLocations/1/subcategory,ancestorLocations/2/abbreviation,ancestorLocations/2/id,ancestorLocations/2/name,ancestorLocations/2/subcategory,ancestorLocations/3/abbreviation,ancestorLocations/3/id,ancestorLocations/3/name,ancestorLocations/3/subcategory,mealTypes/0,mealTypes/1,mealTypes/2,mealTypes/3,mealTypes/4,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,isClosed,category,features/0,features/1,features/2,features/3,features/4,features/5,features/6,features/7,features/8,features/9,features/10,features/11,features/12,features/13,features/14,features/15,features/16,features/17,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,addressObj/city,addressObj/country,addressObj/postalcode,addressObj/state,addressObj/street1,addressObj/street2,establishmentTypes/0,establishmentTypes/1,numberOfReviews,dietaryRestrictions/0,dietaryRestrictions/1,dietaryRestrictions/2,dietaryRestrictions/3,dietaryRestrictions/4,longitude,website,email,locationString,dishes/0,dishes/1,dishes/2,dishes/3,dishes/4,dishes/5,image,type,rankingDenominator,localAddress,phone,priceLevel,isLongClosed,subcategories/0,ownersTopReasons,rankingPosition,localName,rankingString,id,priceRange,photoCount,address,name,menuWebUrl,webUrl,openNowText
,Africa/Nairobi,1500,540,1500,540,1500,540,1500,540,1500,540,1500,540,1500,540,,775870,Diani Beach,City,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Lunch,Dinner,Late Night,Drinks,Breakfast,16,16,34,79,91,FALSE,restaurant,Reservations,Parking Available,Full Bar,Takeout,Outdoor Seating,Seating,Street Parking,Free off-street parking,Television,Wheelchair Accessible,Serves Alcohol,Wine and Beer,Accepts Mastercard,Accepts Visa,Digital Payments,Accepts Credit Cards,Free Wifi,,Pizza,Cafe,Bar,Grill,Vegetarian Friendly,,,Diani Beach,Kenya,80401,,Diani Beach Road,Baharini Plaza,Bars & Pubs,Restaurants,236,Lunch,Dinner,Late Night,Drinks,Breakfast,39.577377,http://www.facebook.com/HavanaBarDiani,info@havana.co.ke,"Diani Beach, Ukunda, Coast Province",Burger,Tacos,Prawns,Fish,,,https://media-cdn.tripadvisor.com/media/photo-o/0f/54/40/92/caption.jpg,RESTAURANT,69,,+254 724 803452,$$ - $$$,FALSE,Sit down,,21,,#21 of 80 places to eat in Diani Beach,7621701,"KES 445 - KES 2,226",81,"Diani Beach Road Baharini Plaza, Diani Beach, Ukunda 80401 Kenya",Havana Bar,,https://www.tripadvisor.com/Restaurant_Review-g775870-d7621701-Reviews-Havana_Bar-Diani_Beach_Ukunda_Coast_Province.html,Open Now
,,,,,,,,,,,,,,,,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,,,,,Lunch,Dinner,Late Night,,,4,12,17,64,85,FALSE,restaurant,Reservations,Seating,Parking Available,Wheelchair Accessible,Serves Alcohol,Full Bar,Table Service,Takeout,,,,,,,,,,,African,Vegetarian Friendly,Vegan Options,,,,,Ukunda,Kenya,80400,,Diani Beach Road,Entrance to Coral Beach Cottages,Restaurants,,182,Lunch,Dinner,Late Night,,,39.587936,http://www.facebook.com/African-Pot-567624350297645/,,"Ukunda, Coast Province",Omelette,Curry,Beef,Fish,Chicken dishes,,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/b8/d6/15/african-cuisine.jpg,RESTAURANT,77,,+254 722 719253,$,FALSE,Sit down,,16,,#16 of 89 places to eat in Ukunda,2012007,,65,"Diani Beach Road Entrance to Coral Beach Cottages, Ukunda 80400 Kenya",African Pot,,https://www.tripadvisor.com/Restaurant_Review-g317068-d2012007-Reviews-African_Pot-Ukunda_Coast_Province.html,
,,,,,,,,,,,,,,,,,775870,Diani Beach,City,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Dinner,Lunch,Late Night,,,12,16,28,100,74,FALSE,restaurant,Takeout,Reservations,Seating,Television,Wheelchair Accessible,Serves Alcohol,Full Bar,Table Service,,,,,,,,,,,Italian,Pizza,European,Vegetarian Friendly,,,,Diani Beach,Kenya,,,,,Restaurants,,230,Dinner,Lunch,Late Night,,,39.586452,,,"Diani Beach, Ukunda, Coast Province",Pasta,Crab,Salad,Focaccia,Pesto,Fish,https://media-cdn.tripadvisor.com/media/photo-o/0f/54/84/98/caption.jpg,RESTAURANT,69,,,$$ - $$$,FALSE,Sit down,,20,,#20 of 80 places to eat in Diani Beach,1101182,,46,"Diani Beach, Ukunda Kenya",Aniellos,,https://www.tripadvisor.com/Restaurant_Review-g775870-d1101182-Reviews-Aniellos-Diani_Beach_Ukunda_Coast_Province.html,
,Africa/Nairobi,1200,480,1200,480,1200,480,1200,480,1200,480,1200,480,1200,480,,775870,Diani Beach,City,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Lunch,Dinner,,,,1,1,2,3,49,FALSE,restaurant,Reservations,Outdoor Seating,Seating,Table Service,Serves Alcohol,,,,,,,,,,,,,,Seafood,,,,,,,Diani Beach,Kenya,80401,,Diani Beach shorelne,On main road after Simba Oryx Beach Cottages,Restaurants,,56,Lunch,Dinner,,,,39.56488,,,"Diani Beach, Ukunda, Coast Province",Lobster,Salad,Calamari,Prawns,Octopus,Fish,https://media-cdn.tripadvisor.com/media/photo-o/0d/63/85/b9/willy-s-blue-tent-seafood.jpg,RESTAURANT,69,,+254 706 834020,$$ - $$$,FALSE,,,15,,#15 of 80 places to eat in Diani Beach,11714474,,100,"Diani Beach shorelne On main road after Simba Oryx Beach Cottages, Diani Beach, Ukunda 80401 Kenya",Willy's Blue tent seafood restaurant,,https://www.tripadvisor.com/Restaurant_Review-g775870-d11714474-Reviews-Willy_s_Blue_tent_seafood_restaurant-Diani_Beach_Ukunda_Coast_Province.html,Open Now
,Africa/Nairobi,1620,540,1620,540,1620,540,1620,540,1620,540,1620,540,1620,540,,775870,Diani Beach,City,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Lunch,Dinner,Breakfast,Drinks,,4,2,1,8,60,FALSE,restaurant,Reservations,Outdoor Seating,Seating,Parking Available,Serves Alcohol,Free Wifi,Delivery,Takeout,Private Dining,Street Parking,Television,Highchairs Available,Wine and Beer,,,,,,Steakhouse,Bar,Pub,,,,,Diani Beach,Kenya,80401,,Diani Beach Road,Diani Bazaar Shopping Centre,Restaurants,,74,Lunch,Dinner,Breakfast,Drinks,,39.581924,http://www.facebook.com/sizzlersteakhousediani/,evechelimo@gmail.com,"Diani Beach, Ukunda, Coast Province",Pork,,,,,,https://media-cdn.tripadvisor.com/media/photo-o/16/e7/fb/d2/small-menubig-taste-come.jpg,RESTAURANT,69,,+254 720 835597,$$ - $$$,FALSE,Sit down,,18,,#18 of 80 places to eat in Diani Beach,12445230,"KES 742 - KES 1,484",42,"Diani Beach Road Diani Bazaar Shopping Centre, Diani Beach, Ukunda 80401 Kenya",Sizzlers Steak House & Pub,,https://www.tripadvisor.com/Restaurant_Review-g775870-d12445230-Reviews-Sizzlers_Steak_House_Pub-Diani_Beach_Ukunda_Coast_Province.html,Open Now
,Africa/Nairobi,1380,600,1380,600,1380,600,1380,600,1380,600,1380,600,1380,600,,775870,Diani Beach,City,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Dinner,Lunch,Drinks,,,1,0,0,4,23,FALSE,restaurant,Serves Alcohol,Free Wifi,Reservations,Private Dining,Seating,Parking Available,Wine and Beer,Accepts Credit Cards,,,,,,,,,,,Italian,Seafood,,,,,,Diani Beach,Kenya,80100,,Diani Beach Road,Baobab Beach Resort,Restaurants,,28,Dinner,Lunch,Drinks,,,39.59149,http://www.baobab-beach-resort.com,info@baobab-beach-resort.com,"Diani Beach, Ukunda, Coast Province",Seafood Platters,,,,,,https://media-cdn.tripadvisor.com/media/photo-m/1280/27/ed/be/ea/enjoy-your-meal-with.jpg,RESTAURANT,69,,+254 709 154000,$$$$,FALSE,Sit down,,16,,#16 of 80 places to eat in Diani Beach,15634532,"KES 148,368 - KES 816,024",45,"Diani Beach Road Baobab Beach Resort, Diani Beach, Ukunda 80100 Kenya",The Tangezi Restaurant,https://baobab-beach-resort.com/files/Tangezi%252520Seafood%252520%252526%252520Beyond%252520Menu.pdf,https://www.tripadvisor.com/Restaurant_Review-g775870-d15634532-Reviews-The_Tangezi_Restaurant-Diani_Beach_Ukunda_Coast_Province.html,Closed Now
,Africa/Nairobi,1320,480,1320,480,1320,480,1320,480,1320,480,1320,480,1320,480,,775870,Diani Beach,City,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Breakfast,Lunch,Dinner,Brunch,Drinks,0,0,0,0,16,FALSE,restaurant,Takeout,Reservations,Outdoor Seating,Parking Available,Serves Alcohol,Full Bar,Wine and Beer,Accepts Mastercard,Accepts Visa,Digital Payments,Free Wifi,Accepts Credit Cards,,,,,,,Italian,African,Seafood,Contemporary,Healthy,,,Diani Beach,Kenya,,,Diani Beach Road,Just after Neptune Hotel - enter through LalaGalu,Restaurants,,16,Breakfast,Lunch,Dinner,Brunch,Drinks,39.580235,http://www.staylala.com,info@staylala.com,"Diani Beach, Ukunda, Coast Province",,,,,,,https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/5d/0f/fe/beachfront-setting.jpg,RESTAURANT,69,,+254 792 057665,,FALSE,,,22,,#22 of 80 places to eat in Diani Beach,26258116,,31,"Diani Beach Road Just after Neptune Hotel - enter through LalaGalu, Diani Beach, Ukunda Kenya",Sunnyside Up,,https://www.tripadvisor.com/Restaurant_Review-g775870-d26258116-Reviews-Sunnyside_Up-Diani_Beach_Ukunda_Coast_Province.html,Open Now
,Africa/Nairobi,1410,720,1410,720,1410,720,1410,720,1410,720,1410,720,1410,720,,775870,Diani Beach,City,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Dinner,Drinks,,,,2,0,0,2,27,FALSE,restaurant,Reservations,Parking Available,Wheelchair Accessible,Serves Alcohol,Full Bar,Wine and Beer,Accepts American Express,Accepts Mastercard,Accepts Visa,Free Wifi,Accepts Discover,Accepts Credit Cards,Table Service,Live Music,,,,,Italian,,,,,,,Diani Beach,Kenya,80401,,Forty Thieves Access Rd,,Restaurants,,31,Dinner,Drinks,,,,39.575367,https://www.casamiadiani.com/,info@casamiadianibeach.com,"Diani Beach, Ukunda, Coast Province",,,,,,,https://media-cdn.tripadvisor.com/media/photo-m/1280/27/ab/2a/e1/the-newest-dining-and.jpg,RESTAURANT,69,,2.54714E+11,,FALSE,,,19,,#19 of 80 places to eat in Diani Beach,25228468,,52,"Forty Thieves Access Rd, Diani Beach, Ukunda 80401 Kenya",Casamia,,https://www.tripadvisor.com/Restaurant_Review-g775870-d25228468-Reviews-Casamia-Diani_Beach_Ukunda_Coast_Province.html,Closed Now
,Africa/Nairobi,1439,0,1439,0,1439,0,1439,0,1439,0,1439,0,1439,0,,775870,Diani Beach,City,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,Dinner,Breakfast,Lunch,Brunch,Drinks,3,1,9,12,41,FALSE,restaurant,Reservations,Outdoor Seating,Seating,Serves Alcohol,Table Service,Takeout,Private Dining,Parking Available,Free off-street parking,Television,Full Bar,Accepts American Express,Accepts Mastercard,Accepts Visa,Accepts Credit Cards,Live Music,Beach,Family style,Beer restaurants,Bar,Seafood,Pub,Hawaiian,,,Diani Beach,Kenya,80401,,Galu Beach Rd,,Restaurants,,66,Dinner,Breakfast,Lunch,Brunch,Drinks,39.559307,http://www.soulbreezebeachresort.com,info@soulbreezebeachresort.com,"Diani Beach, Ukunda, Coast Province",Fish,,,,,,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/fe/9d/cc/the-beach-soulbreeze.jpg,RESTAURANT,69,,+254 743 211231,$$ - $$$,FALSE,Sit down,,17,,#17 of 80 places to eat in Diani Beach,21407012,"KES 29,674 - KES 296,736",80,"Galu Beach Rd, Diani Beach, Ukunda 80401 Kenya",Soul Breeze Beach Resort,,https://www.tripadvisor.com/Restaurant_Review-g775870-d21407012-Reviews-Soul_Breeze_Beach_Resort-Diani_Beach_Ukunda_Coast_Province.html,Open Now
,Africa/Nairobi,1320,690,,,1320,690,1320,690,1320,690,1320,690,1320,690,,317068,Ukunda,Municipality,,2697615,Coast Province,Province,,294206,Kenya,Country,,,,,Lunch,Dinner,,,,3,1,6,17,54,FALSE,restaurant,Takeout,Reservations,Seating,Serves Alcohol,Table Service,,,,,,,,,,,,,,Italian,Pizza,Seafood,Spanish,Grill,European,Vegetarian Friendly,Ukunda,Kenya,80400,,Diani Beach Road,,Restaurants,,81,Lunch,Dinner,,,,39.592274,https://www.facebook.com/JOLLY-BAR-PIZZERIA-204933846861516/,jollybardiani@gmail.com,"Ukunda, Coast Province",Lasagne,,,,,,https://media-cdn.tripadvisor.com/media/photo-w/16/7e/32/5c/photo1jpg.jpg,RESTAURANT,77,,+254 703 560860,$$ - $$$,FALSE,,,17,,#17 of 89 places to eat in Ukunda,15024706,,40,"Diani Beach Road, Ukunda 80400 Kenya",Jolly Bar Pizzeria,,https://www.tripadvisor.com/Restaurant_Review-g317068-d15024706-Reviews-Jolly_Bar_Pizzeria-Ukunda_Coast_Province.html,Closed Now
