"hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","establishmentTypes/0","establishmentTypes/1","numberOfReviews","website","longitude","image","locationString","rating","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","email","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","type","rankingDenominator","localAddress","phone","priceLevel","isLongClosed","subcategories/0","ownersTopReasons","rankingPosition","localName","dishes/0","dishes/1","openNowText","rankingString","priceRange","id","address","name","menuWebUrl","photoCount","webUrl","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","isClosed","category"
,,,,,,,,,,,,,,,,"Delivery","Takeout","Reservations","Seating","Serves Alcohol","Outdoor Seating","Table Service",,,,,,,,,,,,,,"Indian","International","Vegetarian Friendly","Vegan Options",,,,"Restaurants",,"51",,"35.28418","https://media-cdn.tripadvisor.com/media/photo-s/03/2d/6b/ea/front-entrance-to-restaurant.jpg","Eldoret, Rift Valley Province","3.5","Eldoret","Kenya",,,"Rumogi St.",,,"Lunch","Dinner",,,,,"RESTAURANT","27",,"+254 731 363737","$$ - $$$","false","Sit down",,"5","",,,,"#5 of 35 places to eat in Eldoret",,"3604436","Rumogi St., Eldoret Kenya","Mamma Mias Restaurant",,"11","https://www.tripadvisor.com/Restaurant_Review-g681265-d3604436-Reviews-Mamma_Mias_Restaurant-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Lunch","Dinner",,,,,"1","4","12","24","10","false","restaurant"
,,,,,,,,,,,,,,,,"Seating","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,"Cafe",,,,,,,"Restaurants",,"17","https://www.javahouseafrica.com/find-a-store/","35.290993","https://media-cdn.tripadvisor.com/media/photo-s/28/09/76/41/caption.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya",,,"Eldoret-Malaba Rd","Rupa’s Mall","coffeesales@javahouseafrica.com","Breakfast",,,,,,"RESTAURANT","27",,"+254 792 322378",,"false",,,"7","","Burger",,,"#7 of 35 places to eat in Eldoret",,"12981993","Eldoret-Malaba Rd Rupa’s Mall, Eldoret Kenya","Java House",,"3","https://www.tripadvisor.com/Restaurant_Review-g681265-d12981993-Reviews-Java_House-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast",,,,,,"0","2","2","7","6","false","restaurant"
,"Africa/Nairobi","1440","600","1440","600","1440","600","1440","600","1440","600","1440","600","1440","600","Full Bar","Takeout","Seating","Television","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Table Service","Reservations",,,,,,,,,"Irish","Bar","Pub","Vegetarian Friendly",,,,"Restaurants",,"65","http://www.thewell.co.ke/","35.27432","https://media-cdn.tripadvisor.com/media/photo-o/0c/ea/da/56/20160830-143531-largejpg.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya","30100",,"Cheruiyot Street","Saito Centre 1st Floor","info@thewell.co.ke","Lunch","Dinner","Breakfast","Late Night",,,"RESTAURANT","27",,"+254 756 207207","$$ - $$$","false","Sit down",,"3","","Fish",,"Open Now","#3 of 35 places to eat in Eldoret","KES 296 - KES 889","3675400","Cheruiyot Street Saito Centre 1st Floor, Eldoret 30100 Kenya","The Well Irish Pub & Restaurant","http://thewell.co.ke/menu","18","https://www.tripadvisor.com/Restaurant_Review-g681265-d3675400-Reviews-The_Well_Irish_Pub_Restaurant-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Lunch","Dinner","Breakfast","Late Night",,,"4","5","7","15","34","false","restaurant"
,,,,,,,,,,,,,,,,"Takeout","Reservations","Delivery","Seating",,,,,,,,,,,,,,,,,"Chinese","Asian",,,,,,"Restaurants",,"20",,"35.27797","https://media-cdn.tripadvisor.com/media/photo-w/28/18/55/aa/caption.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya",,,"Ronald Ngala Street",,,"Lunch","Dinner",,,,,"RESTAURANT","27",,"+254 723 647529","$$ - $$$","false",,,"6","","Beef",,,"#6 of 35 places to eat in Eldoret",,"8737142","Ronald Ngala Street, Eldoret Kenya","Siam Restaurant",,"1","https://www.tripadvisor.com/Restaurant_Review-g681265-d8737142-Reviews-Siam_Restaurant-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Lunch","Dinner",,,,,"0","0","3","11","6","false","restaurant"
,"Africa/Nairobi","1290","660","1260","660","1290","660","1290","660","1290","660","1290","660","1290","660",,,,,,,,,,,,,,,,,,,,,"African","Barbecue","Diner",,,,,"Restaurants",,"4","https://farmgrill.business.site/?utm_source=gmb&utm_medium=referral","35.265347","https://media-cdn.tripadvisor.com/media/photo-m/1280/21/b4/99/93/the-farmgrill-highlands.jpg","Eldoret, Rift Valley Province","4.5","Eldoret","Kenya",,,"Malaba Road","Highlands Mall","restaurant@makongifarm.com","Lunch","Dinner",,,,,"RESTAURANT","27",,"+254 796 548252",,"false",,,"11","",,,"Open Now","#11 of 35 places to eat in Eldoret",,"23769377","Malaba Road Highlands Mall, Eldoret Kenya","The Farmgrill",,"5","https://www.tripadvisor.com/Restaurant_Review-g681265-d23769377-Reviews-The_Farmgrill-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Lunch","Dinner",,,,,"0","0","1","0","3","false","restaurant"
,,,,,,,,,,,,,,,,"Takeout","Reservations","Seating","Serves Alcohol","Full Bar",,,,,,,,,,,,,,,,"Indian","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,"Restaurants",,"91",,"35.274445","https://media-cdn.tripadvisor.com/media/photo-o/0d/ad/9c/05/20161120-144334-largejpg.jpg","Eldoret, Rift Valley Province","4.5","Eldoret","Kenya",,,"Kenyatta St",,"kimutaiphilip@yahoo.com","Lunch","Dinner","Brunch",,,,"RESTAURANT","27",,"+254 720 554747","$$ - $$$","false","Sit down",,"1","",,,,"#1 of 35 places to eat in Eldoret",,"3854188","Kenyatta St, Eldoret Kenya","Sunjeel Food Palace",,"10","https://www.tripadvisor.com/Restaurant_Review-g681265-d3854188-Reviews-Sunjeel_Food_Palace-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Lunch","Dinner","Brunch",,,,"0","1","7","40","43","false","restaurant"
,,,,,,,,,,,,,,,,"Buffet","Seating","Parking Available","Free off-street parking","Full Bar","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Takeout","Reservations","Outdoor Seating","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Accepts Credit Cards","Table Service",,,,"Bar","European","Pub","Vegetarian Friendly","Vegan Options",,,"Restaurants",,"43","http://www.kerioview.com","35.511166","https://media-cdn.tripadvisor.com/media/photo-o/0d/0e/d3/55/barbecue-hut-in-ftony.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya","30100",,"Kerio View Road",,"info@kerioview.com","Drinks","Breakfast","Lunch","Dinner",,,"RESTAURANT","27",,"+254 722 781916","$$ - $$$","false","Sit down",,"2","",,,,"#2 of 35 places to eat in Eldoret","KES 593 - KES 2,965","2416916","Kerio View Road, Eldoret 30100 Kenya","Kerio View",,"25","https://www.tripadvisor.com/Restaurant_Review-g681265-d2416916-Reviews-Kerio_View-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Drinks","Breakfast","Lunch","Dinner",,,"2","0","7","15","19","false","restaurant"
,,,,,,,,,,,,,,,,"Seating","Highchairs Available","Wheelchair Accessible",,,,,,,,,,,,,,,,,,"African","Bar","Contemporary","Indian","Pub","Vegetarian Friendly",,"Restaurants",,"22","http://64resort.com/","35.285103","https://media-cdn.tripadvisor.com/media/photo-o/13/58/90/60/img-20180321-132654-largejpg.jpg","Eldoret, Rift Valley Province","3.5","Eldoret","Kenya","30100",,"Old Nairobi Road","Aka Plateau Road","relax@64resort.com","Lunch","Dinner","Breakfast",,,,"RESTAURANT","27",,"+254 733 740000","$$ - $$$","false","Fast food",,"8","",,,,"#8 of 35 places to eat in Eldoret","KES 29,647 - KES 177,883","10359516","Old Nairobi Road Aka Plateau Road, Eldoret 30100 Kenya","64 Resort And Sporting Club","http://64resort.com/menu/","6","https://www.tripadvisor.com/Restaurant_Review-g681265-d10359516-Reviews-64_Resort_And_Sporting_Club-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Lunch","Dinner","Breakfast",,,,"2","1","3","12","4","false","restaurant"
,"Africa/Nairobi","750","480","1170","480","1170","480","1170","480","1170","480","1170","480","1170","480","Takeout","Delivery","Wheelchair Accessible",,,,,,,,,,,,,,,,,,"Pizza","Fast Food","Vegetarian Friendly","Vegan Options",,,,"Dessert",,"28","http://www.bakerspointkenya.com","35.277752","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/eb/44/09/great-inhouse-coffee.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya","6762",,"Zion Mall, Opposite Barng'tuny Plaza",,"sales@bakerspointkenya.com","Breakfast","Lunch","Dinner","Brunch",,,"RESTAURANT","27",,"+254 723 577000","$$ - $$$","false","Café",,"4","","Burger","Cakes","Closed Now","#4 of 35 places to eat in Eldoret",,"6918439","Zion Mall, Opposite Barng'tuny Plaza, Eldoret 6762 Kenya","Bakers Point","https://www.bakerspointkenya.com/rupas-mall-menu/","28","https://www.tripadvisor.com/Restaurant_Review-g681265-d6918439-Reviews-Bakers_Point-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch",,,"0","0","7","9","12","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cafe","Greek",,,,,,"Coffee & Tea",,"9",,"35.27606","https://media-cdn.tripadvisor.com/media/photo-s/07/70/7a/af/getlstd-property-photo.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya",,,"Oginga Odinga",,,,,,,,,"RESTAURANT","27",,"+254 719 434480","$$ - $$$","false","Sit down",,"10","",,,,"#10 of 35 places to eat in Eldoret","KES 296 - KES 741","7759348","Oginga Odinga, Eldoret Kenya","Cleopatra's coldfire",,"17","https://www.tripadvisor.com/Restaurant_Review-g681265-d7759348-Reviews-Cleopatra_s_coldfire-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","2","3","4","false","restaurant"
