"dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","subcategories/0","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","rankingPosition","localName","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","openNowText","rankingString","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","priceRange","id","photoCount","address","name","menuWebUrl","webUrl","description","rawRanking","latitude","category","website","type","image","rankingDenominator","localAddress","phone","isLongClosed","isClosed","establishmentTypes/0","establishmentTypes/1","numberOfReviews","email","longitude","locationString","priceLevel","rating"
"Dumplings","Burger","Shrimp","T-Bone Steak","Salad","Wings","Chili","Curry","Risotto","Salmon","Tuna","Prawns","Beef","Lamb","Fish","Pork",,,,"Nairobi","Kenya",,,"320 Ngong Road","Karen","Sit down",,"Africa/Nairobi","1260","660",,,,,"1320","660","1320","660","1320","660","1320","660","1320","660",,,"Seafood","Contemporary","Fusion","Italian","Sushi","European","Vegan Options","Gluten Free Options","27","20","102","477","1368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"23","","Lunch","Dinner","Brunch","Late Night",,,"Takeout","Outdoor Seating","Seating","Parking Available","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Full Bar","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Highchairs Available","Accepts Credit Cards","Table Service","Live Music","Playgrounds",,,,,,"Closed Now","#23 of 1,048 places to eat in Nairobi","Lunch","Dinner","Brunch","Late Night",,,"KES 2,224 - KES 4,447","1059634","660","320 Ngong Road Karen, Nairobi Kenya","The Talisman Restaurant","https://qr1.be/RLJJ","https://www.tripadvisor.com/Restaurant_Review-g294207-d1059634-Reviews-The_Talisman_Restaurant-Nairobi.html","Featuring carved wooden pillars from Pakistan, elegant Afghan rugs, charming fireplaces, sprawling terraces and idyllic gardens, The Talisman blends fine dining with unbridled eclecticism. We have made every effort to create the ideal ambience for those seeking a candle-lit romantic dinner, a casual evening drink with friends, an outdoor lunch with family and everything in between. This is all complemented by distinguished service from our cordial staff. Welcome to the Talisman.","4.4494194984436035","-1.322988","restaurant","http://www.thetalismanrestaurant.com/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/12/98/a7/34/lunch.jpg","833",,"+254 705 999997","false","false","Restaurants",,"1994","reservations@thetalismanrestaurant.com","36.703365","Nairobi","$$ - $$$","4.5"
"Paella","Tapas",,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"The Hub Karen","The Hub Karen - 1st Floor overlooking the lake","Café",,"Africa/Nairobi","1440","540",,,"1440","720","1440","720","1440","720","1440","720","1440","540","1440","540",,,"Spanish","International","Mediterranean","European","Vegetarian Friendly",,,,"7","2","3","15","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"256","","Dinner","Brunch","Breakfast","Lunch","Late Night","Drinks","Takeout","Reservations","Buffet","Seating","Parking Available","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Cash Only","Free Wifi","Delivery","Outdoor Seating","Highchairs Available","Table Service",,,,,,"Open Now","#256 of 1,048 places to eat in Nairobi","Dinner","Brunch","Breakfast","Lunch","Late Night","Drinks","KES 296,472 - KES 1,482,360","10597133","40","The Hub Karen The Hub Karen - 1st Floor overlooking the lake, Nairobi Kenya","Picazzo Restaurant","http://www.picazzo.co.ke#le-menu","https://www.tripadvisor.com/Restaurant_Review-g294207-d10597133-Reviews-Picazzo_Restaurant-Nairobi.html","We specialise in an array of international cuisine including Spanish cuisine and Tapas. Our love for the wine culture allows us to invite you to a very extensive and unforgettable wine menu. Picazzo is a restaurant where emotions multiply, where each corner, each detail and service reflects the personality and philosophy of the artist.","3.169116258621216","-1.320169","restaurant","http://www.picazzo.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0f/dc/56/43/paella.jpg","832",,"+254 714 653355","false","false","Restaurants",,"46","info@picazzo.co.ke","36.70345","Nairobi","$$ - $$$","4"
"Ceviche","Burger","Tacos",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Pofu Road",,,,"Africa/Nairobi","1380","480",,,,,"1380","720","1380","480","1380","480","1380","480","1380","480",,,"International","Pizza","Asian","South American",,,,,"4","3","3","11","81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"40","","Lunch","Breakfast","Dinner","Brunch","Drinks",,"Reservations","Outdoor Seating","Seating","Parking Available","Street Parking","Serves Alcohol","Full Bar","Wine and Beer","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,"Closes in 15 min","#40 of 1,048 places to eat in Nairobi","Lunch","Breakfast","Dinner","Brunch","Drinks",,,"19292723","145","Pofu Road, Nairobi Kenya","Cultiva Farm Kenya","https://drive.google.com/drive/folders/1J8HBQJMzbBHGR_vJ5BTpzG4W4lVZYmwu","https://www.tripadvisor.com/Restaurant_Review-g294207-d19292723-Reviews-Cultiva_Farm_Kenya-Nairobi.html","Cultiva strives to build a community of innovative, creative like minded individuals. All driven towards one cause; being the best version of ourselves everyday. We believe in shared energy of positivity and cultivating an environment where we can all grow, succeed and thrive. We like to say Cultiva is more than a restaurant, it's a family. The pillars of the establishment are based on the same principles. Respect, honesty and compassion.

Guests are invited to a culinary experience through an ever-changing menu that is dependent on the produce available on the farm. It’s a farm to table restaurant that grows vegetables, micro herbs and edible flowers, and the serves them along side some of Kenya’s finest organic produce and creations from their kitchen.","3.984955072402954","-1.356984","restaurant","http://www.instagram.com/cultivakenya/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/29/00/10/06/greenhouse.jpg","833",,"+254701579902","false","false","Restaurants",,"102","sales@cultivakenya.com","36.739162","Nairobi","$$ - $$$","4.5"
"Juice & Smoothies","Sandwiches","Burger","Salad",,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"#2 Kifaru Lane",,"Café",,"Africa/Nairobi","1050","540",,,"1020","480","1020","480","1020","480","1020","480","1200","480","1050","480",,,"Cafe","Vegan Options","Vegetarian Friendly",,,,,,"0","0","11","36","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"43","","Breakfast","Lunch","Dinner","Brunch",,,"Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Serves Alcohol","Table Service","Highchairs Available","Wheelchair Accessible",,,,,,,,,,,,,,"Closed Now","#43 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Dinner","Brunch",,,"KES 96,353 - KES 192,707","8580248","78","#2 Kifaru Lane, Nairobi Kenya","Matbronze Cafe",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d8580248-Reviews-Matbronze_Cafe-Nairobi.html",,"3.9502995014190674","-1.36692","restaurant","http://www.matbronze.com","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0a/05/7c/08/comes-with-animal-moulded.jpg","833",,"+254 704 690162","false","false","Restaurants",,"113","matbronzecafe@gmail.com","36.747818","Nairobi","$$ - $$$","4.5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"No 321 Ngong Road","Karen","Sit down",,"Africa/Nairobi","1350","720",,,"1350","720","1350","720","1350","720","1350","720","1350","720","1350","720",,,"Ethiopian","African","Grill","Wine Bar","Vegetarian Friendly","Vegan Options",,,"8","0","10","22","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"214","","Lunch","Dinner","Brunch","Drinks",,,"Reservations","Outdoor Seating","Seating","Parking Available","Free off-street parking","Highchairs Available","Serves Alcohol","Full Bar","Accepts American Express","Accepts Mastercard","Accepts Visa","Table Service","Takeout","Buffet","Private Dining","Wine and Beer","Free Wifi","Accepts Credit Cards","Playgrounds",,,,"Closed Now","#214 of 1,048 places to eat in Nairobi","Lunch","Dinner","Brunch","Drinks",,,"KES 148,236 - KES 303,884","12112229","92","No 321 Ngong Road Karen, Nairobi Kenya","Asmara Restuarant Karen","https://asmara.co.ke/wp-content/uploads/2022/04/Asmara-Food-Menu_2022.pdf","https://www.tripadvisor.com/Restaurant_Review-g294207-d12112229-Reviews-Asmara_Restuarant_Karen-Nairobi.html","Eritrean/Ethiopian and Continental cuisine prepared from the finest and freshest ingredients; a unique dining experience in a beautiful, modern and child-friendly setting. The ideal restaurant for friends and family!","3.2128891944885254","-1.324121","restaurant","http://www.asmara.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/24/fe/51/d3/tsebhi-derho-boneless.jpg","833",,"+254 724 124555","false","false","Restaurants",,"64","admin.karen@asmara.co.ke","36.702023","Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Karen","Kenya","00100",,"Ngong Road, Karen, Next to Karen AutoMart",,"Sit down",,"Africa/Nairobi","1320","660",,,"1320","660","1320","660","1320","660","1320","660","1320","660","1320","660",,,"Indian","International","Asian","British","Arabic",,,,"0","0","0","0","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","7","","Lunch","Dinner","Brunch","Late Night","Drinks",,"Takeout","Delivery","Reservations","Seating","Street Parking","Free off-street parking","Digital Payments","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,,"Closed Now","#7 of 29 places to eat in Karen","Lunch","Dinner","Brunch","Late Night","Drinks",,"KES 148 - KES 2,075","17480343","40","Ngong Road, Karen, Next to Karen AutoMart, Karen, Nairobi 00100 Kenya","BBQ Kitchen","http://bbqkitchen.co.ke/menu-affordable-restaurants-in-nairobi/","https://www.tripadvisor.com/Restaurant_Review-g12559418-d17480343-Reviews-BBQ_Kitchen-Karen_Nairobi.html","Enjoy Delicious Meals at #BBQKitchenke. We serve fresh, halal barbecue and vegetarian dishes. We are located on Ngong Road, Karen, next to Karen Automart.","3.2049381732940674","-1.317177","restaurant","http://bbqkitchen.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/18/37/0a/7f/enjoy-delicious-grilled.jpg","22",,"+254 702 008336","false","false","Restaurants",,"12","juicybarbeque@gmail.com","36.717518","Karen, Nairobi","$","5"
"Crab","Crab Cake","Burger","Lobster","Oyster","Shrimp","Salad","Calamari","Chili","Chili Crab","Salmon","Tuna","Clams","Prawns","Octopus","Seafood Platters","Duck","Shellfish","Fish","Nairobi","Kenya","00200",,"Karen Road","Karen","Sit down",,"Africa/Nairobi","1170","600",,,"1170","600","1170","600","1170","600","1170","600","1170","600","1170","600",,,"European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"6","8","38","177","452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"21","","Dinner","Brunch",,,,,"Outdoor Seating","Seating","Parking Available","Free off-street parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Private Dining","Validated Parking","Full Bar","Accepts Credit Cards","Table Service","Live Music",,,,,"Closed Now","#21 of 1,048 places to eat in Nairobi","Dinner","Brunch",,,,,"KES 7,412 - KES 14,824","1214146","152","Karen Road Karen, Nairobi 00200 Kenya","Tamarind Restaurant","http://tamarind.co.ke/doc/cocktail_menus_ii.pdf","https://www.tripadvisor.com/Restaurant_Review-g294207-d1214146-Reviews-Tamarind_Restaurant-Nairobi.html","Nairobi's iconic seafood restaurant which originally opened in August 1977, has recently moved from the Central Business District to the leafy suburbs of Karen at the Karen Blixen coffee Garden. The menu is a blend of the best of French, Asian and African cuisines with specialties such as the famous Prawns Piri Piri, and Chilli Crab which have earned the Tamarind worldwide fame.","4.512363433837891","-1.345125","restaurant","http://www.tamarind.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/12/96/00/9b/tamarind-restaurant-nairobi.jpg","833",,"+254 719 346349","false","false","Restaurants",,"681","reservations.nairobi@tamarind.co.ke","36.71382","Nairobi","$$$$","4.5"
"Tempura",,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00606",,"Langata Road","","Sit down",,,,,,,,,,,,,,,,,,,,,"Japanese","Sushi","Asian","Korean","Fusion","Vegetarian Friendly",,,"0","2","7","13","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"249","","Dinner","Lunch",,,,,"Reservations","Seating","Serves Alcohol",,,,,,,,,,,,,,,,,,,,,"#249 of 1,048 places to eat in Nairobi","Dinner","Lunch",,,,,"KES 1,482 - KES 4,447","2240842","7","Langata Road, Nairobi 00606 Kenya","Tokyo Restaurant Karen",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d2240842-Reviews-Tokyo_Restaurant_Karen-Nairobi.html","Tokyo Restaurant is a Japanese/Korean restaurant that has over 10 years of experience serving top class food in Nairobi. Our founder and Head Chef is Mr. Youngho (Philip) Shin, who is one of the only licensed chefs in Japanese food in Kenya. He has over 30 years of experience in the restaurant and hotel business. Before coming to Kenya, he spent 10 years working for a 5 Star hotel in South Korea, where he learned his trade. With this level of experience, you can rest assured that food coming from his hands will be the best in the country. We recently closed our Karen branch and opened a new branch in Kolloh Road, Lavington, which will now be our main and only branch. We are open for dinners only for now, but expect to do the grand opening in September.","3.1764512062072754","-1.32761","restaurant","http://www.tokyorestaurant.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0c/81/c9/6c/20160806-132444-largejpg.jpg","833",,"+254 722 485556","false","false","Restaurants",,"33","tokyonbi@gmail.com","36.71741","Nairobi","$$ - $$$","4"
"Sandwiches","Burger","Salad","Pancakes","Carrot Cake","Crepes","Quiche","Toasts","Cakes","Fish",,,,,,,,,,"Nairobi","Kenya","00502",,"Dagoretti Road","Opposite The Hub Karen. Approx 200m from Karen Roundabout.","Café",,"Africa/Nairobi","1070","450",,,"1070","450","1070","450","1070","450","1070","450","1070","450","1070","450",,,"Cafe","Healthy","International","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,"11","8","20","74","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"44","","Lunch","Brunch","Drinks","Breakfast",,,"Takeout","Outdoor Seating","Buffet","Seating","Free off-street parking","Highchairs Available","Serves Alcohol","Wine and Beer","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Reservations","Playgrounds",,,,,,,"Closed Now","#44 of 1,048 places to eat in Nairobi","Lunch","Brunch","Drinks","Breakfast",,,"KES 741 - KES 3,706","5561344","107","Dagoretti Road Opposite The Hub Karen. Approx 200m from Karen Roundabout., Nairobi 00502 Kenya","Tin Roof Cafe",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d5561344-Reviews-Tin_Roof_Cafe-Nairobi.html","Quiet, quirky day-time cafe perfect for light, healthy lunches with great salads and fresh, exotic smoothies, juices and excellent coffee hand-roasted in Nairobi.","3.940110683441162","-1.319867","restaurant","http://www.facebook.com/TinRoofCafe","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/05/0d/44/65/getlstd-property-photo.jpg","833",,"+254 706 348215","false","false","Restaurants",,"270",,"36.705753","Nairobi","$$ - $$$","4.5"
,,,,,,,,,,,,,,,,,,,"Karen","Kenya","00200",,"Ngong Road","Next To St Christopher's School",,,"Africa/Nairobi","1380","540",,,"1380","540","1380","540","1380","540","1380","540","1380","540","1380","540",,,"International",,,,,,,,"2","1","1","3","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","1","","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Accepts Credit Cards","Playgrounds",,,,,,,,,,,,,,,,"Closes in 15 min","#1 of 29 places to eat in Karen","Breakfast","Lunch","Dinner","Brunch","Drinks",,,"24915583","55","Ngong Road Next To St Christopher's School, Karen, Nairobi 00200 Kenya","Tamarind Brasserie",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d24915583-Reviews-Tamarind_Brasserie-Karen_Nairobi.html","Tamarind Brasserie is located in a beautiful peaceful garden setting on Ngong Road. The Restaurant is open 09.00am through to 11.00pm. Diners have a fine choice of different areas for lunch or dinner. There is the indoor restaurant with adjacent outdoor terrace and garden, for a la carte dining. There are also a variety of functions areas and a vibrant sports bar.","3.9395809173583984","-1.317587","restaurant","http://www.tamarind.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/25/67/d0/87/tamarind-brasseerie-i.jpg","22",,"+254 719 346349","false","false","Restaurants",,"62","reservations.tamarindbrasserie@tamarind.co.ke","36.715027","Karen, Nairobi",,"4.5"
