"hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","isClosed","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","establishmentTypes/0","numberOfReviews","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","email","website","longitude","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","locationString","image","type","rankingDenominator","localAddress","phone","isLongClosed","priceLevel","rating","subcategories/0","ownersTopReasons","rankingPosition","localName","dishes/0","dishes/1","openNowText","rankingString","id","priceRange","photoCount","address","name","menuWebUrl","webUrl","description","rawRanking","latitude"
,,,,,,,,,,,,,,,,,"1015946","Nakuru","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"2","1","0","1","1","false","restaurant","Chinese",,,,,,"Nakuru","Kenya","20100",,"Kenyatta Avenue",,"Restaurants","5",,,,,,,,,,,,,,,,,,,"36.0693",,,,,,,"Nakuru, Rift Valley Province",,"RESTAURANT","33",,,"false",,"2.5","Sit down",,"33","",,,,"#33 of 45 places to eat in Nakuru","7744780",,"0","Kenyatta Avenue, Nakuru 20100 Kenya","Ming Yue",,"https://www.tripadvisor.com/Restaurant_Review-g1015946-d7744780-Reviews-Ming_Yue-Nakuru_Rift_Valley_Province.html",,"2.7006869316101074","-0.28497"
,,,,,,,,,,,,,,,,,"1015946","Nakuru","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"1","0","3","2","1","false","restaurant",,,,,,,"Nakuru","Kenya","20100",,"9/34 Kenyatta Ave","","Restaurants","7","Reservations",,,,,,,,,,,,,,,,,"http://merica.co.ke/diningbars/","36.07113",,,,,,,"Nakuru, Rift Valley Province",,"RESTAURANT","33",,"+254 796 222248","false",,"3.5","Sit down",,"25","",,,,"#25 of 45 places to eat in Nakuru","2416705",,"0","9/34 Kenyatta Ave, Nakuru 20100 Kenya","Merica Hotel Restaurant and Bar",,"https://www.tripadvisor.com/Restaurant_Review-g1015946-d2416705-Reviews-Merica_Hotel_Restaurant_and_Bar-Nakuru_Rift_Valley_Province.html",,"3.02561616897583","-0.28463"
,,,,,,,,,,,,,,,,,"1015946","Nakuru","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","0","3","false","restaurant","Indian",,,,,,"Nakuru","Kenya","20100",,"The Alps Hotel Nakuru",,"Restaurants","3",,,,,,,,,,,,,,,,,"info@thealpshotelnakuru.com","http://www.thealpshotelnakuru.com","36.0772",,,,,,,"Nakuru, Rift Valley Province","https://media-cdn.tripadvisor.com/media/photo-o/12/5a/56/ee/indian-curries.jpg","RESTAURANT","33",,"+254 716 411119","false","$$ - $$$","5","Sit down",,"15","",,,,"#15 of 45 places to eat in Nakuru","13814887","KES 96,353 - KES 177,883","13","The Alps Hotel Nakuru, Nakuru 20100 Kenya","Masala Kraft Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g1015946-d13814887-Reviews-Masala_Kraft_Restaurant-Nakuru_Rift_Valley_Province.html","Masala Kraft Restaurant is Nakuru most recognizable Indian Fine dining restaurant and a place for guests looking for the finest service. With a restaurant capacity of up to 50-60 pax and a garden that can seat up to 100 pax, Masala Kraft is the place of choice for dinner, wedding birthdays or any other event be it social or business. We are away from the hustle and noise in the CBD. We seat on the","3.0687389373779297","-0.269443"
,,,,,,,,,,,,,,,,,"1015946","Nakuru","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","0","2","false","restaurant","International",,,,,,"Nakuru","Kenya",,,,,"Restaurants","2",,,,,,,,,,,,,,,,,,"http://www.missioninaction.com.au/","36.080025",,,,,,,"Nakuru, Rift Valley Province",,"RESTAURANT","33",,,"false",,"5","Sit down",,"23","",,,,"#23 of 45 places to eat in Nakuru","3323001",,"0","Nakuru Kenya","Mission in Action Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g1015946-d3323001-Reviews-Mission_in_Action_Restaurant-Nakuru_Rift_Valley_Province.html",,"3.032078742980957","-0.303099"
,,,,,,,,,,,,,,,,,"1015946","Nakuru","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","2","0","false","restaurant","Indian",,,,,,"Nakuru","Kenya","20100",,"Government Rd",,"Restaurants","2",,,,,,,,,,,,,,,,,,"https://www.facebook.com/Fusion-BBQ-146190479240776/","36.06626",,,,,,,"Nakuru, Rift Valley Province","https://media-cdn.tripadvisor.com/media/photo-o/16/9b/72/56/amazing-food-and-affordable.jpg","RESTAURANT","33",,"+254 728 629888","false",,"4",,,"26","",,,,"#26 of 45 places to eat in Nakuru","13418395",,"1","Government Rd, Nakuru 20100 Kenya","Fusion BBQ",,"https://www.tripadvisor.com/Restaurant_Review-g1015946-d13418395-Reviews-Fusion_BBQ-Nakuru_Rift_Valley_Province.html",,"3.0252199172973633","-0.28742"
,,,,,,,,,,,,,,,,,"303975","Lake Nakuru National Park","National Park",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","1","1","false","restaurant","African","European",,,,,,"Kenya",,,"Baruti East",,"Restaurants","2",,,,,,,,,,,,,,,,,,"http://www.lakenakurulodge.com/","36.11108",,,,,,,"Lake Nakuru National Park, Rift Valley Province",,"RESTAURANT","1",,,"false",,"4.5",,,"1","",,,,"#1 of 1 places to eat in Lake Nakuru National Park","8858501",,"0","Baruti East, Lake Nakuru National Park Kenya","Mutarakwa Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g303975-d8858501-Reviews-Mutarakwa_Restaurant-Lake_Nakuru_National_Park_Rift_Valley_Province.html",,"3.0277721881866455","-0.348498"
,"Africa/Nairobi",,,"1320","360","1320","360","1320","360","1320","360","1320","360","1320","360",,"1015946","Nakuru","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch",,,"0","0","1","0","1","false","restaurant","African",,,,,,"Nakuru","Kenya","20100",,"Next to Nakumatt, Westside Mall","Opp Bank of Baroda","Restaurants","2","Delivery","Takeout","Seating","Parking Available","Street Parking","Television","Wheelchair Accessible","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service",,,,,,"gichuhigithieya@gmail.com",,"36.064095","Breakfast","Lunch","Dinner","Brunch",,,"Nakuru, Rift Valley Province","https://media-cdn.tripadvisor.com/media/photo-o/17/fc/00/07/wet-fried-fish-veggies.jpg","RESTAURANT","33",,"+254 701 675897","false","$$ - $$$","4","Sit down",,"24","",,,"Closed Now","#24 of 45 places to eat in Nakuru","17398359","KES 148 - KES 5,929","16","Next to Nakumatt, Westside Mall Opp Bank of Baroda, Nakuru 20100 Kenya","IPIZ Restaurant- African cuisine",,"https://www.tripadvisor.com/Restaurant_Review-g1015946-d17398359-Reviews-IPIZ_Restaurant_African_cuisine-Nakuru_Rift_Valley_Province.html",,"3.026258945465088","-0.286365"
,,,,,,,,,,,,,,,,,"1015946","Nakuru","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"1","0","1","0","1","false","restaurant","Cafe","Fast Food","Fusion",,,,"Nakuru","Kenya","20100",,"Kenyatta Avenue","Westside Mall","Restaurants","3",,,,,,,,,,,,,,,,,,"http://www.kfk.co.ke/","36.0693",,,,,,,"Nakuru, Rift Valley Province",,"RESTAURANT","33",,"+254 715 900273","false",,"3","Sit down",,"29","",,,,"#29 of 45 places to eat in Nakuru","19414739",,"0","Kenyatta Avenue Westside Mall, Nakuru 20100 Kenya","KFC",,"https://www.tripadvisor.com/Restaurant_Review-g1015946-d19414739-Reviews-KFC-Nakuru_Rift_Valley_Province.html",,"3.000293731689453","-0.28497"
,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,"1015946","Nakuru","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","0","0","0","1","1","false","restaurant","Italian","American","African","International","British",,"Nakuru","Kenya","20100",,"Government Road","Opposite Vicmark Trading Centre","Restaurants","2","Takeout","Reservations","Outdoor Seating","Parking Available","Free off-street parking","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards",,,"cmloungenakuru@gmail.com","https://www.facebook.com/CultureMamboLounge/","36.065617","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Nakuru, Rift Valley Province","https://media-cdn.tripadvisor.com/media/photo-w/1a/65/c2/86/yummy.jpg","RESTAURANT","33",,"+254 793 748012","false","$$$$","4.5","Sit down",,"20","",,,"Open Now","#20 of 45 places to eat in Nakuru","17430711","KES 741 - KES 74,118","26","Government Road Opposite Vicmark Trading Centre, Nakuru 20100 Kenya","Culture Mambo Lounge","http://culturemambo.com","https://www.tripadvisor.com/Restaurant_Review-g1015946-d17430711-Reviews-Culture_Mambo_Lounge-Nakuru_Rift_Valley_Province.html","A classy lounge ( Exquisite dining, outdoor space, fedora bar , vip lounge, and sports bar) incorporating nature and art in your dining and clubbing experience. Welcome.","3.039166212081909","-0.287667"
,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,"1015946","Nakuru","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"0","0","3","2","1","false","restaurant","French","American","Indian","African","International",,"Nakuru","Kenya","20100",,"Hill Climb Road","opp Sarova Woodlands, off Nakuru - Nairobi Highway","Restaurants","6",,,,,,,,,,,,,,,,,"nakuru@jikonis.co.ke","http://jikonis.co.ke/about/","36.088196","Breakfast","Lunch","Dinner",,,,"Nakuru, Rift Valley Province",,"RESTAURANT","33",,"+254 797 581200","false","$$ - $$$","3.5","Sit down",,"16","",,,"Open Now","#16 of 45 places to eat in Nakuru","14023174","KES 74,118 - KES 741,180","0","Hill Climb Road opp Sarova Woodlands, off Nakuru - Nairobi Highway, Nakuru 20100 Kenya","Jikoni's Nakuru",,"https://www.tripadvisor.com/Restaurant_Review-g1015946-d14023174-Reviews-Jikoni_s_Nakuru-Nakuru_Rift_Valley_Province.html","Jikoni's is a Kenyan Bar & Restaurant tucked away in the Noble Ridgeways neighbourhood. Most people tend to calls us ""The Most Lit Spot in Nairobi"". We believe that our food & nightlife are a reflection of our terroir, and our terroir is made up of the local environment where our food products come from, and most importantly the different peoples and cultures that make up our city and kitchen.","3.0463316440582275","-0.280839"
