"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","numberOfReviews","name","website","id","longitude","latitude","description","priceRange","webUrl","rating","rankingPosition","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","rawRanking","establishmentTypes/0","establishmentTypes/1"
"Steakhouse","Pizza","Cafe","Seafood","International",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pasta","Pesto",,,,,,,,,,,,,,,,"28","Crave","http://crave-mombasa.business.site","23517332","39.7208","-4.019545","More than a Cafe in the Heart of Mombasa. Over seeing the famous Nature Trail Forest our space is designed for the perfect luxury for you to enjoy. Our Menu and Daily specials will leave you satisfied. Our recent addition of Seafood to choose from Lobsters, Prawns, Fish etc. The Wide Dessert section are sweet to make you come back for more. We have also opened our second branch not far from Fort Jesus. Crave is the Place one lists on the bucket list when visiting Mombasa.",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d23517332-Reviews-Crave-Mombasa_Coast_Province.html","4.5","23",,"Africa/Nairobi","1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"1320","480",,,"3.402867555618286","Restaurants",
"Healthy","Vegetarian Friendly",,,,,,"Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Free Wifi","Accepts Credit Cards","Table Service","Takeout","Outdoor Seating",,,,,,,,,,,,,,,,,,"Sandwiches","Burger","Salad","Fish",,,,,,,,,,,,,,"141","Java House Nyali","https://www.javahouseafrica.com/","4497244","39.719685","-4.022238",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d4497244-Reviews-Java_House_Nyali-Mombasa_Coast_Province.html","4","27",,"Africa/Nairobi","1320","480",,,"1320","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1380","420",,,"1380","480",,,"3.340752601623535","Restaurants",
"African","Cafe","Asian","Diner","Arabic","Vegetarian Friendly",,"Reservations","Table Service","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21","Qaffee Point","http://www.qaffeepoint.com","16739335","39.6703","-4.066253","best food in qaffee point restaurant, It's a weekend vibe at Qaffee POINT. Drop by and experience some quality food time.",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d16739335-Reviews-Qaffee_Point-Mombasa_Coast_Province.html","4.5","28",,"Africa/Nairobi","1380","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"1380","420",,,"3.3312301635742188","Restaurants",
"Indian","Fast Food","Asian","Vegetarian Friendly","Vegan Options",,,"Delivery","Takeout","Reservations","Seating","Parking Available","Free off-street parking","Accepts Visa","Highchairs Available","Serves Alcohol","Accepts Credit Cards",,,,,,,,,,,,,,,,,"Juice & Smoothies",,,,,,,,,,,,,,,,,"67","Bollywood Bites","http://nyalicinemax.com/bollywood-bites-at-nyali-cinemax/","2168176","39.685696","-4.048529","Bollywood Bites is Mombasa's premier authentic Indian vegetarian restaurant located at Nyali Cinemax. Our menu remains true to Indian roots combining the best of Southern and Northern India. Our specialties include our Dosas, Punjabi Curries, Chaat and fresh juices. We aim to provide the most authentic Indian cuisine with the promise of fresh ingredients and sauces combined with original Indian spices.",,"https://www.tripadvisor.com/Restaurant_Review-g294210-d2168176-Reviews-Bollywood_Bites-Mombasa_Coast_Province.html","4","19",,"Africa/Nairobi","1140","720",,,,,,,"1140","720",,,"1140","720",,,"1140","720",,,"1140","720",,,"1140","720",,,"3.4754552841186523","Restaurants",
"Seafood",,,,,,,"Reservations","Outdoor Seating","Seating","Serves Alcohol",,,,,,,,,,,,,,,,,,,,,,,"Crab","Lobster","Prawns","Fish",,,,,,,,,,,,,,"43","Lido Sea Food Grill","http://www.sarovahotels.com","3369602","39.734554","-3.994",,"KES 4,447 - KES 7,412","https://www.tripadvisor.com/Restaurant_Review-g294210-d3369602-Reviews-Lido_Sea_Food_Grill-Mombasa_Coast_Province.html","4.5","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.3429479598999023","Restaurants",
"Indian","Vegetarian Friendly","Halal",,,,,"Delivery","Takeout","Reservations","Seating","Serves Alcohol","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,"Fish",,,,,,,,,,,,,,,,,"60","Rozina Nyali","http://www.rozinarestaurant.com","3574067","39.684498","-4.046931","Enjoy our fresh seafood specials and Indian cuisine in a peaceful environment... we make what our customers want whether its Indian, Italian, Chinese, or International. We make sure our quality, service and portions are the best in town. We have seating space of upto 100 people, and do outside catering as well as buffets.","KES 741 - KES 7,412","https://www.tripadvisor.com/Restaurant_Review-g294210-d3574067-Reviews-Rozina_Nyali-Mombasa_Coast_Province.html","4","20",,"Africa/Nairobi","1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"1380","720",,,"3.4392919540405273","Restaurants",
"Steakhouse","Seafood","Barbecue","Eastern European","Halal","Vegetarian Friendly",,"Delivery","Takeout","Outdoor Seating","Buffet","Seating","Parking Available","Highchairs Available","Accepts Mastercard","Accepts Visa","Digital Payments","Table Service","Reservations","Wheelchair Accessible",,,,,,,,,,,,,,"Prawns","Fish",,,,,,,,,,,,,,,,"57","Splendid View Restaurant Bamburi","http://web.facebook.com/splendidviewbamburi","6103996","39.721817","-4.017962","A staple house hold name in the Indian BBQ grilling tradition offering our signature grilled meat and seafood varieties along with local favorites. We are a multi cuisine and curate our menu with our age old recipes to the liking of everyone taste and standards of today We offer In house and outside catering providing facilities for Functions and banqueting with our hall and outdoor garden spaces available as per request","KES 148 - KES 2,224","https://www.tripadvisor.com/Restaurant_Review-g294210-d6103996-Reviews-Splendid_View_Restaurant_Bamburi-Mombasa_Coast_Province.html","4.5","17",,"Africa/Nairobi","990","660","1350","1140",,,,,"930","660","1350","1140","930","660","1350","1140","930","660","1350","1140","930","660","1350","1140","960","660","1350","1140","3.5099968910217285","Restaurants",
"Seafood","Barbecue","Grill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20","Zains Barbeque House","https://www.facebook.com/zainsbarbequehouse/","20145190","39.70865","-4.034924",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d20145190-Reviews-Zains_Barbeque_House-Mombasa_Coast_Province.html","5","25",,"Africa/Nairobi","1320","810",,,,,,,"1320","810",,,"1320","810",,,"1320","810",,,"1320","810",,,"1320","810",,,"3.3601126670837402","Restaurants",
"Japanese","Seafood","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options","Takeout","Reservations","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar",,,,,,,,,,,,,,,,,,,,"Lobster","Tempura","Salad","Salmon","Tuna","Prawns","Beef","Sashimi","Fish",,,,,,,,,"145","Misono","http://www.facebook.com/pages/Misono-restaurant/168448403191790","1786443","39.720295","-4.022317",,,"https://www.tripadvisor.com/Restaurant_Review-g294210-d1786443-Reviews-Misono-Mombasa_Coast_Province.html","4","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.4344053268432617","Restaurants",
"American","Fast Food","Pub","Vegan Options",,,,"Takeout","Seating","Wheelchair Accessible","Delivery",,,,,,,,,,,,,,,,,,,,,,,"Burger",,,,,,,,,,,,,,,,,"37","10 Street","http://www.10street.com","12938489","39.721077","-4.021218","10 Street - Ten Meals One Way >> 10 Street is Mombasa's newest fast food restaurant in the heart of Nyali. Mouth watering food fast!","KES 57,812 - KES 146,754","https://www.tripadvisor.com/Restaurant_Review-g294210-d12938489-Reviews-10_Street-Mombasa_Coast_Province.html","4","30",,"Africa/Nairobi","1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"3.292900323867798","Restaurants",
