cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7,cuisines/8,cuisines/9,cuisines/10,cuisines/11,cuisines/12,cuisines/13,cuisines/14,dishes/0,dishes/1,dishes/2,dishes/3,dishes/4,dishes/5,dishes/6,dishes/7,dishes/8,dishes/9,dishes/10,dishes/11,dishes/12,dishes/13,dishes/14,dishes/15,dishes/16,dishes/17,dishes/18,dishes/19,dishes/20,dishes/21,dishes/22,features/0,features/1,features/2,features/3,features/4,features/5,features/6,features/7,features/8,features/9,features/10,features/11,features/12,features/13,features/14,features/15,features/16,features/17,features/18,features/19,features/20,features/21,features/22,features/23,features/24,features/25,features/26,features/27,features/28,features/29,ownersTopReasons,ownersTopReasons/sectionHeader,ownersTopReasons/sponsoredBy,ownersTopReasons/topReasons/0/header,ownersTopReasons/topReasons/0/image_url,ownersTopReasons/topReasons/0/isSearchTerm,ownersTopReasons/topReasons/0/keyword,ownersTopReasons/topReasons/0/linkText,ownersTopReasons/topReasons/0/rank,ownersTopReasons/topReasons/0/review,ownersTopReasons/topReasons/0/review/rating,ownersTopReasons/topReasons/0/review/reviewId,ownersTopReasons/topReasons/0/review/screenName,ownersTopReasons/topReasons/0/text,ownersTopReasons/topReasons/1/header,ownersTopReasons/topReasons/1/image_url,ownersTopReasons/topReasons/1/isSearchTerm,ownersTopReasons/topReasons/1/keyword,ownersTopReasons/topReasons/1/linkText,ownersTopReasons/topReasons/1/rank,ownersTopReasons/topReasons/1/review,ownersTopReasons/topReasons/1/review/rating,ownersTopReasons/topReasons/1/review/reviewId,ownersTopReasons/topReasons/1/review/screenName,ownersTopReasons/topReasons/1/text,ownersTopReasons/topReasons/2/header,ownersTopReasons/topReasons/2/image_url,ownersTopReasons/topReasons/2/isSearchTerm,ownersTopReasons/topReasons/2/keyword,ownersTopReasons/topReasons/2/linkText,ownersTopReasons/topReasons/2/rank,ownersTopReasons/topReasons/2/review,ownersTopReasons/topReasons/2/review/rating,ownersTopReasons/topReasons/2/review/reviewId,ownersTopReasons/topReasons/2/review/screenName,ownersTopReasons/topReasons/2/text,hours,hours/timezone,hours/weekRanges/0/0/close,hours/weekRanges/0/0/open,hours/weekRanges/0/1/close,hours/weekRanges/0/1/open,hours/weekRanges/0/2/close,hours/weekRanges/0/2/open,hours/weekRanges/1/0/close,hours/weekRanges/1/0/open,hours/weekRanges/1/1/close,hours/weekRanges/1/1/open,hours/weekRanges/1/2/close,hours/weekRanges/1/2/open,hours/weekRanges/2/0/close,hours/weekRanges/2/0/open,hours/weekRanges/2/1/close,hours/weekRanges/2/1/open,hours/weekRanges/2/2/close,hours/weekRanges/2/2/open,hours/weekRanges/3/0/close,hours/weekRanges/3/0/open,hours/weekRanges/3/1/close,hours/weekRanges/3/1/open,hours/weekRanges/3/2/close,hours/weekRanges/3/2/open,hours/weekRanges/4/0/close,hours/weekRanges/4/0/open,hours/weekRanges/4/1/close,hours/weekRanges/4/1/open,hours/weekRanges/4/2/close,hours/weekRanges/4/2/open,hours/weekRanges/5/0/close,hours/weekRanges/5/0/open,hours/weekRanges/5/1/close,hours/weekRanges/5/1/open,hours/weekRanges/5/2/close,hours/weekRanges/5/2/open,hours/weekRanges/6/0/close,hours/weekRanges/6/0/open,hours/weekRanges/6/1/close,hours/weekRanges/6/1/open,hours/weekRanges/6/2/close,hours/weekRanges/6/2/open,mealTypes/0,mealTypes/1,mealTypes/2,mealTypes/3,mealTypes/4,mealTypes/5,longitude,category,ancestorLocations/0/abbreviation,ancestorLocations/0/id,ancestorLocations/0/name,ancestorLocations/0/subcategory,ancestorLocations/1/abbreviation,ancestorLocations/1/id,ancestorLocations/1/name,ancestorLocations/1/subcategory,ancestorLocations/2/abbreviation,ancestorLocations/2/id,ancestorLocations/2/name,ancestorLocations/2/subcategory,rankingDenominator,addressObj/city,addressObj/country,addressObj/postalcode,addressObj/state,addressObj/street1,addressObj/street2,establishmentTypes/0,establishmentTypes/1,neighborhoodLocations/0/id,neighborhoodLocations/0/name,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,latitude,dietaryRestrictions/0,dietaryRestrictions/1,dietaryRestrictions/2,dietaryRestrictions/3,dietaryRestrictions/4,dietaryRestrictions/5,address,photoCount,rankingString,phone,localName,rawRanking,rankingPosition,openNowText,name,website,subcategories/0,description,priceRange,type,webUrl,email,rating,localAddress,image,menuWebUrl,numberOfReviews,isClosed,isLongClosed,locationString,id,priceLevel
Asian,Chinese,Japanese,Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Television,Highchairs Available,Serves Alcohol,Full Bar,Wine and Beer,Accepts American Express,Accepts Mastercard,Accepts Visa,Digital Payments,Accepts Credit Cards,Non-smoking restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1440,1020,,,,,1560,1020,,,,,1560,1020,,,,,1560,1020,,,,,1440,1020,,,,,1440,1020,,,,,1440,1020,,,,,Dinner,Late Night,Drinks,,,,36.80198,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Karuna Road,Behind Sarit Centre,Restaurants,,,,0,0,1,6,55,-1.26116,Dinner,Late Night,Drinks,,,,"Karuna Road Behind Sarit Centre, Nairobi Kenya",34,"#27 of 1,048 places to eat in Nairobi",+254 746 444444,,4.387548447,27,Open Now,Asiatic,https://www.theasiatic.com/,,An exquisite Rooftop bar and Lounge located at the Best Western Plus Westlands Hotel Nairobi,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d24091722-Reviews-Asiatic-Nairobi.html,reservations@theasiatic.com,5,,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/3d/4a/a4/asiatic.jpg,,62,FALSE,FALSE,Nairobi,24091722,
International,European,Vegetarian Friendly,Vegan Options,Gluten Free Options,,,,,,,,,,,Juice & Smoothies,Burger,Salad,Prawns,Lamb,Pork,,,,,,,,,,,,,,,,,,Reservations,Outdoor Seating,Seating,Parking Available,Validated Parking,Wheelchair Accessible,Serves Alcohol,Full Bar,Table Service,Highchairs Available,Free Wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Lunch,Dinner,Brunch,Late Night,,36.810555,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,100,,Kenyatta Avenue,,Restaurants,,20484494,Upper Hill Estate,3,10,19,44,96,-1.28982,Breakfast,Lunch,Dinner,Brunch,Late Night,,"Kenyatta Avenue, Nairobi 00100 Kenya",96,"#51 of 1,048 places to eat in Nairobi",+254 709 111000,,3.86387825,51,,Flame Tree Restaurant,http://www.sarovahotels.com/panafric/dining,Sit down,,"KES 1,334 - KES 5,188",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d3264614-Reviews-Flame_Tree_Restaurant-Nairobi.html,panafric@sarovahotels.com,4.5,,https://media-cdn.tripadvisor.com/media/photo-o/08/21/c8/ea/the-drive-up.jpg,,172,FALSE,FALSE,Nairobi,3264614,$$ - $$$
European,Vegetarian Friendly,Vegan Options,Gluten Free Options,,,,,,,,,,,,Ice Cream,Burger,Salad,Lamb,Cakes,,,,,,,,,,,,,,,,,,,Reservations,Seating,Wheelchair Accessible,Serves Alcohol,Table Service,Delivery,Outdoor Seating,Full Bar,Free Wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breakfast,Lunch,Dinner,Brunch,Late Night,,36.82198,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,"New Stanley Hotel, Kimathi St, city centre","Nairobi Central, Sarova Stanley",Restaurants,,20484493,Nairobi Central Business District,6,12,30,87,84,-1.28289,Breakfast,Lunch,Dinner,Brunch,Late Night,,"New Stanley Hotel, Kimathi St, city centre Nairobi Central, Sarova Stanley, Nairobi Kenya",84,"#70 of 1,048 places to eat in Nairobi",+254 23 33283,,3.621720076,70,,Thorn Tree Cafe,http://www.sarovahotels.com/stanley/dining_thorn_tree_cafe.aspx,Sit down,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d1214174-Reviews-Thorn_Tree_Cafe-Nairobi.html,thestanley@sarovahotels.com,4,,https://media-cdn.tripadvisor.com/media/photo-s/02/ef/cd/c6/thorn-tree-cafe.jpg,,219,FALSE,FALSE,Nairobi,1214174,$$ - $$$
American,Vegan Options,,,,,,,,,,,,,,Burger,Wings,,,,,,,,,,,,,,,,,,,,,,Table Service,Takeout,Seating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1350,600,,,,,1290,600,,,,,1290,600,,,,,1350,600,,,,,1350,600,,,,,1350,600,,,,,1350,600,,,,,Lunch,Dinner,,,,,36.782238,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,,,Argwings Kodhek Road,Nairobi Same Plot As Auto Correct Garage,Restaurants,,,,2,2,7,21,178,-1.292081,Lunch,Dinner,,,,,"Argwings Kodhek Road Nairobi Same Plot As Auto Correct Garage, Nairobi Kenya",60,"#13 of 1,048 places to eat in Nairobi",+254 705 155155,,4.776749611,13,Closed Now,Mama Rocks Gourmet Burgers - Kilimani,http://www.mamarocksburgers.com,,"GOURMET BURGERS AFRICAN STYLE Bringing the African inspired ‘Gourmet Burger’ to the vibrant city of Nairobi, Mama Rocks is pioneering the Nairobi street food scene with an afro-cool food truck like no other. Created with love and the freshest, natural ingredients, every care has been taken to produce our range of exciting and unique burgers. Mama Rocks is brought to you by us, Samantha and Natalie, sisters who just want you to have great food and have fun! On a regular day you will can find us at our Kilimani location; be sure to try the Pizza when you do. The Mama Rocks food truck will also be COMING TO YOU – at the heart of the events scene. Follow us on Facebook or Instagram social media to keep updated about our location. And if you’re not there, MAMA DELIVERS through our partners Hello Food (Mama Rocks), Jumia and Uber eats. MAMA also caters,so for a fun alternative catering solution that your guests will surely remember, choose Mama Rocks to cater for your event.",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d15319586-Reviews-Mama_Rocks_Gourmet_Burgers_Kilimani-Nairobi.html,info@mamarocksburgers.com,5,,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/59/b6/5f/saucy-sassy-spicy-burger.jpg,https://mamarocksburgers.com/menu/,210,FALSE,FALSE,Nairobi,15319586,$$ - $$$
Mexican,American,Caribbean,African,Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delivery,Takeout,Reservations,Outdoor Seating,Parking Available,Accepts Credit Cards,Non-smoking restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1320,360,,,,,1320,360,,,,,1320,360,,,,,1320,360,,,,,1380,360,,,,,1380,360,,,,,1380,360,,,,,Breakfast,Lunch,Dinner,,,,36.78589,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Wood Avenue & Agwings Kodhek Junction,,Restaurants,,,,2,0,2,12,205,-1.292244,Breakfast,Lunch,Dinner,,,,"Wood Avenue & Agwings Kodhek Junction, Nairobi Kenya",57,"#6 of 1,048 places to eat in Nairobi",+254 712 000033,,4.826620102,6,Closed Now,CJs Kilimani,http://www.cjs.co.ke,,"CJ’s, a fully fledged restaurant specializing in delivering a relaxed and memorable dining experience. We’re currently in 12 locations; 4 in Nairobi, 8 in Kampala and 1 in Entebbe. Each location features a unique ambience with tasteful decor, specially designed for your comfort. To make you feel more at home, we’ve carefully selected a unique theme for each location.",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d23817648-Reviews-CJs_Kilimani-Nairobi.html,cjs.kilimani@cjs.co.ke,5,,https://media-cdn.tripadvisor.com/media/photo-o/27/2a/b6/cd/kilimani-location-features.jpg,https://cjs.co.ke/menu,221,FALSE,FALSE,Nairobi,23817648,
Asian,Thai,Vegetarian Friendly,Vegan Options,Gluten Free Options,,,,,,,,,,,Noodle,Pad Thai,Salad,Chili,Curry,Green Curry,Prawns,Beef,Duck,Lamb,Fish,Pork,,,,,,,,,,,,Reservations,Seating,Parking Available,Valet Parking,Serves Alcohol,Full Bar,Free Wifi,Accepts Credit Cards,Table Service,Wheelchair Accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,870,720,1350,1140,,,870,720,1350,1140,,,870,720,1350,1140,,,870,720,1350,1140,,,870,720,1350,1140,,,870,720,1350,1140,,,870,720,1350,1140,,,Lunch,Dinner,Late Night,,,,36.82303,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Kenyatta Avenue & Kimathi Street,,Restaurants,,20484493,Nairobi Central Business District,16,10,34,85,202,-1.284044,Lunch,Dinner,Late Night,,,,"Kenyatta Avenue & Kimathi Street, Nairobi Kenya",45,"#50 of 1,048 places to eat in Nairobi",+254 20 2757000,,3.864091873,50,Closes in 4 min,Thai Chi Restaurant - The Stanley Hotel,http://www.sarovahotels.com/stanley-nairobi/culinary-experiences/thai-chi.html,Sit down,"A small piece of Thailand in Nairobi, Thai Chi has been awarded as the most authentic Thai restaurant in East Africa. With its traditional Thai decor and delectable Thai specialties prepared by experienced chefs from Thailand, Thai Chi is one of Nairobi's most elegant dining establishments.","KES 5,929 - KES 7,412",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d1104866-Reviews-Thai_Chi_Restaurant_The_Stanley_Hotel-Nairobi.html,sarovastanley@sarovahotels.com,4.5,,https://media-cdn.tripadvisor.com/media/photo-m/1280/14/0f/22/64/thai-chi-restaurant.jpg,https://cdn.sarovahotels.com/stanley-nairobi/images/THAI-CHI-SET-MENU.pdf,347,FALSE,FALSE,Nairobi,1104866,$$$$
Indian,Asian,Vegetarian Friendly,Vegan Options,Halal,Gluten Free Options,,,,,,,,,,Wings,Chili,Curry,Prawns,Lamb,Fish,,,,,,,,,,,,,,,,,,Delivery,Takeout,Reservations,Seating,Parking Available,Highchairs Available,Wheelchair Accessible,Serves Alcohol,Full Bar,Accepts Credit Cards,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1320,720,,,,,1320,720,,,,,1320,720,,,,,1320,720,,,,,1320,720,,,,,1320,720,,,,,1320,720,,,,,Lunch,Dinner,Late Night,,,,36.80265,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,800,,"Parc d'Elx, Platja de Ponent",Gallant Mall on Parklands road,Restaurants,,,,7,10,45,243,340,-1.263731,Lunch,Dinner,Late Night,,,,"Parc d'Elx, Platja de Ponent Gallant Mall on Parklands road, Nairobi 00800 Kenya",70,"#31 of 1,048 places to eat in Nairobi",+254 727 726345,,4.292669296,31,Closed Now,Open House Restaurant,http://www.openhouserestaurant.co.ke,Sit down,"At Open House Restaurants, we believe that Fine Indian Cuisine comes from a delicate balance of succulent food, authentic ambiance and personalised service. So when you walk into our doors, be ready to experience a connucopia of indian flavours, whilst being transported into our traditionally set surroundings. Feel free to enquire about your taste preference or take suggestion from our experienced staff. Enjoy!","KES 741 - KES 2,224",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d1898496-Reviews-Open_House_Restaurant-Nairobi.html,openhouse.restaurant@gmail.com,4.5,,https://media-cdn.tripadvisor.com/media/photo-s/03/5e/06/78/mezzanine.jpg,http://www.openhouserestaurant.co.ke/menus.html,645,FALSE,FALSE,Nairobi,1898496,$$ - $$$
Steakhouse,Brazilian,Barbecue,Gluten Free Options,,,,,,,,,,,,Ribs,Shrimp,Salad,Prawns,Beef,Lamb,Fish,Pork,,,,,,,,,,,,,,,,Takeout,Buffet,Seating,Parking Available,Street Parking,Free off-street parking,Television,Serves Alcohol,Accepts Mastercard,Accepts Visa,Free Wifi,Reservations,Validated Parking,Highchairs Available,Wheelchair Accessible,Full Bar,Accepts Credit Cards,Outdoor Seating,Live Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1350,720,,,,,990,720,1350,1020,,,1005,720,1350,1020,,,1005,720,1350,1020,,,1005,720,1350,1020,,,1380,720,,,,,1350,720,,,,,Lunch,Dinner,Late Night,Drinks,,,36.801003,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,100,,Waiyaki Way,"Viking Hse, Westlands",Restaurants,,,,13,14,104,449,752,-1.264153,Lunch,Dinner,Late Night,Drinks,,,"Waiyaki Way Viking Hse, Westlands, Nairobi 00100 Kenya",285,"#19 of 1,048 places to eat in Nairobi",+254 712 123456,,4.581512451,19,Closes in 4 min,Fogo Gaucho,http://www.fogogaucho.co.ke,Sit down,"Fogo Gaucho is an authentic Brazilian Steakhouse that offers the most delectable selection of charcoal grilled meats (17 different cuts) that go along with a full buffet (over 20 salads) to choose from all for a set price per person, all you can eat (Rodizio). Our ambience is sure to give you the feeling that you are sitting in a Churrascaria (Steakhouse) right in the heart of Brazil as you enjoy a delicious meal for whatever occasion you are celebrating be it a birthday, anniversary, graduation, retirement, office party or just a special meal with your family and friends. Welcome to Fogo Gaucho Churrascaria.","KES 29,647 - KES 37,059",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d1114238-Reviews-Fogo_Gaucho-Nairobi.html,westlands@fogogaucho.co.ke,4.5,,https://media-cdn.tripadvisor.com/media/photo-o/0a/f2/32/ad/all-you-can-eat.jpg,https://www.fogogaucho.co.ke/index,1332,FALSE,FALSE,Nairobi,1114238,$$ - $$$
Steakhouse,International,Grill,Mediterranean,Vegetarian Friendly,,,,,,,,,,,Crab,Scallops,Beef,Duck,Lamb,,,,,,,,,,,,,,,,,,,Reservations,Seating,Free off-street parking,Wheelchair Accessible,Serves Alcohol,Accepts American Express,Accepts Mastercard,Accepts Visa,Digital Payments,Free Wifi,Private Dining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,,,,,,,900,720,1380,1110,,,900,720,1380,1110,,,900,720,1380,1110,,,900,720,1380,1110,,,900,720,1380,1110,,,1380,1110,,,,,Lunch,Dinner,,,,,36.81675,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,100,,Elgon Road,Upper Hill,Restaurants,,,,3,5,10,21,128,-1.302338,Lunch,Dinner,,,,,"Elgon Road Upper Hill, Nairobi 00100 Kenya",141,"#24 of 1,048 places to eat in Nairobi",+254 709810000,,4.438986778,24,Open Now,Chophouse Nairobi,http://chophouse.ke/,Sit down,"The Chophouse Restaurant presents an inventive culinary experience that weaves together a fusion of Kenyan, Asian and Mediterranean Haute Cuisine. Our new menu masterfully elevates beloved grilled meat dishes to a level that is unmatched on the Continent, with in-house aging of meats up to 72 days. Each dish is designed with a poetic flair that pays homage to the elegance of Haute Cuisine, drawing from techniques of esteemed chefs from around the world. We are delighted to offer this bold new dining experience right here in Nairobi.","KES 2,965 - KES 14,824",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d11814079-Reviews-Chophouse_Nairobi-Nairobi.html,chophouse@radissonblunairobi.com,4.5,,https://media-cdn.tripadvisor.com/media/photo-o/0e/cc/3e/9b/the-chop-house.jpg,https://qr1.be/MFIN,167,FALSE,FALSE,Nairobi,11814079,$$ - $$$
International,,,,,,,,,,,,,,,Burger,,,,,,,,,,,,,,,,,,,,,,,Wine and Beer,Family style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1320,480,,,,,1320,480,,,,,1320,480,,,,,1320,480,,,,,1320,480,,,,,1320,480,,,,,1320,480,,,,,Breakfast,Lunch,Dinner,Drinks,,,36.795124,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,,,"Lexo Energy Prestige, Ngong Road",,Restaurants,,,,0,0,0,0,105,-1.299698,Breakfast,Lunch,Dinner,Drinks,,,"Lexo Energy Prestige, Ngong Road, Nairobi Kenya",81,"#4 of 1,048 places to eat in Nairobi",+254 114 757601,,4.855213165,4,Closed Now,Jakoni,http://jakoni.co.ke,Sit down,"Come enjoy Jakoni restaurant with your family and friends! We offer breakfast, lunch and dinner and, to start or end your night with, some delicious cocktails! We provide the best chicken meals in town but we also have enough delicious vegetarian options!",KES 148,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d23640331-Reviews-Jakoni-Nairobi.html,,5,,https://media-cdn.tripadvisor.com/media/photo-o/21/60/07/53/balcony.jpg,https://www.jakoni.co.ke/menu,105,FALSE,FALSE,Nairobi,23640331,$
