"ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","menuWebUrl","webUrl","description","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","rawRanking","latitude","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","category","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","website","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","type","image","rankingDenominator","localAddress","phone","isLongClosed","rankingPosition","rankingString","priceRange","photoCount","address","name","isClosed","establishmentTypes/0","establishmentTypes/1","establishmentTypes/2","numberOfReviews","email","longitude","neighborhoodLocations/0/id","neighborhoodLocations/0/name","locationString","priceLevel","subcategories/0","rating","localName","openNowText","id"
"2","1","1","3","55",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d24915583-Reviews-Tamarind_Brasserie-Karen_Nairobi.html","Tamarind Brasserie is located in a beautiful peaceful garden setting on Ngong Road. The Restaurant is open 09.00am through to 11.00pm. Diners have a fine choice of different areas for lunch or dinner. There is the indoor restaurant with adjacent outdoor terrace and garden, for a la carte dining. There are also a variety of functions areas and a vibrant sports bar.",,"Africa/Nairobi","1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"3.9395809173583984","-1.317587","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Accepts Credit Cards","Playgrounds",,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch","Drinks",,"International",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Karen","Kenya","00200",,"Ngong Road","Next To St Christopher's School","http://www.tamarind.co.ke","Breakfast","Lunch","Dinner","Brunch","Drinks",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/25/67/d0/87/tamarind-brasseerie-i.jpg","22",,"+254 719 346349","false","1","#1 of 29 places to eat in Karen",,"55","Ngong Road Next To St Christopher's School, Karen, Nairobi 00200 Kenya","Tamarind Brasserie","false","Restaurants",,,"62","reservations.tamarindbrasserie@tamarind.co.ke","36.715027",,,"Karen, Nairobi",,,"4.5","","Closed Now","24915583"
"0","0","1","2","30",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d23822743-Reviews-Mama_Rocks_Gourmet_Burgers_Karen-Karen_Nairobi.html","GOURMET BURGERS AFRICAN STYLE Bringing the African inspired ‘Gourmet Burger’ to the vibrant city of Nairobi, Mama Rocks is pioneering the Nairobi street food scene with an afro-cool food truck like no other. Created with love and the freshest, natural ingredients, every care has been taken to produce our range of exciting and unique burgers. Mama Rocks is brought to you by us, Samantha and Natalie, sisters who just want you to have great food and have fun! On a regular day you will can find our Food Truck based in House of Treasures, 70 Dagoretti Road/ Africa Reit Lane, Karen. Opposite The Hub Mall. The Mama Rocks food truck will also be COMING TO YOU – at the heart of the events scene. Follow us on Facebook or Instagram social media to keep updated about our location. And if you’re not there, MAMA DELIVERS through our partners Hello Food (Mama Rocks), Jumia and Uber eats. MAMA also caters,so for a fun alternative catering.",,"Africa/Nairobi","1170","720",,,,,,,,,,,"1170","720",,,,,"1170","720",,,,,"1170","720",,,,,"1170","720",,,,,"1170","720",,,,,"3.8014137744903564","-1.312343",,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","Lunch","Dinner",,,,,"American","African",,,,,,,,,,,,,,"Burger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Karen","Kenya",,,"70 Dagoretti Rd","House of Treasures Emporium","https://www.facebook.com/mamarocksburgers","Lunch","Dinner",,,,,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/59/f9/15/wings-of-passion.jpg","22",,"+254 705 155155","false","2","#2 of 29 places to eat in Karen",,"24","70 Dagoretti Rd House of Treasures Emporium, Karen, Nairobi Kenya","Mama Rocks Gourmet Burgers - Karen","false","Restaurants",,,"33","info@mamarocksburgers.com","36.69905",,,"Karen, Nairobi",,,"5","","Closed Now","23822743"
"2","4","16","60","72","http://www.mymisono.com/menu.asp","https://www.tripadvisor.com/Restaurant_Review-g294207-d1099597-Reviews-Misono-Nairobi.html",,,"Africa/Nairobi",,,,,,,"930","750","1410","1110",,,"930","750","1410","1110",,,"930","750","1410","1110",,,"930","750","1410","1110",,,"930","750","1410","1110",,,"930","750","1410","1110",,,"3.78071665763855","-1.300213","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar",,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Late Night",,,,"Japanese","Sushi","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"Tempura","Salmon","Prawns","Fish Soup","Sashimi","Fish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Nairobi","Kenya","",,"Ngong Road","Green House","http://www.mymisono.com","Lunch","Dinner","Late Night",,,,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0e/ad/b4/14/sushi-and-sashimi-boat.jpg","833",,"+254 722 530204","false","57","#57 of 1,048 places to eat in Nairobi","KES 3,706 - KES 5,929","69","Ngong Road Green House, Nairobi Kenya","Misono","false","Restaurants",,,"154",,"36.781944",,,"Nairobi","$$ - $$$","Sit down","4.5","","Open Now","1099597"
"6","12","20","53","97","https://www.hemingways-collection.com/nairobi/dining/brasserie-menu-nairobi/","https://www.tripadvisor.com/Restaurant_Review-g294207-d6622735-Reviews-Hemingway_s_Brasserie_Nairobi-Nairobi.html","With a Hollywood themed décor and serving breakfast, lunch and dinner, the Brasserie offers a wide choice of international dishes with modern European and South Asian flavours.",,"Africa/Nairobi","1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"3.7430965900421143","-1.343006","Reservations","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Table Service","Highchairs Available",,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch",,,"European","International","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"Sandwiches","Salmon","Prawns","Beef","Cakes","Fish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Nairobi","Kenya","00100",,"Mbagathi Ridge",,"http://www.hemingways-collection.com/nairobi/dining","Breakfast","Lunch","Dinner","Brunch",,,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/12/57/4a/86/hemingways-nairobi-brasserie.jpg","833",,"+254 718 529070","false","60","#60 of 1,048 places to eat in Nairobi",,"99","Mbagathi Ridge, Nairobi 00100 Kenya","Hemingway's Brasserie Nairobi","false","Restaurants",,,"188","dining.nairobi@hemingways.co","36.704895",,,"Nairobi","$$$$","Sit down","4","","Open Now","6622735"
"2","5","12","47","57",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d3452474-Reviews-Sierra_Brasserie-Nairobi.html","Sierra brings together unique South African wines from the lesser known wine estates and dry aged grass fed angus beef for the steaks and burgers from the foothills of Mt.Kenya for a uniquely African experience. Sierra also has its own state-of-the-art brewery on Mombasa road and they therefore make their own stout beer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.6731913089752197","-1.2923","Takeout","Full Bar","Reservations","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Accepts Mastercard","Accepts Visa","Cash Only","Accepts Credit Cards","Outdoor Seating",,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"European","Contemporary","Bar","Vegetarian Friendly",,,,,,,,,,,,"Burger","Salad","Wings","Salmon","Beef","Fish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Nairobi","Kenya",,,"Argwings Kodhek Rd","Yaya Center, 2nd Floor","http://www.sierrapremium.com/","Lunch","Dinner",,,,,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/17/eb/5b/7c/bone-in-steak.jpg","833",,"+254 20 8068594","false","65","#65 of 1,048 places to eat in Nairobi",,"89","Argwings Kodhek Rd Yaya Center, 2nd Floor, Nairobi Kenya","Sierra Brasserie","false","Restaurants",,,"123","info@ozzbeco.com","36.78498",,,"Nairobi","$$ - $$$","Sit down","4","",,"3452474"
"5","9","22","40","64","https://ankole.co.ke/menu/","https://www.tripadvisor.com/Restaurant_Review-g294207-d12626874-Reviews-Ankole_Grill_Kilimani-Nairobi.html","Welcome to Ankole Grill!, Kilimani. Named after the beautiful, ancient, iconic cattle breed of East Africa, the Ankole Watusi, we aspire to bring you a unique African steak - house experience! A place where steak house meets West African cookshop. A place where Swahili coconut curry meets a bone-in ribeye steak grilled to perfection. Come in for breakfast, lunch or dinner. Sip a hand-crafted cocktail or a glass rich, subtle or delicate glass wine. Karibu!",,"Africa/Nairobi","1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"1380","450",,,,,"3.675266981124878","-1.289281","Takeout","Reservations","Seating","Wheelchair Accessible","Serves Alcohol","Full Bar",,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Drinks",,"Steakhouse","African","Bar","Grill","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"Burger","Wings","Chili","Lamb","Fish","Pork",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Nairobi","Kenya",,,"Galana Road","Ground Floor, Senteu Plaza","http://www.ankole.co.ke","Breakfast","Lunch","Dinner","Brunch","Drinks",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/1c/2a/7c/e2/come-experience-fine.jpg","833",,"+254 710 202020","false","64","#64 of 1,048 places to eat in Nairobi","KES 44,471 - KES 474,355","346","Galana Road Ground Floor, Senteu Plaza, Nairobi Kenya","Ankole Grill Kilimani","false","Restaurants",,,"140","admin@ankole.co.ke","36.783157",,,"Nairobi","$$ - $$$","Sit down","4","","Closed Now","12626874"
"12","22","42","147","200","https://www.experienceseven.com/menus/","https://www.tripadvisor.com/Restaurant_Review-g294207-d1986396-Reviews-Seven_Seafood_Grill-Nairobi.html","Already considered to be Nairobi’s premier Seafood & Steak destination, Seven Seafood & Grill offers a sumptuous selection of the finest Indian Ocean seafood and grass fed Angus/Borana steaks in one of Nairobi’s most distinctive & innovatively designed restaurants. A mouth-watering array of oysters, lobsters, prawns & ocean fish are delivered daily, freshly prepared & accompanied by Seven’s signature sauces. Meat lovers are well catered for with exclusive, hand-selected cuts of Kenya’s finest beef that have been carefully aged, butchered in house, slow cooked or grilled to your liking & presented in a variety of forms such as gourmet sandwiches, gourmet burgers but most importantly gourmet steaks that will take your palate on a culinary journey like never before. Our newly launched fully equipped Private Dining Area comprising a Chef's table & private bar serves as the ideal venue for your personal or business functions. In a nutshell, join us for your most unique dining experience.",,"Africa/Nairobi","1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"3.9392545223236084","-1.259951","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Accepts Mastercard","Accepts Visa","Reservations","Accepts Credit Cards",,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Seafood","Gluten Free Options","Vegetarian Friendly",,,,,,,,,,,,,"Crab","Fish & Chips","Burger","Lasagne","Lobster","Oyster","Paella","Shrimp","Salad","Calamari","Chili","Risotto","Salmon","Tuna","Prawns","Octopus","Seafood Platters","Beef","Duck","Fish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Nairobi","Kenya","00100",,"ABC Place","Waiyaki Way","http://www.experienceseven.com/","Lunch","Dinner",,,,,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/13/e2/0c/30/certainly-nairobi-s-most.jpg","833",,"+254 737 776677","false","46","#46 of 1,048 places to eat in Nairobi",,"193","ABC Place Waiyaki Way, Nairobi 00100 Kenya","Seven Seafood & Grill","false","Restaurants",,,"423","reservations@experienceseven.com","36.776424",,,"Nairobi","$$$$","Sit down","4","","Open Now","1986396"
"18","9","47","185","129",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d2269080-Reviews-Brew_Bistro_Lounge-Nairobi.html",,,"Africa/Nairobi","1500","660",,,,,"1500","660",,,,,"1500","660",,,,,"1560","660",,,,,"1560","660",,,,,"1620","660",,,,,"1620","660",,,,,"3.7710208892822266","-1.299353","Reservations","Outdoor Seating","Seating","Parking Available","Television","Serves Alcohol","Full Bar","Free Wifi","Live Music",,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Brunch","Late Night","Drinks",,"Bar","European","Pub","International",,,,,,,,,,,,"Burger","Tapas","Wings","Calamari","Beef","Lamb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Nairobi","Kenya","",,"Piedmont Plaza","671 Ngong Road","http://thebigfivebreweries.com/","Lunch","Dinner","Brunch","Late Night","Drinks",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0d/7b/6b/c1/hamburguesa-nam.jpg","833",,"+254 731 006068","false","59","#59 of 1,048 places to eat in Nairobi",,"98","Piedmont Plaza 671 Ngong Road, Nairobi Kenya","Brew Bistro & Lounge","false","Restaurants",,,"388",,"36.765427",,,"Nairobi","$$ - $$$","Sit down","4","","Open Now","2269080"
"0","0","11","36","66",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d8580248-Reviews-Matbronze_Cafe-Nairobi.html",,,"Africa/Nairobi","1050","540",,,,,"1020","480",,,,,"1020","480",,,,,"1020","480",,,,,"1020","480",,,,,"1200","480",,,,,"1050","480",,,,,"3.9502995014190674","-1.36692","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Serves Alcohol","Table Service","Highchairs Available","Wheelchair Accessible",,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch",,,"Cafe","Vegan Options","Vegetarian Friendly",,,,,,,,,,,,,"Juice & Smoothies","Sandwiches","Burger","Salad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Nairobi","Kenya",,,"#2 Kifaru Lane",,"http://www.matbronze.com","Breakfast","Lunch","Dinner","Brunch",,,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0a/05/7c/08/comes-with-animal-moulded.jpg","833",,"+254 704 690162","false","43","#43 of 1,048 places to eat in Nairobi","KES 96,353 - KES 192,707","78","#2 Kifaru Lane, Nairobi Kenya","Matbronze Cafe","false","Restaurants",,,"113","matbronzecafe@gmail.com","36.747818",,,"Nairobi","$$ - $$$","Café","4.5","","Closed Now","8580248"
"11","8","20","74","157",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d5561344-Reviews-Tin_Roof_Cafe-Nairobi.html","Quiet, quirky day-time cafe perfect for light, healthy lunches with great salads and fresh, exotic smoothies, juices and excellent coffee hand-roasted in Nairobi.",,"Africa/Nairobi","1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"1070","450",,,,,"3.940110683441162","-1.319867","Takeout","Outdoor Seating","Buffet","Seating","Free off-street parking","Highchairs Available","Serves Alcohol","Wine and Beer","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Reservations","Playgrounds",,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Brunch","Drinks","Breakfast",,,"Cafe","Healthy","International","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"Sandwiches","Burger","Salad","Pancakes","Carrot Cake","Crepes","Quiche","Toasts","Cakes","Fish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","Nairobi","Kenya","00502",,"Dagoretti Road","Opposite The Hub Karen. Approx 200m from Karen Roundabout.","http://www.facebook.com/TinRoofCafe","Lunch","Brunch","Drinks","Breakfast",,,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/05/0d/44/65/getlstd-property-photo.jpg","833",,"+254 706 348215","false","44","#44 of 1,048 places to eat in Nairobi","KES 741 - KES 3,706","107","Dagoretti Road Opposite The Hub Karen. Approx 200m from Karen Roundabout., Nairobi 00502 Kenya","Tin Roof Cafe","false","Restaurants",,,"270",,"36.705753",,,"Nairobi","$$ - $$$","Café","4.5","","Closed Now","5561344"
