"rankingString","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","image","photoCount","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","menuWebUrl","openNowText","website","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","neighborhoodLocations/0/id","neighborhoodLocations/0/name","localName","rawRanking","establishmentTypes/0","establishmentTypes/1","priceLevel","phone","type","numberOfReviews","isClosed","subcategories/0","description","locationString","isLongClosed","localAddress","category","id","email","rankingPosition","rankingDenominator","name","rating","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","priceRange","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","address","webUrl","latitude","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22"
"#767 of 1,048 places to eat in Nairobi","African","Bar","Cafe","Fast Food","Grill","Pub",,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/13/f5/7f/4c/karibu-jukwaa-lounge.jpg","32",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"http://www.facebook.com/JukwaaLounge/","1","0","1","0","1","Nairobi","Kenya",,,,"Uhuru Park","20484494","Upper Hill Estate","","2.9814131259918213","Restaurants",,"$","+254 729 222976","RESTAURANT","3","false","Sit down","A Swanky restaurant and Lounge located at Uhuru Park that serves up delicious Kenyan cuisine. Open daily from 7.30 a.m. with theme nights everyday.","Nairobi","false",,"restaurant","14109768",,"767","833","Jukwaa Lounge","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 14,824 - KES 103,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uhuru Park, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d14109768-Reviews-Jukwaa_Lounge-Nairobi.html","-1.289642","36.81606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#2 of 1,048 places to eat in Nairobi","Mexican","American","African",,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/27/2c/0d/f9/welcome-to-cj-s-a-fully.jpg","117",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://cjs.co.ke/menu","Closes in 11 min","http://cjs.co.ke","1","2","0","32","569","Nairobi","Kenya","64829",,"Karen Road","The Waterfront Mall",,,"","4.910060405731201","Restaurants",,"$","+254 701 000090","RESTAURANT","604","false","Sit down","Welcome to CJ’s, a fully fledged restaurant specializing in delivering a relaxed and memorable dining experience. Each location features a unique ambience with tasteful décor, specially designed for your comfort. To make you feel more at home, we’ve carefully selected a unique theme for each location. We have over 300 carefully selected, mouthwatering menu items. Whatever your taste, it’s well catered for. We value you. That’s why you’ll always be served with excellence by each member of our highly skilled team members.","Nairobi","false",,"restaurant","23196295","info@cjs.co.ke","2","833","CJ's Waterfront","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 14,824 - KES 296,472",,"Africa/Nairobi","1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"Karen Road The Waterfront Mall, Nairobi 64829 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d23196295-Reviews-CJ_s_Waterfront-Nairobi.html","-1.324772","36.717556","Breakfast","Lunch","Dinner",,,,"Breakfast","Lunch","Dinner",,,,"Delivery","Takeout","Reservations","Outdoor Seating","Parking Available","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Waterfront","Playgrounds","Family style","Non-smoking restaurants",,,,,,,,,,,,,,,,,,"Salad",,,,,,,,,,,,,,,,,,,,,,
"#3 of 1,048 places to eat in Nairobi","African","International","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/22/1e/93/6b/kondoo-mchuzi.jpg","453",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://www.jikoafrica.com/menu","Closed Now","http://www.jikoafrica.com","14","7","23","75","982","Nairobi","Kenya","00621",,"Limuru Road","Tribe Hotel The Village Market, Gigiri","20484492","Highridge","","4.882663249969482","Restaurants",,"$$$$","+254732186601","RESTAURANT","1101","false","Sit down","Jiko, the signature restaurant inspired by African cuisine is a tribute to local farmers; paying homage to crisp flavors and fresh, organic ingredients. Jiko authentically uplifts its inspirations while offering guests the delights of whimsy and fantasy through a playful approach to presentation.","Nairobi","false",,"restaurant","2341395","jiko@tribehotel-kenya.com","3","833","Jiko","5",,"Top 3 Reasons to Eat Here","Sponsored by: Jiko","African inspired cuisine","https://media-cdn.tripadvisor.com/media/photo-s/22/1e/93/6b/kondoo-mchuzi.jpg","true","food","Read review","1",,"5","829941231","sharitaho","The food was a 10/10","Family Friendly","https://media-cdn.tripadvisor.com/media/photo-s/22/1e/93/68/za-atar-beef-burger.jpg","true","family","Read review","2",,"5","733258414","127wanjiruk","Good service, well cooked delicious meal, ambience is great","Creative Menu","https://media-cdn.tripadvisor.com/media/photo-s/22/1e/94/9d/charcoal-brisket-samosas.jpg","false","services","Read review","3",,"5","830499076","M7503OTceciliap","Great service,well presented food and so tasteful.","KES 741 - KES 11,859",,"Africa/Nairobi","1350","360",,,,,"1350","360",,,,,"1350","360",,,,,"1350","360",,,,,"1350","360",,,,,"1350","360",,,,,"1350","360",,,,,"Limuru Road Tribe Hotel The Village Market, Gigiri, Nairobi 00621 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d2341395-Reviews-Jiko-Nairobi.html","-1.226445","36.80535","Breakfast","Dinner","Lunch","Late Night","Drinks",,"Breakfast","Dinner","Lunch","Late Night","Drinks",,"Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Valet Parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Validated Parking",,,,,,,,,,,,,"Burger","Ribs","Salmon","Prawns","Beef","Lamb","Pork",,,,,,,,,,,,,,,,
"#5 of 1,048 places to eat in Nairobi","French","African","Asian","Healthy",,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/28/99/4f/74/savor-the-flavors-of.jpg","254",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://www.thefoodlibrary.co.ke/slate/","Closed Now","http://www.thefoodlibrary.co.ke/slate/","5","5","5","53","598","Nairobi","Kenya",,,"Off Parklands Road",,,,"","4.831930637359619","Restaurants",,"$$ - $$$","+254 745 560272","RESTAURANT","665","false","Sit down","Slate offers a friendly and warm atmosphere, with heavy emphasis of French and Afro-Asian dishes made by our cordon bleu chef.  This unique blend, allows one to experience a whole new genre of cuisines all at once.
 
The ambience and décor amplifies a modern take of the French style architecture which is commonly bound by the characteristic design of the interior. Our in house hand crafted tailored cocktails are made from high end premium brands.","Nairobi","false",,"restaurant","24014480","slate@thefoodlibrary.co.ke","5","833","Slate - Kitchen & Bar","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 222,354 - KES 518,826",,"Africa/Nairobi","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"Off Parklands Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d24014480-Reviews-Slate_Kitchen_Bar-Nairobi.html","-1.261718","36.804573","Lunch","Dinner","Drinks",,,,"Lunch","Dinner","Drinks",,,,"Delivery","Reservations","Seating","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Visa","Free Wifi","Accepts Discover","Accepts Credit Cards","Table Service","Family style","Gift Cards Available",,,,,,,,,,,,,,,,"Wings","Salmon","Prawns","Beef","Duck","Pork",,,,,,,,,,,,,,,,,
"#4 of 1,048 places to eat in Nairobi","International",,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/21/60/07/53/balcony.jpg","81",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://www.jakoni.co.ke/menu","Closed Now","http://jakoni.co.ke","0","0","0","0","105","Nairobi","Kenya",,,"Lexo Energy Prestige, Ngong Road",,,,"","4.855213165283203","Restaurants",,"$","+254 114 757601","RESTAURANT","105","false","Sit down","Come enjoy Jakoni restaurant with your family and friends! We offer breakfast, lunch and dinner and, to start or end your night with, some delicious cocktails! We provide the best chicken meals in town but we also have enough delicious vegetarian options!","Nairobi","false",,"restaurant","23640331",,"4","832","Jakoni","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 148",,"Africa/Nairobi","1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"Lexo Energy Prestige, Ngong Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d23640331-Reviews-Jakoni-Nairobi.html","-1.299698","36.795124","Breakfast","Lunch","Dinner","Drinks",,,"Breakfast","Lunch","Dinner","Drinks",,,"Wine and Beer","Family style",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burger",,,,,,,,,,,,,,,,,,,,,,
"#7 of 1,048 places to eat in Nairobi","Cafe","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/27/30/f6/37/welcome-to-cj-s-a-fully.jpg","469",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"http://www.cjs.co.ke/menu","Closed Now","http://www.cjs.co.ke","7","13","17","131","1101","Nairobi","Kenya","00100",,"Junction of Kionange & Biashara Streets and The Village Market","CJ's Building","20484493","Nairobi Central Business District","","4.82216739654541","Restaurants",,"$$ - $$$","+254 792 000090","RESTAURANT","1269","false","Sit down","CJ’s, a fully-fledged restaurant specializing in delivering a relaxed and memorable dining experience. Each location features a unique ambience with tasteful decor, specially designed for your comfort. To make you feel more at home, we’ve carefully selected a unique theme for each location.","Nairobi","false",,"restaurant","14008730","cjs.koinange@cjs.co.ke","7","833","CJ's Koinange","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 14,824 - KES 16,306",,"Africa/Nairobi","1320","360",,,,,"1320","360",,,,,"1320","360",,,,,"1320","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"Junction of Kionange & Biashara Streets and The Village Market CJ's Building, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d14008730-Reviews-CJ_s_Koinange-Nairobi.html","-1.283179","36.818413","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Takeout","Reservations","Seating","Free Wifi","Table Service","Parking Available","Digital Payments","Accepts Credit Cards","Non-smoking restaurants",,,,,,,,,,,,,,,,,,,,,,"Juice & Smoothies","Chicken Wings","Burger","Salad","Wings","Curry","Beef","Fish",,,,,,,,,,,,,,,
"#6 of 1,048 places to eat in Nairobi","Mexican","American","Caribbean","African","Asian",,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/27/2a/b6/cd/kilimani-location-features.jpg","57",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://cjs.co.ke/menu","Closed Now","http://www.cjs.co.ke","2","0","2","12","205","Nairobi","Kenya",,,"Wood Avenue & Agwings Kodhek Junction",,,,"","4.826620101928711","Restaurants",,,"+254 712 000033","RESTAURANT","221","false",,"CJ’s, a fully fledged restaurant specializing in delivering a relaxed and memorable dining experience. We’re currently in 12 locations; 4 in Nairobi, 8 in Kampala and 1 in Entebbe. Each location features a unique ambience with tasteful decor, specially designed for your comfort. To make you feel more at home, we’ve carefully selected a unique theme for each location.","Nairobi","false",,"restaurant","23817648","cjs.kilimani@cjs.co.ke","6","833","CJs Kilimani","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","360",,,,,"1320","360",,,,,"1320","360",,,,,"1320","360",,,,,"1380","360",,,,,"1380","360",,,,,"1380","360",,,,,"Wood Avenue & Agwings Kodhek Junction, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d23817648-Reviews-CJs_Kilimani-Nairobi.html","-1.292244","36.78589","Breakfast","Lunch","Dinner",,,,"Breakfast","Lunch","Dinner",,,,"Delivery","Takeout","Reservations","Outdoor Seating","Parking Available","Accepts Credit Cards","Non-smoking restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#34 of 1,048 places to eat in Nairobi","Contemporary",,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/20/00/18/dd/the-oher-room-by-the.jpg","35",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://tsh.menu/location?id=the-other-room-social-house-nairobi","Open Now","http://www.thesocialhouse.ke","0","0","1","2","43","Nairobi","Kenya","00100",,"154 James Gichuru Road",,,,"","4.0842976570129395","Restaurants",,"$$ - $$$","+254 709 216000","RESTAURANT","46","false","Sit down","Bold, Simple Farm-to-table Dining A pool & lawn-side restaurant bathed in sunlight Farm-to-table ingredients boldly, but simply prepared to let the natural flavors shine Scandinavian-styled interior Buffet and a-la-carte breakfasts and lunches Private dining and culinary events, late afternoons and evenings","Nairobi","false",,"restaurant","21236043","talktous@thesocialhouse.ke","34","833","The Other Room Restaurant","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 140,824 - KES 667,062",,"Africa/Nairobi","1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"154 James Gichuru Road, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d21236043-Reviews-The_Other_Room_Restaurant-Nairobi.html","-1.280639","36.768074","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Takeout","Outdoor Seating","Private Dining","Seating","Parking Available","Valet Parking","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Live Music","Family style","Non-smoking restaurants","Gift Cards Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#8 of 1,048 places to eat in Nairobi","Seafood","Asian","Grill","Japanese Fusion","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/28/75/f1/ad/upper-deck.jpg","489",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"http://www.mawimbirestaurant.com","Open Now","https://www.mawimbirestaurant.com/","14","7","12","43","923","Nairobi","Kenya",,,"Kijabe Street","Longonot Place","20484493","Nairobi Central Business District","","4.819755554199219","Restaurants",,"$$$$","+254 758 956805","RESTAURANT","998","false","Sit down","Mawimbi Seafood Restaurant & Cafe offers spectacular romantic ambience. Sectioned into 4 spaces, each giving off a unique feel yet flows through each seamlessly giving off a tropical journey experience with opulent class and elegance. With heavy emphasis on fine seafood cuisine playfully fused with our world class bar crafting bespoke cocktails served in unconventional ways.","Nairobi","false",,"restaurant","20151172","Info@mawimbirestaurant.com","8","833","Mawimbi Seafood Restaurant","5",,"Top 3 Reasons to Eat Here","Sponsored by: Mawimbi Seafood Restaurant","Fresh from the ocean Seafood","https://media-cdn.tripadvisor.com/media/photo-s/1d/8b/54/28/mawimbi-seafood-restaurant.jpg","false","seafood","Read review","1",,"5","828109701","Thom T","All sorts of delicious items, especially seafood.","Beautiful outdoors by the pool","https://media-cdn.tripadvisor.com/media/photo-s/1f/e9/ec/91/mawimbi-seafood-restaurant.jpg","false","live band","Read review","2",,"5","812809994","rasveern","Great atmosphere which reminds you of the ocean ","Special Birthday celebrations","https://media-cdn.tripadvisor.com/media/photo-s/1d/8b/54/cb/mawimbi-seafood-restaurant.jpg","false","birthday dinner","Read review","3",,"5","810606525","jnrain","I hosted a delightful and memorable birthday dinner at Mawimbi.","KES 163,060 - KES 511,414",,"Africa/Nairobi","1425","360",,,,,"1425","360",,,,,"1425","360",,,,,"1425","360",,,,,"1425","360",,,,,"1425","360",,,,,"1425","360",,,,,"Kijabe Street Longonot Place, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d20151172-Reviews-Mawimbi_Seafood_Restaurant-Nairobi.html","-1.277741","36.818127","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Delivery","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Free Wifi","Accepts Credit Cards","Buffet","Free off-street parking","Wine and Beer","Digital Payments","Live Music","Family style","Gift Cards Available",,,,,,,,,,,,"Crab","Lobster","Oyster","Salmon","Tuna","Prawns","Seafood Platters","Fish",,,,,,,,,,,,,,,
"#33 of 1,048 places to eat in Nairobi","Japanese","Sushi","Asian","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0d/44/56/3f/cheka-dinner.jpg","292",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://horientertainment.wixsite.com/cheka-izakaya/menu","Closes in 3 min","http://horientertainment.wixsite.com/cheka-izakaya","7","6","18","69","181","Nairobi","Kenya","52702",,"101 Manyani East Road",,,,"","4.091238021850586","Restaurants",,"$$ - $$$","+254 717 700666","RESTAURANT","281","false","Sit down","Japanese style Restaurant&Bar ""IZAKAYA"" which operated by Japanese in Nairobi Kenya The restaurant name ""CHEKA"" means ""Laugh"" in Swahili language:))","Nairobi","false",,"restaurant","8123125","horientertainment@gmail.com","33","832","Cheka Japanese Izakaya","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 1,482 - KES 4,447",,"Africa/Nairobi","900","720","1350","1080",,,,,,,,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,"900","720","1350","1080",,,"101 Manyani East Road, Nairobi 52702 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d8123125-Reviews-Cheka_Japanese_Izakaya-Nairobi.html","-1.284619","36.77213","Lunch","Dinner","Drinks",,,,"Lunch","Dinner","Drinks",,,,"Delivery","Takeout","Reservations","Outdoor Seating","Buffet","Seating","Parking Available","Street Parking","Validated Parking","Free off-street parking","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Cash Only","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,,"Noodle","Tempura","Ramen","Okonomiyaki & Takoyaki (Flour Dish)","Salad","Pancakes","Salmon","Tuna","Prawns","Octopus","Fish Soup","Beef","Okonomiyaki","Sashimi","Fish","Pork",,,,,,,
