"ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","menuWebUrl","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","website","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","localName","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","establishmentTypes/0","description","subcategories/0","locationString","localAddress","category","rankingDenominator","rankingPosition","name","priceRange","ownersTopReasons","address","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","webUrl","latitude","longitude","rankingString","photoCount","image","openNowText","rawRanking","priceLevel","type","phone","numberOfReviews","isClosed","isLongClosed","id","email","rating"
,"12017965","Juja","City",,"2697614","Central Province","Province",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Juja","Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants","Gachororo road juja Thika Opposite Akon place Bar and local kenyan food",,"Juja, Central Province",,"restaurant",,,"Uncle Jeff Bar & Restaurant",,,"Juja Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g12017965-d25357074-Reviews-Uncle_Jeff_Bar_Restaurant-Juja_Central_Province.html","-1.101822","37.014404",,"0",,,,,"RESTAURANT","+254 721 993773","0","false","false","25357074",,
,"1026018","Thika","City",,"2697614","Central Province","Province",,"294206","Kenya","Country","Contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Thika","Kenya","01000",,"Maporomoko road",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,"Thika, Central Province",,"restaurant",,,"Edgwood Country Place",,,"Maporomoko road, Thika 01000 Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g1026018-d12142028-Reviews-Edgwood_Country_Place-Thika_Central_Province.html","-1.22476","36.88534",,"0",,,,,"RESTAURANT","+254 797 661052","0","false","false","12142028",,
,"1026018","Thika","City",,"2697614","Central Province","Province",,"294206","Kenya","Country","Grill",,,,,,,,,,,,,,,,,,,,,,,"https://web.facebook.com/pages/category/Bar---Grill/Daylight-choma-zone-at-Ananas-Mall-makongeni-106775587747458/?_rdc=1&_rdr",,,,,,,"","Thika","Kenya","01000",,"Ananas Mall",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,"Thika, Central Province",,"restaurant",,,"Daylight Bar And Grill",,,"Ananas Mall, Thika 01000 Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g1026018-d21105788-Reviews-Daylight_Bar_And_Grill-Thika_Central_Province.html",,,,"0",,,,,"RESTAURANT","+254 797 467560","0","false","false","21105788",,
,"1026018","Thika","City",,"2697614","Central Province","Province",,"294206","Kenya","Country",,,,,,,,,"Africa/Nairobi","1260","480","1260","480","1260","480","1260","480","1260","480","1260","480","1260","480",,"Breakfast","Lunch","Dinner",,,,"","Thika","Kenya","00623",,"Mangu/Naivasha Road Thika","39791","Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,"Restaurants","Thika Family Garden gardens is located 200mts off Thika super highway, along Mangu/ Naivasha road.The makuti provide cool and friendly environment that makes us the only unique hotel in Thika town, providing local and international world class services of food and drinks in a cool and friendly environment that everyone needs to visit. We offer delicious African foods and drinks more famous are Nyama choma , Kuku choma that describe the art of cooking and preparing our meals.These utra modern hotel is designed to accommodate family gatherings events like weddings and their reception, goat eating, birthday parties, seminars, corporate meetings e.t.c. The environment is essential for training and seminars.We have professional team and staff on the ground to ensure our customers enjoy the the best in the town. This is a place you can’t miss to take a friend or a dear one out to enjoy its delicious meals and drink as you listen to cool piped music and watch super sport live on Dstv.","Sit down","Thika, Central Province",,"restaurant","3","3","Thika Family Garden Hotel","KES 593 - KES 4,447",,"Mangu/Naivasha Road Thika 39791, Thika 00623 Kenya","1","2","0","0","1","https://www.tripadvisor.com/Restaurant_Review-g1026018-d3467723-Reviews-Thika_Family_Garden_Hotel-Thika_Central_Province.html",,,"#3 of 9 places to eat in Thika","2","https://media-cdn.tripadvisor.com/media/photo-o/0c/fb/28/af/outside-the-entrance.jpg","Closed Now","2.8646764755249023","$$ - $$$","RESTAURANT","+254 725 896207","4","false","false","3467723","nfo@thikafamilygardenhotel.com","2.5"
,"1026018","Thika","City",,"2697614","Central Province","Province",,"294206","Kenya","Country","African",,,,,,,,"Africa/Nairobi","1200","540","1200","540","1200","540","1200","540","1200","540","1200","540","1200","540","https://www.facebook.com/veskagarden/","Breakfast","Lunch","Dinner","Brunch","Drinks",,"","Thika","Kenya","01000",,"Before Muguga Shell Petrol Station",,"Breakfast","Lunch","Dinner","Brunch","Drinks",,"Takeout","Outdoor Seating","Buffet","Seating","Parking Available","Television","Cash Only","Table Service","Playgrounds","Family style","Non-smoking restaurants",,,,,,"Restaurants","Ideal for wedding venue, restaurant, conferences, team buildings, photo and video shoots, bridal and baby showers, graduation parties, etc.",,"Thika, Central Province",,"restaurant",,,"Veska Garden",,,"Before Muguga Shell Petrol Station, Thika 01000 Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g1026018-d21224489-Reviews-Veska_Garden-Thika_Central_Province.html","-1.06333","37.155777",,"8","https://media-cdn.tripadvisor.com/media/photo-o/1b/c7/a2/94/veska-garden.jpg","Closed Now",,,"RESTAURANT","+254 724 407862","0","false","false","21224489",,
,"12017965","Juja","City",,"2697614","Central Province","Province",,"294206","Kenya","Country","African","Grill","Diner","Wine Bar","Beer restaurants",,"https://savannaskyresort.co.ke/wp-content/uploads/2021/07/Savanna-menu-2021-webite.pdf",,"Africa/Nairobi","1260","540","1290","540","1290","540","1290","540","1290","540","1290","540","1290","540","http://savannaskyresort.co.ke","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","","Juja","Kenya","01001",,"United Esate Juja",,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Accepts Credit Cards",,,,,,,,,,,"Restaurants","Savanna Sky Resort offers a very peaceful and calm atmosphere away from Nairobi City.We are located on Exit 15 of Thika Super High way take a left at Gatundu-Juja Rd 1Km from Juja Shopping Centre, United Estate Juja","Sit down","Juja, Central Province",,"restaurant",,,"Savanna Sky Resort Juja","KES 29,647 - KES 296,472",,"United Esate Juja, Juja 01001 Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g12017965-d23548090-Reviews-Savanna_Sky_Resort_Juja-Juja_Central_Province.html","-1.110941","37.018803",,"7","https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/ab/7c/6a/naomi-anastasia-gardens.jpg","Closed Now",,"$$$$","RESTAURANT","+254 757 380352","0","false","false","23548090","info@savannaskyresort.co.ke",
,"1026018","Thika","City",,"2697614","Central Province","Province",,"294206","Kenya","Country","African","Fast Food",,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","http://www.facebook.com/afrikanathika","Breakfast","Lunch","Dinner",,,,"","Thika","Kenya","01000",,"Maisha Heights, Kenyatta Highway",,"Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,"Restaurants","Kafe Afrikana represents a high quality, affordable fast-casual, and family-style restaurant destination with exceptional locally grown fresh food frequented by business professionals by day and families over the weekends.","Sit down","Thika, Central Province",,"restaurant",,,"Kafe Afrikana - Thika","KES 29,647 - KES 296,472",,"Maisha Heights, Kenyatta Highway, Thika 01000 Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g1026018-d23356139-Reviews-Kafe_Afrikana_Thika-Thika_Central_Province.html","-1.03326","37.06933",,"1","https://media-cdn.tripadvisor.com/media/photo-o/21/6d/b7/55/kafe-afrikana.jpg","Open Now",,"$","RESTAURANT","+254 790 059647","0","false","false","23356139","order.kafeafrikana@gmail.com",
,"1026018","Thika","City",,"2697614","Central Province","Province",,"294206","Kenya","Country","African",,,,,,,,,,,,,,,,,,,,,,,"http://www.wadigardens.co.ke","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","","Thika","Kenya",,,"Along Garrissa rd,Maguguni",,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Reservations","Outdoor Seating","Buffet","Seating","Parking Available","Television","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards","Drive Thru","Sports bars",,,"Restaurants",,,"Thika, Central Province",,"restaurant",,,"Wadi Gardens And Resort",,,"Along Garrissa rd,Maguguni, Thika Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g1026018-d25627815-Reviews-Wadi_Gardens_And_Resort-Thika_Central_Province.html","-1.053166","37.092445",,"8","https://media-cdn.tripadvisor.com/media/photo-m/1280/29/2a/85/72/great-gardens-scenes.jpg",,,,"RESTAURANT","+254 796 250357","0","false","false","25627815","info@wadigardens.co.ke",
,"12017965","Juja","City",,"2697614","Central Province","Province",,"294206","Kenya","Country","African",,,,,,,,,,,,,,,,,,,,,,,"https://salmafrieschicken.business.site/?utm_source=gmb&utm_medium=referral",,,,,,,"","Juja","Kenya","58167-0200",,"Juja Stage, Gatundu-Juja Road",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants","Late-night Fast Food Restaurant at Juja stage. Our roasted chicken is our most enjoyed food. We do dine-in, takeaway, and do home deliveries in Juja and within Thika road.","Sit down","Juja, Central Province",,"restaurant",,,"SFC-Salma Fries & Chicken","KES 2,965 - KES 88,942",,"Juja Stage, Gatundu-Juja Road, Juja 58167-0200 Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g12017965-d21374238-Reviews-SFC_Salma_Fries_Chicken-Juja_Central_Province.html","-1.107161","37.01529",,"0",,,,"$","RESTAURANT","+(254)0748665616","0","false","false","21374238","salmas.sfc@gmail.com",
,"1026018","Thika","City",,"2697614","Central Province","Province",,"294206","Kenya","Country","Grill",,,,,,,,,,,,,,,,,,,,,,,"https://web.facebook.com/pages/category/Bar/Capricorn-bar-grill-restaurant-thika-2071879863083760/?_rdc=1&_rdr",,,,,,,"","Thika","Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,"Thika, Central Province",,"restaurant",,,"Capricon Bar and Grill",,,"Thika Kenya","0","0","0","0","0","https://www.tripadvisor.com/Restaurant_Review-g1026018-d21105783-Reviews-Capricon_Bar_and_Grill-Thika_Central_Province.html",,,,"0",,,,,"RESTAURANT","+254 797 467560","0","false","false","21105783",,
